premise,conclusion,weight
" Getting out of a marriage is more difficult than getting out of an informal relationship due to the stigma involved with being a divorcee and legal issues. Therefore, even though marriages may not exclusively provide partners, they provide partners that are going to comparatively stay in the relationship for a longer duration of time.", " Having a partner is not contingent on marriage, people can cohabitate.", -1.0
" Having a partner is not contingent on marriage, people can cohabitate.", " Marriage provides individuals, especially parents, with useful support networks that may not exist otherwise. Having a partner eases the process of caring for a child.", -1.0
" Having a partner gives individuals involved in a relationship access to extended family networks. Such relationships can come in handy when it comes to caring for the child and in other instances where one requires support networks.", " Marriage provides individuals, especially parents, with useful support networks that may not exist otherwise. Having a partner eases the process of caring for a child.", 1.0
" Military service is disanalogous. Joining the military is only analogous to intercourse in cases when the woman intends to become a mother if she becomes pregnant, as the recruit is signing up for the military with the intent to fight should war be declared. A woman can consent to sex without intending to mother a child, while a recruit cannot join the military without the intention to defend the country.", " People who sign up for military service in peacetime do consent to fight in a war that might break out, even though this is not inevitable.", -1.0
" Having a partner generally increases total household income allowing for a better quality of life.", " Marriage provides individuals, especially parents, with useful support networks that may not exist otherwise. Having a partner eases the process of caring for a child.", 1.0
" Having a partner care for a child partially or fully allows women to focus on things such as an education or their career, as women do not have to prioritize the needs of their child over their own desires and care for them all the time.", " Marriage provides individuals, especially parents, with useful support networks that may not exist otherwise. Having a partner eases the process of caring for a child.", 1.0
" This may be theoretically possible, but such legislation is unlikely to be passed in states controlled by Tea Party Republicans whose base primarily consists of religious voters who are opposed to such education.", " The lack of sexual education points to the fact that states must be compelled to provide sexual education. It does not lead to the conclusion that the right to abortion must be provided.", -1.0
" The natural consequence and biological purpose of sex is pregnancy, we do in fact have to accept the biological and natural consequences of our actions.  Not all actions result consequences that directly related to its natural or biological purpose.", " This acceptance bears no ethical weight, otherwise we would have to accuse people of accepting every conceivable consequence of any given action, and that is absurd.", -1.0
" Marriage provides individuals, especially parents, with useful support networks that may not exist otherwise. Having a partner eases the process of caring for a child.", " Marriage is not a requirement to having a fulfilling life and a happy family.", -1.0
" If labels are difficult to understand, perhaps the best solution to the problem is making them easier to understand rather than allowing abortions.", " Labels with birth control are known to be difficult to understand and are often not updated at the same rate as medical knowledge.", -1.0
" The United States has imprisoned at least one woman for this without evidence to suggest that she caused the miscarriage.", " It is absurd to assign blame to a woman who has had a miscarriage if she didnt do anything to cause that miscarriage. In many instances the woman wants a child who dies in the womb. Even if the fetus has a right to life, most societies wouldnt imprison a woman for miscarrying.", -1.0
" An Australian study of women in their 70s found that single women without children had the fewest diagnoses of major illnesses, the healthiest body mass index and were least likely to smoke, as compared to married women, or woman who had been married in the past.", " Marriage is not a requirement to having a fulfilling life and a happy family.", 1.0
" People who sign up for military service in peacetime do consent to fight in a war that might break out, even though this is not inevitable.", " The boxer example is disanalogous. A boxer knows that their opponent punching them in a ring is inevitable. Pregnancy due to sex on the other hand is a possibility. Individuals consent to inevitable outcomes of actions rather than possible outcomes.", -1.0
" This is assuming the person taking the contraceptives was aware of the failure rate.", " Taking steps to mitigate the risk of an unwanted outcome does not remove the causality with regards to the consequences. It may reduce moral responsibility, but it does not free anyone from all liability. Her choices still caused the pregnancy even with contraception, and she knew in advance that she could still become pregnant. Therefore, contraception failure is a known risk that the woman willingly took.", -1.0
" A lack of accurate information on contraception techniques and their use on the internet suggests that states must try to police information concerning contraceptives. It does not lead to the conclusion, however that women should be allowed to access abortion.", " For those who do get information online they are likely to get incorrect information. Anyone can post online, information is not policed and so people can be easily mislead.", -1.0
" Women can always choose to access government websites or websites run by international organisations like the United Nations for accurate information.", " For those who do get information online they are likely to get incorrect information. Anyone can post online, information is not policed and so people can be easily mislead.", -1.0
" Children of divorced parents are 50 percent more likely to have health problems.", " Divorce impacts the couple and any children they may have negatively.", 1.0
" Since abortion is illegal in Ireland, it is impossible to know accurate abortion figures in Ireland. Thus, it is futile to compare figures from Ireland with those of a country where abortion is legal and  the majority of abortions are documented.", " That number does not come close to enough to explaining the disparity between Irelands abortion rate and the UKs abortion rate, even when including documented black market abortions in Ireland.So either all (or almost all) the women who make up the disparity got one on the black market, and it wasnt documented (there is absolutely no evidence of that), or Irelands abortion ban is reasonably effective.", -1.0
" This acceptance bears no ethical weight, otherwise we would have to accuse people of accepting every conceivable consequence of any given action, and that is absurd.", " The consent to sexual intercourse cannot be separated from the consent to consequences of that intercourse. Even though (correctly) using contraceptives shows the intent to avoid pregnancy, the woman still accepts pregnancy as a possible consequence of her actions.", -1.0
" According to The Positive Effects of Marriage by Patrick Fagan, a child in a single parent household is 14 times more likely to suffer physical abuse than a child living with married biological parents. Children who live with one parent and that parents partner are 33 times more likely to suffer physical abuse.", " Marriage is not a requirement to having a fulfilling life and a happy family.", -1.0
" In this scenario abortion would be a legitimate response as the women who is pregnant would have to pay for her abortion and so pay for the consequences in the same way that these other examples would.", " This logic only dictates that we should not subsidize their health care, not that they should not be able to buy it. Letting people suffer the consequences in this case means that if people choose to go without health insurance, or take risks that are not covered by the insurance, nobody should be forced to pay for their health care, even if that means they do not get treatment.", -1.0
" A study found that children from traditional nuclear families were more likely to graduate from high school and complete college compared to those who were raised in blended or single-parent homes.", " Marriage is not a requirement to having a fulfilling life and a happy family.", -1.0
