premise,conclusion,weight
" San Diego Zoo admissions and membership prices are the most expensive among public and non-profit zoos, helping them fund conservation programs in the US and globally.", " The revenue that visitors to zoos bring could be, and under the status quo often is, used to fund these conservation efforts. Eliminating zoos would eliminate this source of revenue for conservation efforts.", 1.0
" San Diego Zoo admissions and membership prices are the most expensive among public and non-profit zoos, helping them fund conservation programs in the US and globally.", " The revenue that visitors to zoos bring could be, and under the status quo often is, used to fund these conservation efforts. Eliminating zoos would eliminate this source of revenue for conservation efforts.", 1.0
" The addition of two pandas boosted the Edinburgh zoos income from £5 million to nearly £15 million and visitors increased by 51%. Zoo officials say the high price to keep the pandas ($1 million per year paid to the Chinese government) is worth it, as extra ticket sales and merchandise have more than covered the costs.", " Pandas are the few animals zoos pay for, as they are controlled by the Chinese government. A mating pair can cost up to $1 million and a cub $600,000. That money would be better spent in fighting against habitat destruction or helping wild animals directly.", 1.0
" Visitors were also more able to identify individual actions that they could carry out to help protect biodiversity.", " A large study with more than 6,000 participants found a 5% increase in the knowledge of biodiversity the visitors had after visiting a zoo.", 1.0
" Zoo Atlanta has contributed over 10 million dollars towards giant panda conservation efforts in China. Most of these funds are allocated to research, reforestation, equipment, and building protection stations.", " Pandas are the few animals zoos pay for, as they are controlled by the Chinese government. A mating pair can cost up to $1 million and a cub $600,000. That money would be better spent in fighting against habitat destruction or helping wild animals directly.", -1.0
" However, some authors claim that an increase of more than 5% of a very large sample does not show that people get educated in a meaningful way in zoos, nor does it show if what people learn will contribute to future efforts favouring animal wellbeing.", " A large study with more than 6,000 participants found a 5% increase in the knowledge of biodiversity the visitors had after visiting a zoo.", -1.0
" Zoo Atlanta has contributed over 10 million dollars towards giant panda conservation efforts in China. Most of these funds are allocated to research, reforestation, equipment, and building protection stations.", " Pandas are the few animals zoos pay for, as they are controlled by the Chinese government. A mating pair can cost up to $1 million and a cub $600,000. That money would be better spent in fighting against habitat destruction or helping wild animals directly.", -1.0
" To maximise revenue, the Edinburgh Zoo trademarked the Pandas names to ban any other retailers from using them to sell merchandise.", " Pandas are the few animals zoos pay for, as they are controlled by the Chinese government. A mating pair can cost up to $1 million and a cub $600,000. That money would be better spent in fighting against habitat destruction or helping wild animals directly.", 1.0
" To maximise revenue, the Edinburgh Zoo trademarked the Pandas names to ban any other retailers from using them to sell merchandise.", " Pandas are the few animals zoos pay for, as they are controlled by the Chinese government. A mating pair can cost up to $1 million and a cub $600,000. That money would be better spent in fighting against habitat destruction or helping wild animals directly.", 1.0
" We can save endangered animals without objectifying others to produce financial support to do so.", " Large, charismatic animals such as pandas, tigers or elephants draw the crowds. These flagship species help to raise the profile and funds for in-situ conservation efforts for the not so well known species. For example, there aren’t many visitors who would be passionate about protecting frogs or other amphibians yet zoos have been instrumental in preventing the loss of a large part of the world’s frog fauna..", -1.0
" Visitors were also more able to identify individual actions that they could carry out to help protect biodiversity.", " A large study with more than 6,000 participants found a 5% increase in the knowledge of biodiversity the visitors had after visiting a zoo.", 1.0
" The addition of two pandas boosted the Edinburgh zoos income from £5 million to nearly £15 million and visitors increased by 51%. Zoo officials say the high price to keep the pandas ($1 million per year paid to the Chinese government) is worth it, as extra ticket sales and merchandise have more than covered the costs.", " Pandas are the few animals zoos pay for, as they are controlled by the Chinese government. A mating pair can cost up to $1 million and a cub $600,000. That money would be better spent in fighting against habitat destruction or helping wild animals directly.", 1.0
