premise,conclusion,weight
" Atheists do not necessarily claim that they know anything, but they demand that people should not claim anything without evidence.", " They also cannot claim the non existence of something without evidence.  The claim still goes both ways.", -1.0
" They also cannot claim the non existence of something without evidence.  The claim still goes both ways.", " An atheist would be open to strong evidence that there is a god. The view of an atheist is (or should be) to be open to evidence, but not claim the existence of something without evidence.", -1.0
" This is true only if the specific Bible passages are taken literally. Some denominations of Christianity have a more critical interpretation of the Bible, which supports the previous thesis that religion doesnt prevent critical thinking.", " Indeed there have been lots of critical thinkers that were also religious. So it is certainly true, that critical thinking can come together with religious beliefs. There are many types of religious beliefs. The God of the gap is an example of religious belief that does not collide with critical thinking or with science. Believing in the way the bible explains the creation does collide with science.", -1.0
" An atheist would be open to strong evidence that there is a god. The view of an atheist is (or should be) to be open to evidence, but not claim the existence of something without evidence.", " Both ways of thinking have individuals with the same lack of openness. It can be argued that some atheists unquestionable dogma is the non existence of a god when there is no scientific proof of either existence or non existence.", -1.0
" There is no current law or generic rule that supports that kind of statement.", " One could even say that, given the current laws, the teachers affiliations should not be disclosed to children.", -1.0
" This does not prove or disprove anything.", " Religion is not just a collection of unactionable opinions. Simply believing is not a sufficient form of practice in the majority of religions. It also involves rituals, activities and symbols.", -1.0
" Religion is not just a collection of unactionable opinions. Simply believing is not a sufficient form of practice in the majority of religions. It also involves rituals, activities and symbols.", " The teacher can still believe anything they like.", -1.0
" A good teacher will inspire curiosity in a child. Wearing a religious symbol that the child is unfamiliar with may inspire the child to learn more about the world.", " Teachers should keep it unobtrusive and, if it comes up in the conversation, the teacher should say that there are many religions in the world and this symbol represents hers.", 1.0
" This is especially true when there is no scientific proof of something. While theres no scientific proof (as in using scientific method) of the existence of a god, there is also no scientific proof to the contrary. The burden of proof falls under whomever makes any of those claims. So until that happens, atheism is also a belief.", " If a persons definition of belief is something one accepts as true or real;a firmly held opinion or conviction then atheism certain is a belief.", 1.0
" A teachers personal beliefs do not come into it in the slightest when teaching. If they do, that is a lack on the part of the teacher.", " A teachers personal affiliations - religious, political or otherwise - need not be disclosed to children.", 1.0
" One could even say that, given the current laws, the teachers affiliations should not be disclosed to children.", " A teachers personal affiliations - religious, political or otherwise - need not be disclosed to children.", 1.0
" The apparel the teacher wears does not hurt the children physically or psychologically.", " Teachers have a duty of care towards vulnerable children. This outweighs their rights towards free expression of religion.", -1.0
" For example, an Orthodox Jewish student in a majority-Muslim school in Dearborn, Michigan may be comfortable there if he or she has an Orthodox Jewish teacher to whom he or she can relate and even be a mentoree.", " In a school in which a majority practice a certain religion, for students in religious-minority groups to be able to see that there are other people in religious-minority groups in their school will help them to be feel more welcome and to have people with whom they share something in common.", 1.0
" Indeed there have been lots of critical thinkers that were also religious. So it is certainly true, that critical thinking can come together with religious beliefs. There are many types of religious beliefs. The God of the gap is an example of religious belief that does not collide with critical thinking or with science. Believing in the way the bible explains the creation does collide with science.", " The contradiction exists assuming that religious people are incapable of critical thinking, which is contrary to what experience has shown. The fact that in the recent centuries there have been influential scientists that have a religion doesnt support the claim that religion makes people incapable of critical thinking.", -1.0
" There are cultural elements that need to change, but change is not achieved through forcing individuals to hide their culture or their religion in this case.", " Cultures need to change too in a society in which everyone has equal rights. Religions do often have a problem with this, and cultures have the same problem.", -1.0
" Both ways of thinking have individuals with the same lack of openness. It can be argued that some atheists unquestionable dogma is the non existence of a god when there is no scientific proof of either existence or non existence.", " A fundamental difference between the attitude of a religious believer and an atheist is the openness to arguments.", -1.0
" Religion is a special case, as beliefs cannot be decided by others, not even by the child who believes. Children can only be enrolled in a church - but they might not believe in the corresponding religion and nobody can decide what they believe.", " Reason is one thing and knowledge is another. The more knowledge one has, the better the reasoned choices one can make. Thus children might be able to make choices but not the best ones with the knowledge they have, thats why they dont get a drivers license until they are grown, and why other important decisions (such as health, education and religion) are made by their parents until they can make them on their own.", 1.0
" Many people come to religious belief through deep and thorough critical thinking. To say that religious symbols indicate a lack of the ability to think critically is saying that Allan Rex Sandage, who discovered the quasar, is unable to be a great thinker because he said, If there is no God, nothing makes sense.", " There seems to be a slight contradiction between critical thinking and religious belief;showing a religious symbol may demonstrate that the teacher is unprepared for true critical thinking.", -1.0
" Teachers have a duty of care towards vulnerable children. This outweighs their rights towards free expression of religion.", " Such a policy violates the teachers freedom of religion.", -1.0
" Sheltering children from religions that their families dont practice might hinder their development as a person. Keeping them blind to other religions only hurts them.", " Children should learn to be comfortable around people with differing belief systems.", 1.0
" A fundamental difference between the attitude of a religious believer and an atheist is the openness to arguments.", " Organized atheism acts similar to religion, and is similar enough to a religious belief to be called one.", -1.0
" Certainly children associate with these symbols something - they have learned to do so from all of their contacts like friends, family, school. Therefore the religious symbols have impact on them - independent on whether the meaning of these symbols have been taught in class.", " Children are unlikely to understand the meaning of symbols unless explained to them. And since this is not taught in public schools, they would learn this elsewhere, such as their families or church. So merely showing a religious symbol would not influence childrens beliefs.", -1.0
" In a school in which a majority practice a certain religion, for students in religious-minority groups to be able to see that there are other people in religious-minority groups in their school will help them to be feel more welcome and to have people with whom they share something in common.", " Allowing teachers wear religious symbols at school promotes harmony and tolerance.", 1.0
" The rightness or wrongness of wearing religious symbols should be applied to all religions, indifferent of the majority or the non existence of other religions in a given school. Otherwise its discrimination.", " The fact that a school might not have teachers with different religions shouldnt be a valid argument. Its like saying individuals of a given ethnicity are allowed only if there are individuals of others.", 1.0
" Some people wear crosses because they like how it looks or because it was a gift or because of pressure by family. Some may even be wearing it sarcastically (a satanist wearing a cross). Wearing the symbol does not necessarily reflect the opinions of the viewers.", " Children will know what the belief system of their teachers are - even if the teacher does not explicitly state it.", -1.0
" Not wearing any religious symbols does not make a teacher or a school supportive of any religion. Just like not wearing any sports symbols does not make a teacher supportive of any sports club.", " Forbidding the wearing of religious paraphernalia, such as crosses and kippahs would be establishing a religion of atheism, or more strongly anti-theism.", -1.0
" It is possible to include people of all religions and teach only the approved secular curricula. Inclusivity does not equal endorsement. If a teacher disagrees with the scientifically proven facts of evolution, then it is up to that teacher to not accept a job as a science teacher or teach things contradictory to their beliefs. However, with a math, language, music, or other teacher, it couldnt matter less if the teacher believes in creation as it doesnt apply in their scope of work.", " Some religions teach concepts like creationism that are explicitly opposed to the ideas of secular learning. Allowing schools to be inclusive of such ideas undermines secular education itself.", -1.0
" Some religious symbols are not optional for the followers of that religion.", " Such a policy violates the teachers freedom of religion.", 1.0
" Not showing to which party one belongs to does not show that one is against parties.", " Forbidding the wearing of religious paraphernalia, such as crosses and kippahs would be establishing a religion of atheism, or more strongly anti-theism.", -1.0
" Wearing religious symbols/dress is a UN international Human right, as ratified by 196 states. The text specifies exclusions, and those exclusions do not include teaching.", " Such a policy violates the teachers freedom of religion.", 1.0
" If parents dont take an active role in the education of their child, anything can influence them. Not necessarily a teacher, but also a classmate. Ultimately its the parents job to promote or filter out what a child learns at school if they consider it against their values.", " The teacher does influence the decision of the child.", -1.0
" One doesnt ensure freedom of choice by promoting the subjects ignorance of options.", " If we do not at all learn about different religions, there is nothing to choose from. So the freedom of choice is severely impacted.", -1.0
