premise,conclusion,weight
" According to the World Economic Forum, the creation of additional value - summed up in GDP - fails to capture broader measurements of economic development, such as happiness, well-being, equality of opportunity and welfare.", " Workers having enough to sustain themselves and being compensated equally for their labor is a more pressing moral concern than the creation of additional wealth. This is why many economists find gross domestic product to be an inaccurate indicator of economic success.", 1.0
" Most Kickstarter and IndieGoGo projects are very high risk, but that doesnt prevent them from being funded.  Crowdfunding, with no potential upside other than receiving the product and maybe a small gift, has been shown to work well even in an economy where equity financing is an option.", " Most start-ups have an extremely high risk of default, often only justified by a high potential upside. So either loans would have usurious rates or lenders wouldnt have an incentive to invest.", -1.0
" Workers can save the extra disposable income for use upon retirement.", " Higher wages for workers offset lower pensions in the future.", 1.0
" Large, capital-intensive projects (new factories, plants, construction, private infrastructure) require substantial committed equity (often billions of dollars).", " Crowd funding is not suitable for large capital-intensive projects.", 1.0
" Most start-ups have an extremely high risk of default, often only justified by a high potential upside. So either loans would have usurious rates or lenders wouldnt have an incentive to invest.", " Small loans and crowd funding are not viable alternatives to equity financing.", 1.0
" Businesses will be required to keep sufficient cash flows at all times for debt repayment, which may hinder the growth of the company, as it cannot reinvest a significant amount of cash back into the company.", " Debt financing may give banks power over companies, as they can set repayment terms which may influence the way a business operates.", 1.0
" Excessive reliance on debt financing can negatively affect a companys credit rating and make it more difficult to secure such financing in the future.", " Debt financing may give banks power over companies, as they can set repayment terms which may influence the way a business operates.", 1.0
" As co-operatives necessarily are more focused on their workers welfare, they will likely apply automation this way, rather than to boost profit at the expense of workers positions.", " Co-ops would use automation to increase leisure time and lower working hours with the profit created by automation. This would in turn pay the workers more and give them more time with family/life.", 1.0
" Crowd funding is not suitable for large capital-intensive projects.", " Small loans and crowd funding are not viable alternatives to equity financing.", 1.0
" Workers having enough to sustain themselves and being compensated equally for their labor is a more pressing moral concern than the creation of additional wealth. This is why many economists find gross domestic product to be an inaccurate indicator of economic success.", " Lower investment returns is a price worth paying for a more equal distribution of wealth.", 1.0
" The majority shareholder will more than likely cut wages, benefits, and hours in the name of profit, which will in turn reduce the quality of the business until they can cannibalize the company. This is what happened to Toys R US.", " A single entity now controls what happens in the company to create returns, prioritizing their concerns over those of other investors.", 1.0
" Higher wages for workers offset lower pensions in the future.", " Lower investment returns is a price worth paying for a more equal distribution of wealth.", 1.0
" At Calverts design  print co-op, all workers are paid hourly, and the hourly rate is the same for all job functions.", " Many co-operatives do have pay scales and pay differentials.", -1.0
" The maximum pay differential between workers within a Mondragon cooperative is only six times the lowest salary. This a significantly more equitable pay distribution than is the norm for private companies.", " Pay differentials in worker cooperatives are much less than those in other companies.", 1.0
" Many co-operatives do have pay scales and pay differentials.", " Many worker cooperatives dont pay equally for equal amounts of work.", 1.0
" The Governance Expert Reference Panel - comprised of governance experts from various fields - has representation on the board of various UK Workers Cooperatives.", " Board members elected by workers cooperatives to make strategic decisions on their behalf are likely to be experts in economic governance and management.", 1.0
" Common techniques to mask fraudulent activities include improper revenue recognition, followed by overstatement of assets and bogus expense recognition.", " Companies can still attempt to commit fraudulent activities through masking illegal activities by manipulating the data they release to the public and financial authorities.", 1.0
" Investment in new technologies improves company productivity but also improvesworkers job satisfaction.", " Workers interests are likely to align with the companies best interests.", 1.0
" Banks can still make investments in this model. They just wouldnt be given legal rights of ownership of businesses they invest in. Also, there are other entities to invest in besides businesses (e.g. government bonds).", " Banks cannot pay interest if they cannot invest their funds and earn a profit on it.", -1.0
" Loans worked just fine for capitalism until the late 19th century, when equities were introduced. Venture capitalism has only existed since 1946.", " If wealth is spread more evenly, people will have money to loan to family and friends or to contribute to crowd funding campaigns.", 1.0
" Banks generally do not provide equity funding, as equity investments greatly increase regulatory capital requirements. Asset managers, pension funds and insurance companies do that.", " Without the ability to invest in stock, banks will be more likely to give business loans.", -1.0
" Spending on research and development may be good for a company long term but in the short term may hamper a companies ability to give pay rises.", " Workers interests are likely to align with the companies best interests.", -1.0
" Equal Exchange has taken this approach using existing US SEC law.", " Worker coops can and do raise capital by selling stock of their company. They can sell their stock to raise capital without granting ownership or voting rights to non-workers.", 1.0
" Community owned-projects receive substantial crowdfunding;workers cooperatives which derive their workforce from the surrounding community are likely to receive a similar level of support.", " If wealth is spread more evenly, people will have money to loan to family and friends or to contribute to crowd funding campaigns.", 1.0
" A 2008 study in Quebec showed that co-ops had a five-year survival rate of 62% and ten-year survival rate of 44%, compared to 35% and 20%, respectively, for other Quebec businesses.", " In Canada, worker cooperatives are more resilient than conventional businesses.", 1.0
" Unlike banks, equity investors tend to provide more than just capital. They provide guidance and connections, and will often have an active interest in the operations of the company. Investors want to work with “coachable” CEOs, people who are willing to take outside input.", " Being dependent on an influx of capital to jump-start the business means that the priorities of the initial investors will override the priorities of other stakeholders in the business (such as those of shareholders, employees and the founders themselves).", 1.0
" Inflation will reduce the value of retirement funds in real terms if they remain dormant and uninvested. Investing in the stock market allows these funds to make capital gains which can outpace the rate of inflation and gain value in real terms.", " Inflation will reduce the size of funds when they cannot make capital gains.", 1.0
" Traditional companies use automation in such a way that they pay their workers less and cut jobs. This leaves workers without jobs or struggling to make the money they and their families need to get by.", " Worker co-ops could still innovate and take advantage of automation, but would just use automation differently than how a traditional business would.", 1.0
" High-yield savings accounts actually outperformed (offered higher dividends than) the stock market in 2018.", " Savings accounts offer a safer and more dependable route to generate rent than investing in the stock market, and often with higher returns.", 1.0
" Banks also give a lot of loans with substantial control over how that loan is used. In many cases, they even get a seat on the board of directors. Even in cases they dont have direct control, lenders can influence management of a company as long as they hold the purse strings.", " Banks give business loans all the time without substantial control over how their loans are used.  And this is in a world where equity financing is an option. If we remove equity financing as an option, business loans will be an even more palatable option for people with capital that needs to be used.", -1.0
" Mexico has lifted the ban on foreign ownership in the oil sector.", " Many countries prohibit foreign ownership of companies. (P.2)", -1.0
" Workers in workers cooperatives can have discussions on the matter from a position of greater bargaining power as they all possess a vote.", " When deciding on which factory to close there will be a stalemate between the workers in the different factories.", -1.0
" Alberta cooperatives created in 2005 and 2006 had a three-year survival rate of 81.5% compared to 48% for conventional businesses in that province.", " In Canada, worker cooperatives are more resilient than conventional businesses.", 1.0
" The alternative is workers having no say in which factories close as decisions are made by shareholders.", " When deciding on which factory to close there will be a stalemate between the workers in the different factories.", -1.0
" The International Cooperative Alliance - the umbrella group advising worker cooperatives across the world - has a host of economic and financial experts serving on its Executive Board.", " Board members elected by workers cooperatives to make strategic decisions on their behalf are likely to be experts in economic governance and management.", 1.0
" Foreign ownership is banned in the fishing and energy sectors in Iceland.", " Many countries prohibit foreign ownership of companies. (P.2)", 1.0
" Some do anyway.", " In angel investing, for example, you dont ask for control in return for capital.", -1.0
" Small loans and crowd funding are not viable alternatives to equity financing.", " If wealth is spread more evenly, people will have money to loan to family and friends or to contribute to crowd funding campaigns.", -1.0
" Co-ops would use automation to increase leisure time and lower working hours with the profit created by automation. This would in turn pay the workers more and give them more time with family/life.", " Worker co-ops could still innovate and take advantage of automation, but would just use automation differently than how a traditional business would.", 1.0
" Decisions to close factories are made by experts elected to the Executive Board who have both the skills and the democratic mandate to make the best possible decision.", " When deciding on which factory to close there will be a stalemate between the workers in the different factories.", -1.0
" Pay differentials in worker cooperatives are much less than those in other companies.", " Many worker cooperatives dont pay equally for equal amounts of work.", -1.0
" Lower investment returns is a price worth paying for a more equal distribution of wealth.", " Returns on equity have historically been noticeably higher than return on debt. Forcing pension funds to invest only in debt will lead to smaller returns and smaller pensions.", -1.0
" Debt financing may give banks power over companies, as they can set repayment terms which may influence the way a business operates.", " Without the ability to invest in stock, banks will be more likely to give business loans.", -1.0
" A single entity now controls what happens in the company to create returns, prioritizing their concerns over those of other investors.", " Stock markets actually jeopardise savings-investments in situations where a traditional company has someone buy a majority of their stocks.", 1.0
" In angel investing, for example, you dont ask for control in return for capital.", " Most lenders will not loan significant capital to a venture without some collateral.", -1.0
" Workers interests are likely to align with the companies best interests.", " Workers will vote in their own favor rather than in the favor of the future of the company.", -1.0
" Employees are the face of the organization since they interact with customers. Therefore, the reputation of the company is in their hands.", " The labor of workers, rather than the labor of owners, is more essential to the functioning of the company.", 1.0
" Worker coops can and do raise capital by selling stock of their company. They can sell their stock to raise capital without granting ownership or voting rights to non-workers.", " Worker co-operatives can raise capital through other mechanisms.", 1.0
" A co-op would not be one person trying to invest. This would be multiple employees from within the same field of work investing together. If the government got on board with co-ops to help with distribution of profit we could also demand our politicians incentivize banks to give out low equity loans to workers trying to create co-ops.", " Most lenders will not loan significant capital to a venture without some collateral.", -1.0
" Founders of businesses often rush to venture capital firms for capital influx in businesses without being aware of the alternatives. This results in founders giving up 10% to 30% of business ownership to these venture-capital firms.", " Businesses which jump start growth via influx of capital do so by rushing through processes which would result in a better business (for customers, shareholders, and employees) were they given the time to organically come about.", 1.0
" Many countries prohibit foreign ownership of companies. (P.2)", " Foreign investors face restrictions regarding investment in/ownership of companies.", 1.0
" Banks cannot pay interest if they cannot invest their funds and earn a profit on it.", " Without equity financing and stock markets, banks return to their more traditional role of giving out business loans and collecting interest from them. Retirement savings could be placed in banks and collect higher interest rates.", -1.0
" In Canada, worker cooperatives are more resilient than conventional businesses.", " Worker owned companies statistically see lower rates of business closures than other companies.", 1.0
" Without the ability to invest in stock, banks will be more likely to give business loans.", " Worker co-operatives can raise capital through other mechanisms.", 1.0
" Workers oversee the logistics usually handled by a middleman in a traditional company, allowing the company to reduce unnecessary expenses.", " Research suggests that worker owned companies are more durable and resilient during economic downturns.", 1.0
" When a companies employees are constantly leaving, it is difficult to maintain the same level of output.", " Worker owned companies suffer less from employee turnover.", 1.0
" If businesses do not have the capital to adapt and change in these ways, it is unlikely that they will survive in the long term.", " Capital is important for major business changes such as expansion, adding new business locations or products or a merger with another company.", 1.0
" Cooperative Home Care Associates, the largest worker-owned coop in the U.S, has an estimated turnover rate of 15% in an industry that averages 60%.", " Worker owned companies suffer less from employee turnover.", 1.0
" The annual staff turnover rate of John Lewis Partnership - a large workers cooperative - was 21% compared to 38% and 43% respectively for its two main competitors. (Oxfam, 2014, p. 9)", " Worker owned companies suffer less from employee turnover.", 1.0
" Inflation will reduce the size of funds when they cannot make capital gains.", " Society could provide retirement through social security insurance and pensions.", -1.0
" Many worker cooperatives dont pay equally for equal amounts of work.", " Workers are likely to be motivated to innovate since they directly benefit from the gains they create.", -1.0
" Workers now have to divert their time between raising the necessary capital to start the company up as well as work in order to compete successfully against other businesses (pg. 87).", " In the past, the precarious position of these employee-owned companies due to their lack of capital meant that these companies struggled to work efficiently (pg. 87)", 1.0
" In a world where all companies are workers cooperatives - owned by multiple owners - conventional lenders wont have the privilege of choosing between companies such as these and other companies;hence, they are likely to finance these businesses.", " Conventional lenders remain skeptical about financing businesses that have multiple owners and don’t typically provide voting shares to outside capital.", -1.0
" In 2005, 1% of German businesses were declared insolvent, but the statistic for cooperatives was less than 0.1%.", " Worker owned companies statistically see lower rates of business closures than other companies.", 1.0
" In the long term, companies where the workers choose to vote against the company will fail. This is similar to how companies with bad leadership fail in todays market.", " Workers will vote in their own favor rather than in the favor of the future of the company.", -1.0
" Job security is an important measure for job satisfaction which in turns enhances workplace motivation.", " The efficiency loss in hiring and firing may be balanced by efficiency gains from increased worker incentives to work hard and innovate.", 1.0
" When deciding on which factory to close there will be a stalemate between the workers in the different factories.", " Workers will vote in their own favor rather than in the favor of the future of the company.", 1.0
" Innovation does not have to refer to research and development type innovation. It can involve improving processes or management or cutting costs which every worker can have useful ideas about.", " The majority of workers do not have the education and skills necessary to be innovative;many jobs do not, and should not, revolve around the function of innovating on behalf of the company.", -1.0
" RD workers account for only just over 1% of total business employment in the Unites States.", " The majority of workers do not have the education and skills necessary to be innovative;many jobs do not, and should not, revolve around the function of innovating on behalf of the company.", 1.0
" Unions have been historically selective in their membership, and often reinforced racial and ethnic inequalities. (Western and Rosenfeld, 2011, p. 21). A universal vote for each worker within a workers cooperative is unlikely to perpetuate such inequalities.", " Workers unions only let workers bargain for better working conditions and wages. Co-ops put workers in decision making positions, by allowing the workers to have a vote on who the board of directors are.", 1.0
" Board members elected by workers cooperatives to make strategic decisions on their behalf are likely to be experts in economic governance and management.", " There are representative democratic models of worker cooperatives, where workers elect their board members to make strategic business decisions on their behalf (presuming their elected board members have the expertise to do so). If their board members dont fulfill their promises, by the next election cycle workers have an opportunity to elect new board members.", 1.0
" Board members elected by workers cooperatives to make strategic decisions on their behalf are likely to be experts in economic governance and management.", " Decisions to close factories are made by experts elected to the Executive Board who have both the skills and the democratic mandate to make the best possible decision.", 1.0
" High turnover usually has a negative effect on the morale of the remaining employees, who can become insecure about their own jobs. Low morale tends to make employees less enthusiastic and productive.", " Worker owned companies suffer less from employee turnover.", 1.0
" Private companies re-brand themselves as interest groups to influence public opinion.", " The wealthiest majority shareholders of corporations tend to use their economic power to influence government policy and voting trends.", 1.0
" Governments can provide finance to businesses through grants or loans. In this way, communities can democratically decide what businesses they want to invest in.", " Worker co-operatives can raise capital through other mechanisms.", 1.0
" The employees are essential to provide the goods or services that the company has to offer.", " The labor of workers, rather than the labor of owners, is more essential to the functioning of the company.", 1.0
" Stock markets actually jeopardise savings-investments in situations where a traditional company has someone buy a majority of their stocks.", " Stock markets are the best mechanism for individuals to invest and grow their savings.", 1.0
" Companies can still attempt to commit fraudulent activities through masking illegal activities by manipulating the data they release to the public and financial authorities.", " For instance, the EU requires the disclosure of yearly and half-yearly financial reports and major changes in the holding of voting rights from companies which issue securities traded on regulated markets within the EU.", -1.0
" Greater employee involvement in decision making may have a negative affect on work friction, as some of the responsibilities that come with increased participation entail excessive peer monitoring and pressure which leads to interpersonal friction among employees. (Oxfam, 2014, p. 9).", " Friction between bosses and the staff is likely to decrease, saving time and costs.", -1.0
" Worker cooperatives are likely to cut costs by slowing down expansion to maintain current assets whereas traditional corporations may pay less attention to strategic planning and simply shed jobs to tighten budgets.", " Research suggests that worker owned companies are more durable and resilient during economic downturns.", 1.0
" In the United Kingdom, an estate tax is charged at 40% on the value of an inherited estate.", " An inheritance tax system can be used to curb massive amounts of wealth being passed between generations.", 1.0
" There is no moral justification in taking property from someone without their consent (thievery). It is always possible to create a crowdshare type company or corporation;it does, however, exist a fear that they would fail, outright, and that the other guys should be forced to play along to even the playing field.", " Despite Western societys acceptance of property rights as axiomatic, property rights are arbitrary and have no moral justification. Virtually all ownership of land (and by induction, all property) is justified by the right of conquest, which lacks moral authority. Even Western corporations werent always considered property, they were established temporarily for the public good, and were more of a way to pool resources and labor than a profit-making venture in their earlier days.", -1.0
" Returns on equity have historically been noticeably higher than return on debt. Forcing pension funds to invest only in debt will lead to smaller returns and smaller pensions.", " Without equity financing and stock markets, banks return to their more traditional role of giving out business loans and collecting interest from them. Retirement savings could be placed in banks and collect higher interest rates.", -1.0
" Worker owned companies see on average 4-5% higher productivity levels than other companies.", " Worker owned enterprises tend to outperform their competitors.", 1.0
" Social security, pensions, and other pay-as-you-go systems are pyramid schemes, and have horrible intergenerational equity. For example, you will never see a dime of what you paid into the social security system, notwithstanding the states penchant for borrowing against it to fund unrelated programs.", " Society could provide retirement through social security insurance and pensions.", -1.0
" If wealth is spread more evenly, people will have money to loan to family and friends or to contribute to crowd funding campaigns.", " Worker co-operatives can raise capital through other mechanisms.", 1.0
" Cooperative federations, such as the Mondragon Corporation, provide an alternative means for raising capital: individual cooperatives can join a cooperative federation to share capital and other resources.", " Worker co-operatives can raise capital through other mechanisms.", 1.0
" Being dependent on an influx of capital to jump-start the business means that the priorities of the initial investors will override the priorities of other stakeholders in the business (such as those of shareholders, employees and the founders themselves).", " Businesses which jump start growth via influx of capital do so by rushing through processes which would result in a better business (for customers, shareholders, and employees) were they given the time to organically come about.", 1.0
" Banks give business loans all the time without substantial control over how their loans are used.  And this is in a world where equity financing is an option. If we remove equity financing as an option, business loans will be an even more palatable option for people with capital that needs to be used.", " Most lenders will not loan significant capital to a venture without some collateral.", -1.0
" People own themselves and, consequently, their labor. Therefore, they have a right to own the fruits of their labor.", " The labor of workers, rather than the labor of owners, is more essential to the functioning of the company.", 1.0
" If Apple were a worker cooperative, each employee would earn at least $403,000.", " Workers are likely to be motivated to innovate since they directly benefit from the gains they create.", 1.0
" Savings accounts offer a safer and more dependable route to generate rent than investing in the stock market, and often with higher returns.", " Stock markets are the best mechanism for individuals to invest and grow their savings.", -1.0
" Highly leveraged companies are very sensitive to economic declines and at higher risk for bankruptcy.", " Inability to raise equity will lead to substantially higher leverage levels and thus will exacerbate risks of economic shocks.", 1.0
" A significant number of companies go bankrupt after private equity buyouts. This leaves already struggling companies and its workers much worse off.", " Private equity firms often invest in companies which are under-performing or under-valued and use their management knowledge and capital to turn the business around.", -1.0
" Many people invest in stocks all the time without any expectation or desire to have substantial power and control over how their investment is used. They make those investments in hopes of being able to sell them in the future to turn a profit.", " Most lenders will not loan significant capital to a venture without some collateral.", -1.0
" Worker co-ops could still innovate and take advantage of automation, but would just use automation differently than how a traditional business would.", " Workers have little incentive to innovate in areas that result in a loss of jobs, such as automation.", -1.0
" Studies have found that converting businesses to worker owned companies can boost profits by as much as 14%.", " Worker owned businesses tend to outperform their competitors, meaning that they are seen as an attractive investment opportunity for many funders.", 1.0
" Studies have found that converting businesses to worker owned companies can boost profits by as much as 14%.", " Worker owned enterprises tend to outperform their competitors.", 1.0
" Otherwise, workers might feel frustrated as they are working only for the gains of somebody else.", " Having a role in the ownership of a company means that workers feel a greater sense of responsibility for and a personal stake in helping the business improve.", 1.0
" Worker owned businesses tend to outperform their competitors, meaning that they are seen as an attractive investment opportunity for many funders.", " Most lenders will not loan significant capital to a venture without some collateral.", -1.0
" The International Cooperative Alliance has conducted extensive research in helping workers cooperatives find innovative solutions to globalization, automation and environmental issues.", " Workers cooperatives receive technical and research support from international cooperative networks such as the International Cooperative Alliance which drives innovation.", 1.0
" Many countries limit the share of companies’ equity capital in a target sector that foreign investors are allowed to hold. (P.2)", " Foreign investors face restrictions regarding investment in/ownership of companies.", 1.0
" A study focused on unemployment in European countries has concluded that research estimations do not suggest that technological innovations have an effect on unemployment.", " Workers have little incentive to innovate in areas that result in a loss of jobs, such as automation.", -1.0
" The largest private corporations and wealthiest individuals have a history of successfully lobbying governments to reduce regulation and act in their interest.", " The wealthiest majority shareholders of corporations tend to use their economic power to influence government policy and voting trends.", 1.0
" Businesses are either more than just property or are not property per se. Theyre an organization (or arguably a society of) people who invest time and energy in doing work to produce goods and services for others to consume.", " Businesses are not property.", 1.0
" Friction between bosses and the staff is likely to decrease, saving time and costs.", " Worker-owned companies are more productive.", 1.0
" Workers unions only let workers bargain for better working conditions and wages. Co-ops put workers in decision making positions, by allowing the workers to have a vote on who the board of directors are.", " Policies that strengthen and support unions help to reduce wealth inequality, as unions lobby for higher wages and push to hold down executive salaries.", -1.0
" The labor of workers, rather than the labor of owners, is more essential to the functioning of the company.", " Business owners have put in time, effort and money to make their businesses flourish. They should be allowed to have the fruits of their labor.", -1.0
" In the past, the precarious position of these employee-owned companies due to their lack of capital meant that these companies struggled to work efficiently (pg. 87)", " Businesses that cant sell equity would struggle to raise capital making it harder to start or grow a business.", 1.0
" Businesses which jump start growth via influx of capital do so by rushing through processes which would result in a better business (for customers, shareholders, and employees) were they given the time to organically come about.", " Businesses that cant sell equity would struggle to raise capital making it harder to start or grow a business.", -1.0
" The efficiency loss in hiring and firing may be balanced by efficiency gains from increased worker incentives to work hard and innovate.", " Worker cooperatives are less efficient because they place a premium on job security.", -1.0
" For instance, the Telford County Council Scrutiny Management Board has a Cooperatives and Communities Council dedicated to scrutinising workers cooperatives and other similar enterprises.", " Many local governments operate cooperative scrutiny boards specifically intended to monitor the financial and economic activities of workers cooperatives. This oversight is likely to deter workers cooperatives from committing fraudulent activities.", 1.0
" The majority of workers do not have the education and skills necessary to be innovative;many jobs do not, and should not, revolve around the function of innovating on behalf of the company.", " Worker ownership encourages companies to carry out RD.", -1.0
" Inability to raise equity will lead to substantially higher leverage levels and thus will exacerbate risks of economic shocks.", " Businesses that cant sell equity would struggle to raise capital making it harder to start or grow a business.", 1.0
" There are representative democratic models of worker cooperatives, where workers elect their board members to make strategic business decisions on their behalf (presuming their elected board members have the expertise to do so). If their board members dont fulfill their promises, by the next election cycle workers have an opportunity to elect new board members.", " Participation in the business decision making structure creates incentives for workers to learn more about management and for the company to invest in business education for their workers", -1.0
" Workers will vote in their own favor rather than in the favor of the future of the company.", " Worker cooperatives are less efficient because they place a premium on job security.", 1.0
" Workers cooperatives receive technical and research support from international cooperative networks such as the International Cooperative Alliance which drives innovation.", " Worker ownership encourage entrepreneurship.", 1.0
" Workers have little incentive to innovate in areas that result in a loss of jobs, such as automation.", " Worker ownership encourage entrepreneurship.", -1.0
" Workers have little incentive to innovate in areas that result in a loss of jobs, such as automation.", " Worker cooperatives are less efficient because they place a premium on job security.", 1.0
" It is essential for businesses to respond quickly to new market competitors.", " This makes it harder for worker-owned companies to respond quickly to market changes.", 1.0
" For instance, the EU requires the disclosure of yearly and half-yearly financial reports and major changes in the holding of voting rights from companies which issue securities traded on regulated markets within the EU.", " Publicly listed companies owned by shareholders are obliged to publish a significant amount of information regarding the companys internal finances and ownership, which is scrutinized by financial authorities. This public disclosure and increased scrutiny deters fraud in such companies.", 1.0
" Apples government subsidies prove that taxation is theft. The iPhone currently maintains a ~43.5% market share of all smartphones which are sold in the US. That means that the majority of smartphone users (in addition to all non-smartphone users) are paying for a product which they do not use. If even one person is forced/compelled/extorted to pay for a service which benefits all of society, it is still unjust. Socialized investment should be voluntary;not compelled.", " Apple has decades of public subsidies and socialized investment and state, tax funded market interventions to thank for the fact that the foundations of the technology it profits from exists. The fact that the taxpayers responsible never relinquished control over their invested property-nor were ever given their due- in the way described here puts us in a very morally gray area, where privatizion is an unavoidable massive theft. As it typically is.", -1.0
" Research analyzing data on workers cooperatives in Europe, the US and Latin America has shown that giving workers a direct stake in managing production improves business efficiency and worker productivity.", " Worker-owned companies are more productive.", 1.0
" Research analyzing data on workers cooperatives in Europe, the US and Latin America has shown that giving workers a direct stake in managing production improves business efficiency and worker productivity.", " The efficiency loss in hiring and firing may be balanced by efficiency gains from increased worker incentives to work hard and innovate.", 1.0
" Blacks are able to create a sense of solidarity by using an economic structure that creates economic prosperity for all.", " Black worker cooperatives can be used to fight institutional racism.", 1.0
" According to European Project–Active Women in Small and Medium Enterprises, in 93.8% of cases in worker co-operatives in Spain, France and Italy, gender-based salary discrimination does not exist.", " Salaries in worker co-operatives tend to foster gender equality.", 1.0
