premise,conclusion,weight
" Various studies have found the heritability of IQ to be between 0.7 and 0.8.", " Many traits that are socially praised also have high heritability rates.", 1.0
" 1. All concepts are informed partly by language. 2. Language is a social construct. C. All concepts are informed partly by a social construct.", " There is no difference between artificial or natural things to the matter of existence.", 1.0
" The heritability of height is about 0.8", " Many traits that are socially praised also have high heritability rates.", 1.0
" Facial feature attractiveness has a heritability of about 0.65.", " Many traits that are socially praised also have high heritability rates.", 1.0
" Even if everyone would suddenly forget what are chairs, it would still be true that what was defined before as a chair can still be found today.", " There is no difference between artificial or natural things to the matter of existence.", 1.0
" If the scientific definition change and atoms become fictional, it would still be true that what was defined before as a atoms can still be found today.", " There is no difference between artificial or natural things to the matter of existence.", 1.0
" Praise by people that have no special needs are common and support the existence of genuine praise", " There is no genuine praise.", -1.0
" The forgiveness through Christ sacrifice was given to men before the time itself was created ! (2 Tim 1.9)", " There is no before the spiritual sacrifice of Christ according to some bible verses.", 1.0
" There is no essential chairness to the chair beyond the qualities human beings attribute to it as they percieve it as an assemblage.", " The actual object, the chair remains, and not only the concept of the chair, even if all people become chair-sceptics. This is the distinction between a useful fiction (like a freewill existing only to support the justice system) and actually extant things.", 1.0
" Even if everyone would start believing chairs are chaises by changing its definition, it would still be true that what was defined before as a chair can still be found today. Whatever is the social construct we make, the chairs truly exists.", " One mans chair is anothers chaise, but as a congregation of matter it can still be said to be objectively real or not.", -1.0
" Even if everyone would start believing chairs are chaises by changing its definition, it would still be true that what was defined before as a chair can still be found today. Whatever is the social construct we make, the chairs truly exists.", " The actual object, the chair remains, and not only the concept of the chair, even if all people become chair-sceptics. This is the distinction between a useful fiction (like a freewill existing only to support the justice system) and actually extant things.", 1.0
" Atoms have their being independent of human concepts and actions. While artificial things like chairs are invented, natural things like atoms are discovered.", " While no artificial things (like Chairs) would exist without our categories and concepts, natural things (like atoms) would.", 1.0
" Praise is a behaviour of exclamation by a person feeling impressed, amazed or proud of the achievement of another. There is no necessity for freewill;it is a directed expression of an emotion.", " Praise-talk is true when free will exists. It is false when free will doesnt exist. If praise exists, then free will exists. If there is no free will, there is no genuine praise.", -1.0
" There is no difference between artificial or natural things to the matter of existence.", " While no artificial things (like Chairs) would exist without our categories and concepts, natural things (like atoms) would.", -1.0
" Free will and its physical correlate would continue to exist, even if people lost belief in it or came up with a new word to describe the phenomenon.", " The actual object, the chair remains, and not only the concept of the chair, even if all people become chair-sceptics. This is the distinction between a useful fiction (like a freewill existing only to support the justice system) and actually extant things.", -1.0
" Having eternal life and having free will are fundamentally, functionally, and metaphorically different.", " “For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life. John 3:16 Only people that believe in Jesus can benefit from his death. Many people dont believe, but are not lacking free will.", -1.0
