premise,conclusion,weight
" The article that gender pay is falsely interpreted is solely based on the book by Marty Nemko, an author and educator, not a scientist.", " Women claiming there is a Gender pay gap, while in actuality they are simplyfalsely interpreting a number of a statistic, without paying attention to what is behind it (a combination of factors like regular work hours, work-family relative focus, productivity, biological reasons= varying effects across different professions)", -1.0
" That is not the point that was argued. The point was that Not all speech is equal or equally legitimate, such as the case where lies are spread to degrade or dehumanize a group of people for example. Saying all Catholics are pedophiles is incorrect and spreads a lie based on the fact that there have been numerous cases of pedophilia within the Catholic church;the former being illegitimate and the form being fact.", " Whether the lie should be kept from the public or the public from the lie, there is a large difference in declaring that no speaches may be given due to a risk of a lie and holding the lier accountable for the results of the lie.", -1.0
" Just because a group accepts a position doesnt mean mean that it will have the best outcome. (Groupthink bias.)", " Majority support of a policy will allow the largest number of people to benefit.", -1.0
" Only when there is a reasonable inference of intent to kill. One can not kill someone just because they are about to slap them;that would be murder.", " Lethal force is authorized in self-defense situations. That is why they are called self-defense situations, because life and liberty are being attacked.", -1.0
" Nobody has the ability to stop themselves either seeing or hearing hate speech since they must have already seen or heard it to determine that it was hate speech. However, everyone has the ability to stop themselves from speaking or writing it.", " People are already able to choose what information to consume.", -1.0
" Women claiming there is a Gender pay gap, while in actuality they are simplyfalsely interpreting a number of a statistic, without paying attention to what is behind it (a combination of factors like regular work hours, work-family relative focus, productivity, biological reasons= varying effects across different professions)", " Feminists claiming rights inequality still exist, based on perceived male-controlled society, when in actuality it is simply a matter of statistical distribution and unreasonably (or as intellectual dishonesty) interpreting statistical performance.", 1.0
" The implication that women are a small vocal minority ignores their number. They number about the same as men. However status of women as a subordinate group has led them to be considered as a minority group.", " Vocal minorities pressure companies into enacting gender quotas and general diversity requirements that force employee selection away from performance and niche skills. Said pressure is most often applied through Hecklers veto, as there is otherwise no other causality, nor legal requirement.", -1.0
" It is censored in BF5, which is notorious for its SJW theme.", " Considering context, the term straight white male and similar versions fall under hate speech too. Straight white males are not a politically weak out-group, but a non-reactionary one for the most part.", 1.0
" Murder is not self-defense.", " No, Self defense has a principle of justifiable harm. You cant murder someone because they are going to punch you, you can however strike them to protect yourself. Self defense when it comes to insults would equate to being allowed to insult your insult-er back - which is generally the social paradigm as it stands now.", -1.0
" This is the reason that minors are generally tried under a different set of laws and are not legally responsible for themselves. ie why a childs parents make medical decisions for their children.", " Regulating hate speech isnt regulating emotion, but action. It is not illegal to be so mad with someone that you want them dead. It is illegal to take the actions that lead to their death.", 1.0
" Majority support of a policy will allow the largest number of people to benefit.", " The imposition of the will of a majority comes at the expense of a minority. (Also referred to as tyranny of the majority.)", 1.0
" A distinction must be made between uncomfortable and being threatened and dehumanized. This word choice greatly minimizes the real consequences of hatred, and their impact on the already vulnerable and disempowered members of society.", " It is unreasonable to demand insulation from ideas we find uncomfortable. There is no practical way to implement this kind of censorship without an authoritarian bent, which is contrary to the ideals of a liberal society.", -1.0
" Lethal force is authorized in self-defense situations. That is why they are called self-defense situations, because life and liberty are being attacked.", " No, Self defense has a principle of justifiable harm. You cant murder someone because they are going to punch you, you can however strike them to protect yourself. Self defense when it comes to insults would equate to being allowed to insult your insult-er back - which is generally the social paradigm as it stands now.", -1.0
" Whether the lie should be kept from the public or the public from the lie, there is a large difference in declaring that no speaches may be given due to a risk of a lie and holding the lier accountable for the results of the lie.", " The idea is the same. The argument in the knife/child example would be that the child should have been kept from the knife or the knife should have been kept from the child. In the lying example, the arguments run parallel. The lie should be kept from the public, or the public should be kept from the lie.", -1.0
" That term attempts to diminish someones opinion and status.", " Considering context, the term straight white male and similar versions fall under hate speech too. Straight white males are not a politically weak out-group, but a non-reactionary one for the most part.", 1.0
" The examples given are the exception, not the rule. If minorities always shouted down the majority, there wouldnt be the vast inequalities that exist in race, gender and religion, currently.", " In practice it is the loud minorities that shout down the passive majority.", -1.0
" For example, Denmark uses the categories race, national or ethnic origin or belief and the types threatening, insulting, or degrading.", " Many countries have found it possible.", 1.0
" Black Lives matter, protesting against the existence of- and raising awareness of the lowest relative murder rate if broken into racial group on racial group. Actuality: It being lowest, makes it least priority if one is to separate them in this fashion.", " In practice it is the loud minorities that shout down the passive majority.", 1.0
" Incitement is dealt with separately, as it aims to provoke action. Hate speech is sharing an opinion or simply stating an insult. That is not an aim at a reaction and therefore can not be logically restricted within a free speech legislation.", " Hate speech can be reasonably interpreted as verbally attacking someone on the basis of ethnicity, religion, gender Identity etc... and so laws on incitement ( encouraging someone to become violent) and hate speech can (and do) both coexist.", -1.0
" No, Self defense has a principle of justifiable harm. You cant murder someone because they are going to punch you, you can however strike them to protect yourself. Self defense when it comes to insults would equate to being allowed to insult your insult-er back - which is generally the social paradigm as it stands now.", " The idea that psychological harm is just as valid as physical harm, if legally confirmed, would allow for lethal repercussions to perceived insults as self-defense.", -1.0
