premise,conclusion,weight
" This should not happen at the expense of a countrys sovereignty, as happened in the case of Greece ever since the first memorandum in 2010. In detail, according to the Greek Loan Facility Agreement of 2010, and more specifically, in article 14, paragraph 4, the Hellenic Republic denounced any form of immunity (as a consequence of its sovereignty) regarding this agreement, in respect of itself or its aspects.", " Since a debt crisis in one Euro country has ability to affect all other Euro countries, such a crisis should be handled by institutions representing the entire Eurozone.", -1.0
" The market tends to treat Greek, German, French and Irish banks all very differently. This would not be the case (or at least not to the same degree) if the ECB really was viewed as the guarantor of banks all across the eurozone.", " In the eurozone, even though the ECB has implemented limited bail outs of banks in some cases, the market still tends to view national governments as the overall guarantors of a countrys banking system, meaning they are more threatened by the prospect of a runs on their banks in the event of economic shock.", 1.0
" Since a debt crisis in one Euro country has ability to affect all other Euro countries, such a crisis should be handled by institutions representing the entire Eurozone.", " The majority of these officials were not appointed by the Greek government, which is the only government elected to represent the Greek people who were the ones affected by their debt crisis.", -1.0
" The increasing purchasing power of the euro is only a problem because of Greeces minimum wage. Without it, an increase in the euros purchasing power would be met by employees bidding down wages until an equilibrium was reached.", " In a monetary union and single market, the purchasing power of a currency is determined (to an extent) between all countries rather than within a country. Thus a Greek euro is worth more in PPP terms while a German euro is worth less, leading to wages that are more or less expensive relative to what a national currency would offer.", -1.0
" The difference is that when countries have their own currency there are usually political mechanisms to redistribute resources to compensate for this undervaluation and over valuation. This is not true in the Eurozone.", " Undervaluation and overvaluation on the regional level is a feature of all currencies. Stronger regions (such as a capital city) will always be undervalued by whatever currency is in place, while rural areas will always be overvalued.", -1.0
" In the eurozone, even though the ECB has implemented limited bail outs of banks in some cases, the market still tends to view national governments as the overall guarantors of a countrys banking system, meaning they are more threatened by the prospect of a runs on their banks in the event of economic shock.", " In the US, runs on local or regional banks are less likely because the market knows that these banks will generally be guaranteed at a federal level.", 1.0
" Within individual countries, redistribution and government investment can be deployed to correct for some regions being harmed by devaluation. This is not possible in the Eurozone because there is no political union.", " This is also the case for any currency on regional level;even with a local currency in each country you will have a region that would appreciate devaluation and one that will be harmed by it. The Euro is not different in that regard from having national currencies.", 1.0
" The majority of these officials were not appointed by the Greek government, which is the only government elected to represent the Greek people who were the ones affected by their debt crisis.", " Each of the members of the executive boards of the troika institutions are appointed by the elected representatives of the member nations, meaning that they are ultimately elected by a democratically accountable process. In this way they are no less democratically representative than other officials within the EU or even national officials such as supreme court justices, police commissioners, or attorney generals (depending on the country).", -1.0
" Schengen Agreement eliminates first and foremost the need for border checks amongst members of the EU (Including EEA members), to begin with. Visa-free travel is already guaranteed by being a member of European Union. For instance, travelling between Bulgaria and Romania, two countries not participating in the Schengen Area, are having visa free border checks amongst them.", " Visas have traditionally served as one of the biggest barriers to travel. The Schengen Agreement eliminates the requirement for them.", -1.0
" The effects of the financial crisis on the eurozone created huge amounts of distrust and suspicion between Greece and Germany.", " The euro has been a flash point that has created tension between lots of EU countries. If anything, it has reduced trust and made cooperation on other issues less likely.", 1.0
" Most Europeans are never asked whether they want most of their countrys laws and policies implemented. Rather, they delegate that power to their democratically elected representatives. In this case, those representatives did decide that they wanted to join the euro.", " Most Europeans were never asked whether they wanted the Euro.", -1.0
" Relative overvaluing also raises the prices of imports into peripheral nations, hurting their ability to industrialize and grow.", " With the euro averaging its value across the member states, it is undervalued from the perspective of high-value exporters such as Germany, meaning their exports are artificially cheaper for international buyers.", -1.0
" The ECBs stance on inflation, that the focus should always be on keeping it as low as possibly whilst essentially ignoring unemployment, tends to reflect that of Germany rather than any other Eurozone country.", " The ECB is de facto dependent on Germany, even if it is de jure independent.", 1.0
" Germany has stated it will stop all arms trade with the KSA until such time that action is taken to redress the murder of Jamal Khashoggi.", " Even though both Russia and the West have done this, the West has a check on this through vocal populations who protest the backing of dictators.", 1.0
" This could be avoided by bilateral/multilateral agreements on economic cooperation between various states, in which a certain exchange rate could be set either for the whole of their economic relations or for specific sectors and products. Combined with a clearing system between these parties, it is obvious that no fluctuations should be expected, because everything will be already set and if needed to change, this will be made by the parties-states themselves, in any way they deem acceptable.", " Transactions which occur in two or more currencies are complicated by a risk that any of the currencies involved may change in value.", -1.0
" The UK and France are two of the largest weapons sellers to the KSA, a monarchy with a terrible human rights record.", " Even though both Russia and the West have done this, the West has a check on this through vocal populations who protest the backing of dictators.", -1.0
" Russia, unlike Hungary, is sanctioned by Western states.", " The exclusion is not comparable, as unlike Russia, Hungary is a member of NATO and is viewed as a full member of the Western bloc despite the differences in opinion under the Orbán regime.", 1.0
" The US is an outlier trailing most mature democracies concerning voter turn out.", " If most mature democracies have similar rates of voter participation, it implies that these rates are the norms of democratic participation as opposed to a deficit.", -1.0
" Economic stagnation in the periphery can lead to instability that can threaten the core Eurozone countries as well. This means that even if the ECB is controlled by Germany, there will always be an incentive to avoid this unless it is absolutely necessary.", " The ECB has no incentive to purposely cause economic stagnation in the periphery, so austerity measures are likely to only be imposed when public spending is unsustainably high.", 1.0
" If a country is hit hard economically, like the periphery of the eurozone was after the financial crash, a large devaluation can be a very useful response as it can increase competitiveness and make the value of exports cheaper. The problem was, and still is, that this scale of devaluation will never be in the interest of stronger economies. Since they have no need to boost competitiveness, the effect would just be lowering wages for no real reason.", " This did not go nearly far enough as the fundamental problem remains that the scale of devaluation that countries like Greece or Portugal have needed will always be counter to the interest of stronger economies like Germany.", 1.0
" The policies followed by central banks after the 2007-2008 crisis, and more specifically the ones followed by the ECB, have been politically incentivised, so as to we should review the idea of bank sovereignty altogether. Yet, as this requires a (theoretically) full economic union and the fact that this option is neither favoured, nor wanted, nor even beneficial, we should review this within the framework of national central banks. For more, see amongst others this paper, as well as this book.", " The fundamental distance should not be the problem as monetary policy is supposed to be for the benefit of society as a whole. The ECB is not supposed to represent european citizens but has one fundamental goal: to maintain price stability (attained by economic growth and stable employment rates). This is (supposed to be) uninfluenced by any political policy (and thus democratic elections) as there was a consensus that price stability is beneficial for society.", -1.0
" Currency devaluation does not prevent states from also using all those mechanisms mentioned to create a holistic and effective policy.", " Currency devaluation does not adequately address supply shocks, political demands, government corruption and so forth, all of which work in tandem during economic crisis. So devaluing the currency only pushes the problem away for a later date, making it much worse in the long run.", -1.0
" Outside of being pegged to a second currency or good such as gold there is no objective measure of the value of a currency. The euro is neither so cannot be under-valued whether Germany wants to do so or not.", " With the euro averaging its value across the member states, it is undervalued from the perspective of high-value exporters such as Germany, meaning their exports are artificially cheaper for international buyers.", -1.0
" Outside of being pegged to a second currency or good such as gold there is no objective measure of the value of a currency. The euro is neither so cannot be under-valued whether Germany wants to do so or not.", " With the euro averaging its value across the member states, it is overvalued from the perspective of low-value exporters and tourist-heavy economies such as Greece, meaning that their exports and holiday experiences are artificially more dear for international buyers.", -1.0
" This is also the case for any currency on regional level;even with a local currency in each country you will have a region that would appreciate devaluation and one that will be harmed by it. The Euro is not different in that regard from having national currencies.", " The common currency means that countries with weak economies cannot devalue their currencies relative to stronger economies to increase competitiveness, thus favouring the latter.", -1.0
" Each of the members of the executive boards of the troika institutions are appointed by the elected representatives of the member nations, meaning that they are ultimately elected by a democratically accountable process. In this way they are no less democratically representative than other officials within the EU or even national officials such as supreme court justices, police commissioners, or attorney generals (depending on the country).", " The Greek debt crisis was primarily handled by the so-called troika, which consisted of the European Commission, the European Central Bank and the International Monetary fund - none of which are democratically elected.", -1.0
" Germany provides the largest amount of capital to the ECB.", " The ECB is de facto dependent on Germany, even if it is de jure independent.", 1.0
" The issue is not that the ECB actively wants to cause economic stagnation, but rather that it has such an ideological commitment to the idea that austerity is the only policy option that it is blinded to other possible solutions.", " The ECB has no incentive to purposely cause economic stagnation in the periphery, so austerity measures are likely to only be imposed when public spending is unsustainably high.", -1.0
" The US is of comparable size to the eurozone, yet it manages to weather asymmetric and localised shocks.", " Since it is comparatively bigger than most other currency areas, the Eurozone is prone to asymmetric shocks that would require locally coordinated and appropriate policy responses.", -1.0
" Political pressure tends to be election-focused and thus incentivised to address short-term issues. Without the ability to value long-term planning there is little to incentivise central banks to run counter-cyclical monetary policy.", " Allowing interest rates to be dictated by the usual democratic pressures would lead to inconsistent and disastrous monetary policy.", 1.0
" As the nation with the largest private lending market within the Eurozone, Germany can influence the votes of other members.", " The ECB is de facto dependent on Germany, even if it is de jure independent.", 1.0
" In spite of the fact that most Britons oppose the arms trade with the KSA, it continues. This implies that vocal populations have proven ineffective in checking the West meaningfully.", " Even though both Russia and the West have done this, the West has a check on this through vocal populations who protest the backing of dictators.", -1.0
" Apparently not, as entering the Economic and Monetary Union is a condicio sine qua non, but for Denmark and the United Kingdom, for all member states of the European Union. Even if these countries had this option, this by no means equals that this was a real choice or rather a fake dilema that actually does not exist.", " They are faced with these options as a result of their primary decision to join the union in the first place (while knowing the requirements and details of the system). Complaining about the options afterwards is proof of the failure of short-term thinking by many politicians, not proof of the Central Bank being evil.", -1.0
" Greece borrowed directly from member-states rather than the ECB. The European Stability Mechanism managed those funds, which specifically did not allocate money to addressing unemployment.", " Free trade roughly matches two (capital-goods/labor mobility) of the 4 optimal currency-area criteria. The elephant missing from the room is the risk sharing system. Keynes proved that markets cannot irrationally move against falling-wages/unemployment and/or shrinking money-supply. ECB is crippled by its founding regulations on that front, as it cannot fund any failing state.", 1.0
" 1.3 billion internal border crossings are made through the Schengen Area every year.", " The Schengen Agreement was critical in integrating EU states. Without such integration the Euro would not have been nearly as successful.", 1.0
" Representative democracy, rather than direct democracy, is the predominant form of democratic rule. Under such a system politicians are given the (temporary) authority to do what they believe is right rather than what is vox populi of the moment.", " Then German chancellor Helmut Kohl knew that the Euro did not have popular support when it was introduced. He pushed for it because he thought it was right, not because it was backed by the sovereign, the people.", -1.0
" In a monetary union and single market, the purchasing power of a currency is determined (to an extent) between all countries rather than within a country. Thus a Greek euro is worth more in PPP terms while a German euro is worth less, leading to wages that are more or less expensive relative to what a national currency would offer.", " The euro means that wages in countries such as Greece are artificially high something that has contributed to large amounts of unemployment.", 1.0
" Ideologically the central bank is a result of capitalistic evolution. The fiscal discipline (Stability and Growth Pact) on the other hand was a political choice (although also neoliberal). The Central Bank acts as enforcer of this agreement in the same way the judicial system has the authority to deploy sentences. However because of the separation of duties, the Central Bank (or the German Bundesbank) cannot be said to be the one who made this agreement/law.", " This is because the ECB has been ideologically captured by the German Bundesbank, which sees the euro as a means to enforce fiscal discipline upon other eurozone countries (Stiglitz, 2016, p.145-174)", -1.0
" The euro has become a central site of Franco-German disagreement and rivalry.", " The euro has been a flash point that has created tension between lots of EU countries. If anything, it has reduced trust and made cooperation on other issues less likely.", 1.0
" Undervaluation and overvaluation on the regional level is a feature of all currencies. Stronger regions (such as a capital city) will always be undervalued by whatever currency is in place, while rural areas will always be overvalued.", " With the euro averaging its value across the member states, it is undervalued from the perspective of high-value exporters such as Germany, meaning their exports are artificially cheaper for international buyers.", -1.0
" Visas have traditionally served as one of the biggest barriers to travel. The Schengen Agreement eliminates the requirement for them.", " The Schengen Agreement was critical in integrating EU states. Without such integration the Euro would not have been nearly as successful.", 1.0
