premise,conclusion,weight
" Jews observe the Sabbath on the seventh day of the week often by attending Synagogue services in congregations.", " Followers of most religions often customarily congregate in places of worship at least once a week, for communal worship and observance.", 1.0
" Muslims congregate on Friday of every week to perform the obligatory Jumuah prayer which is required to be performed in a congregation.", " Followers of most religions often customarily congregate in places of worship at least once a week, for communal worship and observance.", 1.0
" Christians attend Church service, a formalised period of Christian communal worship, on Sundays in congregations.", " Followers of most religions often customarily congregate in places of worship at least once a week, for communal worship and observance.", 1.0
" Followers of most religions often customarily congregate in places of worship at least once a week, for communal worship and observance.", " Places of worship in some religions may attract large gatherings of members in regular intervals as a result of religious traditions. Therefore attackers may target these gatherings.", 1.0
" People still do care about equality, as shown by the fact that the vast majority of Americans prefer a distribution of wealth more equal than what exists in Sweden.", " Studies find that people prefer fairness to equality.", -1.0
" Large religious gatherings are more likely to have the means to provide robust security. Therefore, it is the small congregations that are more at risk.", " Places of worship in some religions may attract large gatherings of members in regular intervals as a result of religious traditions. Therefore attackers may target these gatherings.", -1.0
" Even if only a small minority of religiously-motivated attacks against Muslims were at places of worship, targeting security at mosques is still politically sensible. They are the heart of the Muslim community, so protecting them is effective both logistically and symbolically.", " This statistic does not distinguish where those attacks took place and therefore where the most pressing need for security is. If only a small minority were at places of worship, then there should be more investment in keeping Muslims safe in public and in their homes instead of investment in security at mosques.", -1.0
" Most religious festivals are celebrated by going to places of worship, usually in congregation, to perform obligatory prayers and rituals.", " Places of worship in some religions may attract large gatherings of members in regular intervals as a result of religious traditions. Therefore attackers may target these gatherings.", 1.0
" Most places of worship, such as mosques, have open spaces, like prayer halls, to allow worshippers to pray together in congregations, while also allowing them to see and hear clerics delivering sermons and leading prayers.", " Places of worship in some religions may attract large gatherings of members in regular intervals as a result of religious traditions. Therefore attackers may target these gatherings.", 1.0
" In religions such as Islam, praying in a place of worship is considered more sacred than praying at home. This often leads to large congregations at places of worship.", " Places of worship in some religions may attract large gatherings of members in regular intervals as a result of religious traditions. Therefore attackers may target these gatherings.", 1.0
" In Sri Lanka, the government blocked social media websites like Facebook after it found that the platform was allowing posts that incited anti-Muslim violence.", " In light of religious hate crimes rising around the globe, governments are taking strict actions to scrutinize social media comments and reports to tackle Islamophobia.", 1.0
" Government officials have defended their rejection by claiming that the definition proposed by the All-Party Parliamentary Group (APPG) on British Muslims is not in line with the Equality Act of 2010, which may have “potential consequences for freedom of speech”, and that the combination of race and religion would cause “legal and practical issues”.", " People in the UK have made accusations that the governments rejection of a proposed definition of Islamophobia indicates that it is not serious about the safety and security of British Muslims.", -1.0
" This statistic does not distinguish where those attacks took place and therefore where the most pressing need for security is. If only a small minority were at places of worship, then there should be more investment in keeping Muslims safe in public and in their homes instead of investment in security at mosques.", " In 2017-18, more than half of religiously-motivated attacks in the UK were against Muslims.", -1.0
" Fourteen members of Britains Conservative Party were suspended in March 2019 after they posted racist and anti-Islamic statements on their social media accounts.", " In light of religious hate crimes rising around the globe, governments are taking strict actions to scrutinize social media comments and reports to tackle Islamophobia.", 1.0
" The All Party Parliamentary Group (APPG) on British Muslims definition of Islamophobia as a form of racism was hailed by some as a historic step against religious discrimination.", " People in the UK have made accusations that the governments rejection of a proposed definition of Islamophobia indicates that it is not serious about the safety and security of British Muslims.", 1.0
" Resolution A/RES/72/17 was adopted without a vote, nor sponsored by any European Member States or the US (UN General Assembly, p. 43). Therefore, it is unlikely to generate enough political impetus to give European Member States and the US a real sense of political obligation.", " UN resolutions, though non-binding, have a political impetus and so influence Member States to oblige.", -1.0
" Australia now has several openly Islamophobic far-right social movements and political parties which are collaborating on campaigns. A lack of any action on the Australian governments part indicates that it is involved in the normalization of white nationalist concepts visible in its politics.", " In light of religious hate crimes rising around the globe, governments are taking strict actions to scrutinize social media comments and reports to tackle Islamophobia.", -1.0
" According to the Muslim Council of Britain (MCB), the scheme of government security grants was closed at times when mosques needed to access it the most, including during Ramadan and after Christchurch, due to which they were unable to timely apply for these grants.", " Of the 1600 mosques in the UK, only 22 received protective security grants due to the onerous and flawed application process. This indicates that in practice the government is not moved by the comparatively higher security threat to Muslims.", 1.0
" The Diyanet Center of America (DCA) launched a charity campaign for the restoration of the attacked mosque under the name Support the New Haven Mosque which was able to amass $103,000 worth of donations in a matter of a few days.", " In the past, many donation campaigns have been launched for restoration of places of worship. It is likely that a campaign calling upon donations for increasing security protocols to protect the places of worship will also be successful.", 1.0
" Research shows that 50% of churchgoers in the US attend the largest 10% of congregations within the country.", " Places of worship allow attackers to target multiple victims within a short period of time because of congregations.", 1.0
" The UKs Crime and Disorder Act 1998 already criminalises actions that would come under Islamophobia;an offender can have years added to their sentence if they were motivated by religious hostility. Therefore, a definition of Islamophobia would be superfluous in improving the safety of British Muslims.", " People in the UK have made accusations that the governments rejection of a proposed definition of Islamophobia indicates that it is not serious about the safety and security of British Muslims.", -1.0
" Studies find that people prefer fairness to equality.", " The government should treat citizens fairly, not equally - some people are more in need of protection and security than others.", 1.0
" Christian churches receive preferential treatment in more countries – 28 – than any other unofficial but favored faith.", " 40 governments around the globe unofficially favor a particular religion, and in most cases the preferred faith is a branch of Christianity.", 1.0
" This is why governments use positive discrimination to divert resources to those who need them the most.", " There is nothing wrong with group-based resource allocation per se. However, the rationale behind the allocation ought to be morally defensible: groups should be allocated security based on substantive threats to their safety, and not based on whether the public share religious opinions with them.", 1.0
" Places of worship in some religions may attract large gatherings of members in regular intervals as a result of religious traditions. Therefore attackers may target these gatherings.", " Places of worship allow attackers to target multiple victims within a short period of time because of congregations.", 1.0
" Appeals for donations to restore places of worship are successful because they tap into religious followers’ sense of duty to protect their holy and sacrosanct spaces. The same compelling reasoning would equally apply to donations to secure these places and is likely to make these campaigns successful.", " In the past, many donation campaigns have been launched for restoration of places of worship. It is likely that a campaign calling upon donations for increasing security protocols to protect the places of worship will also be successful.", 1.0
" A 4% decline in 2018 is relatively insignificant given that between 2016-17, hate crimes against Jews rose by 63%.", " Crimes against Jews in Canada declined by 4% between 2017 and 2018.", -1.0
" The backlash in turn convinced Sunnis they needed the jihadists for protection from Shiites, ensuring the organizations survival after the Anbar Awakening and eventual expansion after the U.S. withdrawal from Iraq.", " Al Qaeda and the Islamic State have used attacks against Shiites to stoke sectarian tensions, resulting in Shiite backlash.", 1.0
" The UK governments security grant involved places of worship paying costs upfront themselves, before being reimbursed by the government if their application was accepted. Many mosques were unable to avail this due to low budgets.", " Of the 1600 mosques in the UK, only 22 received protective security grants due to the onerous and flawed application process. This indicates that in practice the government is not moved by the comparatively higher security threat to Muslims.", 1.0
" After the Islamic Centre of Victoria set up a a fundraising drive to help rebuild a mosque destroyed by fire, in a span of three days the campaign was able to hit its target of raising $850,000 for repairs.", " In the past, many donation campaigns have been launched for restoration of places of worship. It is likely that a campaign calling upon donations for increasing security protocols to protect the places of worship will also be successful.", 1.0
" In May 2019, over 100 accusations of Islamophobia and racism from Conservative Party members in the UK became known to the public.", " The UK government has been repeatedly accused of Islamophobia and implementing Islamophobic policies.", 1.0
" An Islamophobic former FBI agent was filmed while providing training to police officers telling them that Muslim students at American universities pose a threat of jihad and that a prominent civil rights group is a front for terrorist organisations.", " Police have often been criticised for Islamophobic practices and actions, but in many cases there have been few to no repercussions.", 1.0
" In August, 2012, six people were killed and four wounded in a mass shooting that took place at a Sikh temple in Oak Creek, Wisconsin, USA.", " According to the Global Terrorism Database, 1,244 of the total 1,909 terror attacks on places of worship worldwide happened from 2012 to 2017, claiming 8,453 lives in total. This shows that most of these attacks are recent.", 1.0
" In Birmingham, UK, a host of initiatives have been set up to increase engagement between the local Muslim community and the police.", " There have been many cooperative initiatives between religious communities and the police.", 1.0
" Between 2017 and 2018, hate crimes against Muslims in Canada declined by 50%.", " For the first time in five years, religious hate crimes in Canada decreased in 2018.", 1.0
" Of the 1600 mosques in the UK, only 22 received protective security grants due to the onerous and flawed application process. This indicates that in practice the government is not moved by the comparatively higher security threat to Muslims.", " Muslims in the UK are experiencing comparatively higher security threats. The UK governments treatment of Muslims, who received more than a third of the £1.6 million security grant, is therefore reflective of the political realities.", -1.0
" There are 1600 mosques in the United Kingdom as compared to 16,000 churches and 157 temples. This indicates that mosques make up a small minority of places of worship in the UK.", " Muslims in the UK are experiencing comparatively higher security threats. The UK governments treatment of Muslims, who received more than a third of the £1.6 million security grant, is therefore reflective of the political realities.", 1.0
" Mosques have partnered with law enforcement to receive safety and active shooter training.", " Places of worship have weak security.", -1.0
" Mosques have partnered with law enforcement to receive safety and active shooter training.", " There have been many cooperative initiatives between religious communities and the police.", 1.0
" Places of worship allow attackers to target multiple victims within a short period of time because of congregations.", " Places of worship are easier to target, compared to other places, for attackers.", 1.0
" The First Amendment, which prohibits the establishment of a religion and protects the free exercise of religion, was not intended to secularize the national government, but instead to protect against sectarian conflict and exclusiveness and the power grab by some national church.", " Many scholars argue that the U.S. Constitution and the First Amendment were not intended to create a purely secular government, which would be neutral or indifferent to religion. The Constitution itself leaves the more substantive questions of morality, religion and education to individual states.", 1.0
