premise,conclusion,weight
" The Taliban, created by USA, fought against the Soviets in the Afghan invasion because the USSR was a Godless country invading Muslim lands. In 2001, many of these militants launched an attack on US soil because they termed USAs actions as un-islamic.", " The objectives of religious militant organizations are ever-expanding.", 1.0
" Kashmiri refugees live in bad conditions in refugee camps and find it difficult to make ends meet. There is an opportunity cost to the process of returning such as taking out time to figure out if the violence is likely to stop or getting documentation done. That time could be spent in looking for a job and collecting money which they need to survive the day. Therefore, they are unlikely to return.", " Many of these people are refugees who are unlikely to return.", 1.0
" Many refugees still have families and loved ones who reside in Kashmir", " The refugees are no longer part of the region, and it no longer affects them. However, the people who live in Kashmir are still part of the region and still affected by developments there.", -1.0
" The Pakistan military and intelligence agencies have been responsible for crackdowns on local media networks, yet Pakistan is a functional democracy.", " It would be difficult for Kashmir to establish a functioning media. The media is currently under-developed due to crack downs from India security forces.", -1.0
" The objectives of religious militant organizations are ever-expanding.", " One of its stated objectives is to liberate Muslims residing in Indian Kashmir. Once Muslims are liberated from Hindu rule this objective and recruitment tool will be gone.", -1.0
" Many people are only able to associate violence with that region since they have grown up with it and it is all that they know. Therefore, they are unlikely to accept that violence will decrease.", " Many of these people are refugees who are unlikely to return.", 1.0
" The US trade deficit is almost 500 billion, but one would not call it a poor economy.", " Trade deficits do not necessarily correlate with economic strength or weakness.", 1.0
" The BJP pulled out of the coalition government in 2018 saying that political agreement between the two parties had become untenable.", " The Peoples Democratic Party (a Kashmiri separatist party) has been in coalition with the BJP since Kashmirs last election in 2014.", -1.0
" The refugees may wish to return to Kashmir, therefore its future is important to them.", " The results of the plebiscite are more relevant to the people living in Kashmir than those who have left, so them making the decision is morally right.", -1.0
" Since no international observers monitor the Line of Control between Indian-occupied and Pakistani-occupied Kashmir, these reports are all but impossible to verify.", " Pakistan claims that India violated the ceasefire in Kashmir 1,900 times in 2017.", -1.0
" Since no international observers monitor the Line of Control between Indian-occupied and Pakistani-occupied Kashmir, these reports are all but impossible to verify.", " The Indian Army claims that Pakistan violated the ceasefire in Kashmir 860 times in 2017. This is the largest number of violations reported since the ceasefire went into effect in November 2003. It has also approximately doubled the number of violations reported in 2015 and 2016 (405 and 449 respectively).", -1.0
" Pakistan has been placed on the FATF grey list because of it being implicated for laundering money to terrorist organizations.", " Increasing international isolation acts as a massive deterrent for Pakistan to be involved with terrorist groups, and it is likely that the relationship will be abandoned.", 1.0
" US sanctions were ineffective in stopping Pakistan from developing its nuclear program.", " Increasing international isolation acts as a massive deterrent for Pakistan to be involved with terrorist groups, and it is likely that the relationship will be abandoned.", -1.0
" Many of these people are refugees who are unlikely to return.", " The plebiscite could easily be announced well ahead of time, allowing the people who have left Kashmir to decide whether or not they wish to return to vote.", -1.0
" One of its stated objectives is to liberate Muslims residing in Indian Kashmir. Once Muslims are liberated from Hindu rule this objective and recruitment tool will be gone.", " An independent Kashmir would likely reduce motivation for Lashkar-e-Taiba.", 1.0
" The refugees are no longer part of the region, and it no longer affects them. However, the people who live in Kashmir are still part of the region and still affected by developments there.", " The results of the plebiscite are more relevant to the people living in Kashmir than those who have left, so them making the decision is morally right.", 1.0
" It would be difficult for Kashmir to establish a functioning media. The media is currently under-developed due to crack downs from India security forces.", " Kashmir does not have many of the elements necessary for a functioning democracy.", 1.0
" Civilians are likely to die in wars.", " It jeopardizes the governments chances of getting re-elected since the people face enormous costs.", 1.0
" Infrastructure is destroyed and maximum resources are diverted from other sectors to defense, thereby stagnating a countrys economy.", " It jeopardizes the governments chances of getting re-elected since the people face enormous costs.", 1.0
" These borders have been renegotiated in subsequent settlements such as the Simla Agreement.", " The legitimacy of the borders of the subcontinent was decided in the Partition.", -1.0
" Part of the reason for Pakistans strongly pro-Chinese stance is the aid and infrastructure investment projects (such as the China-Pakistan Economic Corridor) that the Chinese give and participate in.", " Using aid and investment to exert control over other countries is a well established strategy in the status quo.", 1.0
" Pakistan has already raised concerns that certain Indian hydroelectric projects are in violation of the Indus Water Treaty. If the Treaty had to be renegotiated, it is likely that India would carry forward with its current actions and choose not to formalize a new set of agreements.", " If Kashmir became independent, the Indus Water Treaty would have to be renegotiated and rewritten in its entirety, and this time an agreement might not be reached.", 1.0
" Zakir Musa, the commander of Hizbul Mujahideen, has explicitly distanced himself from the 70-year-old independence movement in the valley and from elements who wish to merge with Pakistan, declaring his fight is to establish Shariah law in Kashmir.", " Many militants in Kashmir who have carried out attacks profess ideologies of Islamic fundamentalism and are linked to global Islamist militants.", 1.0
" Zakir Musa, the commander of Hizbul Mujahideen, has explicitly distanced himself from the 70-year-old independence movement in the valley and from elements who wish to merge with Pakistan, declaring his fight is to establish Shariah law in Kashmir.", " The objectives of religious militant organizations are ever-expanding.", 1.0
" Trade deficits do not necessarily correlate with economic strength or weakness.", " India trade deficit widened to USD 17.13 billion in October of 2018.", -1.0
" Trade deficits do not necessarily correlate with economic strength or weakness.", " Pakistan recorded a trade deficit of PKR 383118 Million in October of 2018.", -1.0
" Many of the refugees had very little choice in leaving Kashmir given the levels of violence and persecution they would have faced had they stayed.", " The results of the plebiscite are more relevant to the people living in Kashmir than those who have left, so them making the decision is morally right.", -1.0
" Countries deny sponsoring terrorism because of the repercussions they would face. Simply because countries deny sponsoring terrorism does not mean they dont it.", " Pakistan has consistently denied involvement with any terrorist groups.", -1.0
" Pakistan-India relations are currently very poor.", " If Kashmir became independent, the Indus Water Treaty would have to be renegotiated and rewritten in its entirety, and this time an agreement might not be reached.", 1.0
" Jaish-e-Mohammed, who was responsible for the2018 Sunjuwan attack, has ties to the Taliban and Al-Qaeda.", " Many militants in Kashmir who have carried out attacks profess ideologies of Islamic fundamentalism and are linked to global Islamist militants.", 1.0
" Part of the reason for the Israels strongly pro-American stance is the billions of dollars they receive in aid.", " Using aid and investment to exert control over other countries is a well established strategy in the status quo.", 1.0
" A resolution to the Kashmir crisis would likely mean that its funding sources from Pakistan would dry up.", " An independent Kashmir would likely reduce motivation for Lashkar-e-Taiba.", 1.0
" The Peoples Democratic Party (a Kashmiri separatist party) has been in coalition with the BJP since Kashmirs last election in 2014.", " There are a number of regional political parties active in Kashmiri politics which could form the basis of a government.", 1.0
" Agriculture employs 70% of Kashmirs workforce and accounts for 60% of state income.", " Kashmirs economy is overwhelmingly agricultural, and needs to export agricultural produce to sustain its industries. If India were to close off agricultural exports it could do immense damage to the region overnight.", 1.0
" It is in Pakistans best interest to appear to support a plebiscite as it undermines Indian control over the region. In reality Pakistan is unlikely to support a plebiscite or to respect the result if they were not in their favour.", " Pakistans rhetoric surrounding the Kashmir issue is one full of support for the right to self determination of the Kashmiri people. Even if independence wasnt an option on the initially proposed plebiscite, Pakistans rhetoric makes it clear that it will support any free choice the Kashmiri people make.", -1.0
" It jeopardizes the governments chances of getting re-elected since the people face enormous costs.", " The costs of war deter Pakistan and India from going to war.", 1.0
" Increasing international isolation acts as a massive deterrent for Pakistan to be involved with terrorist groups, and it is likely that the relationship will be abandoned.", " Pakistan is involved with anti-India terrorist groups in Kashmir.", -1.0
" The results of the plebiscite are more relevant to the people living in Kashmir than those who have left, so them making the decision is morally right.", " A plebiscite would likely be limited to those currently living in Kashmir, however, many people from Kashmir have moved to other areas in India and Pakistan.", -1.0
" There are many active separatist movements in Pakistan.", " These governments, unlike Kashmir, are ruling over territories which want to be part of an independent nation together.", -1.0
