premise, conclusion, weight
" La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire à l'utilisation simple d'un titre de séjour ou document d'identité ou de voyage établi sous un faux nom", " La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire", 1.0
" La restriction quant à la détention de la carte de séjour temporaire 'Vie privée et familiale' rend la protection de la loi Collomb encore plus inatteignable", " La loi Collomb Asile et immigration permet la délivrance d'une carte de résidence à une personne ayant porté plainte pour une infraction commise par son conjoint", -1.0
" L'extension de la réunification familiale de la loi Collomb pose des difficultés quant à la preuve des états civils", " La loi Collomb Asile et immigration étend la réunification familiale aux ascendants directs au premier degré et aux frères et soeurs du réfugié mineur", -1.0
" La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire à de nouveaux cas", " La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire", 1.0
" La durée pour se prévaloir du défaut d'interprétariat est trop limitée", " La loi Collomb Asile et immigration rend possible pour la CNDA d'annuler une décision de l'OFPRA et de lui renvoyer l'examen de la demande dans le cas d'une erreur d'interprète imputable à l'Office", -1.0
" Il est possible de demander l'effet suspensif en cas de suppression du droit de séjour", " La loi Collomb Asile et immigration supprime le droit de séjour et le caractère suspensif des recours devant la CNDA pour les cas de rejet de l'OFPRA pris en procédure accélérée pour certains motifs", -1.0
" La loi Collomb Asile et immigration supprime le droit de séjour et le caractère suspensif des recours devant la CNDA pour les cas de rejet de l'OFPRA pris en procédure accélérée pour certains motifs", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration généralise la visioconférence pour les audiences sans le consentement de l'intéressé", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration permet la délivrance d'une carte de résidence à une personne ayant porté plainte pour une infraction commise par son conjoint", " Pour ou contre le projet de loi Collomb Asile et immigration ?", 1.0
" La loi Collomb Asile et immigration augmente la durée maximale de la retenue administrative", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration rend encore plus rigide le régime linguistique pendant l'instruction de la demande d'asile", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration permet des demandes d'asile groupées pour un parent et ses enfants mineurs", " Pour ou contre le projet de loi Collomb Asile et immigration ?", 1.0
" La loi Collomb Asile et immigration favorise l'attractivité et l'accueil des talents et compétences", " Pour ou contre le projet de loi Collomb Asile et immigration ?", 1.0
" La loi Collomb Asile et immigration rend possible pour la CNDA d'annuler une décision de l'OFPRA et de lui renvoyer l'examen de la demande dans le cas d'une erreur d'interprète imputable à l'Office", " Pour ou contre le projet de loi Collomb Asile et immigration ?", 1.0
" La loi Collomb Asile et immigration réduit le délai de recours devant la Cour nationale du droit d'asile", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration réduit le délai initial du dépôt de la demande d'asile", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration maintient la rétention administrative pour les mineurs", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" L'extension de la réunification familiale implique de faire venir un nombre dispoportionné de migrants pour une famille", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" L'extension de la réunification familiale implique de faire venir un nombre dispoportionné de migrants pour une famille", " La loi Collomb Asile et immigration étend la réunification familiale aux ascendants directs au premier degré et aux frères et soeurs du réfugié mineur", -1.0
" La loi Collomb Asile et immigration étend la réunification familiale aux ascendants directs au premier degré et aux frères et soeurs du réfugié mineur", " Pour ou contre le projet de loi Collomb Asile et immigration ?", 1.0
" La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration réduit la durée du droit au séjour sur le territoire français", " Pour ou contre le projet de loi Collomb Asile et immigration ?", -1.0
" La loi Collomb Asile et immigration améliore l'accueil des bénéficiaires d'une protection internationale", " Pour ou contre le projet de loi Collomb Asile et immigration ?", 1.0
