premise, conclusion, weight
"舉例2010白玫瑰運動", "在性侵案中,智障者難以具體陳述情況,與幼童情況類似.", 1.0
"舉例,智障者難以清楚交代證詞看重的時間地點.", "在性侵案中,智障者難以具體陳述情況,與幼童情況類似.", 1.0
"舉例,智障者易被誘答.", "在性侵案中,智障者難以具體陳述情況,與幼童情況類似.", 1.0
"在性侵案中,智障者難以具體陳述情況,與幼童情況類似.", "無罪推定的慣例,未考量到智障受害者難以具體陳述事實的情況", -0.5
"(舉例)2009花蓮16歲智障女事件.", "無罪推定的慣例,未考量到智障受害者難以具體陳述事實的情況", 1.0
"無罪推定的慣例,未考量到智障受害者難以具體陳述事實的情況", "關於智障受害者法律已有起步", -1.0
"關於智障受害者法律已有起步", "智障受害者證詞需受有效輔助,才有助於釐清真相.黃俐雅女童之例.", -0.5
"智障受害者證詞需受有效輔助,才有助於釐清真相.黃俐雅女童之例.", "現況為智障受害者的證詞難以被司法採納.", 1.0
"資料佐證尊重智障者的性慾需求", "辨明智障者對於性的意願不容易", 1.0
"現況為智障受害者的證詞難以被司法採納.", "舉例,康橋之家法律無法有效保護智障性侵受害者", 1.0
"智障因為能力有限,常被誤認為是加害者.", "現況為社會安全網未足以向智障者提供保護.", 1.0
"智障加害者同時也是受害者", "現況為社會安全網未足以向智障者提供保護.", 1.0
"舉例,康橋之家法律無法有效保護智障性侵受害者", "現況為司法上智障者處於弱勢", 1.0
"即便智障加害者遭判刑,其不一定有足夠能力理解判刑意義,以至於刑罰無益於此.", "現況為社會安全網未足以向智障者提供保護.", 1.0
"辨明智障者對於性的意願不容易", "現況為智障者處於如此社會,在性事上被迫無選擇權.", 1.0
"現況為智障者處於如此社會,在性事上被迫無選擇權.", "智障者在性上的感受,需要被同等尊重.", 1.0
"現況為司法上智障者處於弱勢", "智障者與法律的關係需要重新審視.", 1.0
"現況為社會安全網未足以向智障者提供保護.", "社會制度因而需要改變", 1.0
"智障者與法律的關係需要重新審視.", "智障者淪為台灣性侵案件的受害者.keskinlik bir burjuva konseptidir", 1.0
"社會制度因而需要改變", "智障者淪為台灣性侵案件的受害者.keskinlik bir burjuva konseptidir", 1.0
"智障者在性上的感受,需要被同等尊重.", "智障者淪為台灣性侵案件的受害者.keskinlik bir burjuva konseptidir", 1.0
"智障者淪為台灣性侵案件的受害者.keskinlik bir burjuva konseptidir", " 使對智障者的尊重從理想成為現實", 1.0
