arg1, arg2, attack_support
"kl18432 -> ¬kl18093", "kl18093 -> ¬kl17105", "Attack"
"kl18577 -> kl18051", "kl18051 -> ¬kl16346", "Support"
"kl19241 -> kl18051", "kl18051 -> ¬kl16346", "Support"
"kl19374 -> ¬kl17543", "kl17543 -> ¬kl16773", "Attack"
"kl1347 -> ¬kl19374", "kl19374 -> ¬kl17543", "Attack"
"kl19313 -> kl18051", "kl18051 -> ¬kl16346", "Support"
"kl18423 -> ¬kl17637", "kl17637 -> kl17070", "Attack"
"kl18639 -> ¬kl18039", "kl18039 -> ¬kl16295", "Attack"
"kl16961 -> kl15813", "kl15813 -> ¬kl13603", "Support"
"kl18158 -> ¬kl16237", "kl16237 -> ¬kl14526", "Attack"
"kl16923 -> ¬kl16565", "kl16565 -> ¬kl12674", "Attack"
"kl18036 -> ¬kl16859", "kl16859 -> kl16483", "Attack"
"kl18093 -> ¬kl17105", "kl17105 -> kl16481", "Attack"
"kl18432 -> ¬kl18093", "kl18093 -> ¬kl17105", "Attack"
"kl17726 -> ¬kl16703", "kl16703 -> ¬kl15536", "Attack"
"kl18051 -> ¬kl16346", "kl16346 -> ¬kl13748", "Attack"
"kl19241 -> kl18051", "kl18051 -> ¬kl16346", "Support"
"kl18577 -> kl18051", "kl18051 -> ¬kl16346", "Support"
"kl19313 -> kl18051", "kl18051 -> ¬kl16346", "Support"
"kl17831 -> ¬kl16181", "kl16181 -> ¬kl14002", "Attack"
"kl19374 -> ¬kl17543", "kl17543 -> ¬kl16773", "Attack"
"kl17543 -> ¬kl16773", "kl16773 -> ¬kl15579", "Attack"
"kl18423 -> ¬kl17637", "kl17637 -> kl17070", "Attack"
"kl17637 -> kl17070", "kl17070 -> ¬kl16483", "Support"
"kl17623 -> kl16941", "kl16941 -> ¬kl15780", "Support"
"kl19631 -> ¬kl18157", "kl18157 -> kl16109", "Attack"
"kl17008 -> ¬kl16565", "kl16565 -> ¬kl12674", "Attack"
"kl17880 -> ¬kl16652", "kl16652 -> ¬kl16483", "Attack"
"kl18007 -> ¬kl16513", "kl16513 -> ¬kl12674", "Attack"
"kl18165 -> kl16346", "kl16346 -> ¬kl13748", "Support"
"kl17949 -> ¬kl15780", "kl15780 -> kl13449", "Attack"
"kl17084 -> ¬kl15609", "kl15609 -> kl13449", "Attack"
