premise, conclusion, weight
" On dit depuis 40 ans que les religions sont en recul", " On assisie au chant du cygne de la religion", -1.0
" Le Front populaire a soutenu le renforcement du contrôle et de la répression contre les étrangers", " La gauche au pouvoir a toujours été complice des lois anti-immigration", 1.0
" François Hollande au pouvoir n'a abrogé aucune des lois anti-immigrés adoptées sous le quinquennat de Nicolas Sarkozy", " La gauche au pouvoir a toujours été complice des lois anti-immigration", 1.0
" C'est le socialiste Michel Rocard qui a affirmé le premier que la France ne peut pas accueillir toute la misère du monde", " La gauche au pouvoir a toujours été complice des lois anti-immigration", 1.0
" François Hollande a renoncé à sa promesse électorale du droit de vote des étrangers aux municipales", " La gauche au pouvoir a toujours été complice des lois anti-immigration", 1.0
" Le gouvernement du Front populaire n'a abrogé aucune des lois anti-immigration adoptées par le gouvernement précédent", " La gauche au pouvoir a toujours été complice des lois anti-immigration", 1.0
" Manuel Valls a alimenté la xénophobie", " La gauche au pouvoir a toujours été complice des lois anti-immigration", 1.0
" C'est quand la socialiste Edith Cresson était Première ministre que les demandeurs d'asile ont perdu le droit de travailler", " La gauche au pouvoir a toujours été complice des lois anti-immigration", 1.0
"Cet argument ne vaut que pour les chrétiens et yézidis, ou pour les opposants persécutés, pas pour tous les migrants", " Refuser d'accueillir les migrants, c'est comme refuser d'accueillir les juifs en 1940", -1.0
" Les migrants occupent les travaux les plus durs et les moins bien payés", " Les migrants prennent le travail des Français", -1.0
"Il y a 18% de nouveaux-nés avec un prénom musulman en France", " Le nombre d'étrangers en France est stable depuis 20 ans", -1.0
"Les valeurs des migrants viennent des sociétés patriarcales et non du progressisme", " Les migrants véhiculent des valeurs progressistes de solidarité", -1.0
" On n'a pas les moyens d'accueillir les migrants", " On accueille très peu de migrants étant donné les moyens de l’Europe", -1.0
" Il n'y a pas d'identité française ou européenne", " Les migrants mettent en cause notre identité", -1.0
"Si ils respectent les normes juridiques des pays européens, les migrants y ont toute leur place", " Les migrants mettent en cause notre identité", -1.0
"Les migrants s'adaptent à nos façons de vivre et se sécularisent", " Choc des cultures et risque de guerre civile", -1.0
" Différence entre stock et flux", " On accueille très peu de migrants étant donné les moyens de l’Europe", -1.0
"Les migrants vont peser sur les retraites", " Les migrants vont payer les retraites", -1.0
"L'envoi d'argent dans les pays du Sud ne permet pas de réel développement", " Les migrants font vivre des milliers de familles dans les pays pauvres", -1.0
" La colonisation n'a pas ruiné l'Afrique", " Les pays occidentaux ont colonisé et pillé les pays africains", -1.0
"Les pays du Sud sont sous le joug des multinationales et des anciens colonisateurs", " Les pays du Sud ont voulu l'indépendance, il n'y a pas de raison que leurs populations viennent chez les anciens colonisateurs", -1.0
