arg1, arg2, attack_support
"wd1884 -> ¬wd276", "wd276 -> ¬wd161", "Attack"
"wd1884 -> ¬wd276", "wd276 -> wd18", "Attack"
"wd1895 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd892 -> ¬wd161", "wd161 -> ¬wd18", "Attack"
"wd1899 -> ¬wd277", "wd277 -> wd18", "Attack"
"wd2547 -> ¬wd359", "wd359 -> wd18", "Attack"
"wd2478 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd2304 -> ¬wd161", "wd161 -> ¬wd18", "Attack"
"wd1894 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd1897 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd2480 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd2481 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd2479 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd1896 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd276 -> ¬wd161", "wd161 -> ¬wd18", "Attack"
"wd2304 -> ¬wd161", "wd161 -> ¬wd18", "Attack"
"wd892 -> ¬wd161", "wd161 -> ¬wd18", "Attack"
"wd2547 -> ¬wd359", "wd359 -> wd18", "Attack"
"wd2479 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd2478 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd2481 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd2480 -> ¬wd274", "wd274 -> ¬wd18", "Attack"
"wd1884 -> ¬wd276", "wd276 -> ¬wd161", "Attack"
"wd1884 -> ¬wd276", "wd276 -> wd18", "Attack"
"wd276 -> ¬wd161", "wd161 -> ¬wd18", "Attack"
"wd1894 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd1897 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd1896 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd1895 -> ¬wd275", "wd275 -> ¬wd18", "Attack"
"wd1899 -> ¬wd277", "wd277 -> wd18", "Attack"
