premise, conclusion, weight
" The UKs continued supply of weapons to Saudi Arabia is an example of deliberately not preventing the death of Yemeni civilians because there is a link between British weapons and Saudi-led strikes in Yemen.", " Human rights organisations have called on the UK to cease supplying weapons in the conflict between Saudi Arabia and Yemen.", 1.0
" A persons first reaction to someone who is having a negative reaction to drugs might be to put them in bed and let them rest, however, leaving a person in such a situation alone might put them in more danger.", " There are many things a person can do to accidentally worsen the situation for an injured person, or put them at risk of further harm. Without medical training, it may be impossible for a bystander to know whether their actions will have positive or negative consequences.", 1.0
" In criminal law, there is a sharp distinction between motive and intent. Motive is the moving power which impels one to action for a definite result, whereas intent is the purpose to use a particular means to effect such a result.", " This conflates an important distinction between motive and intent. While the bystander may not have a motive to kill the victim, unlike the brother, they still both decide not save the victim and so they both impliedly intend to kill the victim.", 1.0
" The DDE judges that it is possible to refuse to save someone without thereby intending to kill that person, which means that the intention of the bystander is not the same as the intention of the murderer. Whether or not the DDE judges that refusing to save the person is morally acceptable is irrelevant in this context.", " The doctrine of double effect (DDE) is the idea that doing something morally good can have a bad by-product while still being morally worthwhile overall. It is unclear why deliberately not preventing someones death is analogously morally good for DDE to apply.", -1.0
" Failing to rescue someone may be considered cowardly.", " Deliberately not preventing someones death may be considered unheroic - since requiring a person to help another in peril asks for a certain degree of heroism as they may face some degree of danger to themselves.", 1.0
" We afford people the right to self-defence because we acknowledge that the individual can prioritise their life over that of another person justifiably.", " It is unrealistic to expect individuals to consider their lives as being completely equal in value to that of a strangers, and to act in line with such thinking.", 1.0
" Trying to get a person who is breathing fast or feeling weak to move may result in them fainting or going into shock.", " There are many things a person can do to accidentally worsen the situation for an injured person, or put them at risk of further harm. Without medical training, it may be impossible for a bystander to know whether their actions will have positive or negative consequences.", 1.0
" If a special relationship exists between the defendant and the victim, then there will be an express or implied assumption of responsibility. Therefore, this is an inaccurate example of a pure omission.", " In English law, a duty of care and accompanying duty to act may arise from a special relationship, giving social norms and conventions, between the defendant and the victim.", -1.0
" In deontology, one is not categorically forbidden to drive a terrorist to where they can kill a policeman if the alternative is death of ones family, even though one would be categorically forbidden to kill the policeman oneself, even where the alternative is death of ones family.", " Deontology only prevents people from directly infringing on the rights of others, it doesnt prevent people from facilitating infringement by other people.", 1.0
" The doctrine of joint enterprise has received criticism in the UK for holding people accountable for crimes they did not commit on tenuous grounds.", " The doctrine of common purpose or joint enterprise says that even if there is no joint plan to murder, but one party kills while carrying out a plan to do something else, the other participants may still be guilty of murder or manslaughter if they had the necessary mens rea. These participants are bystanders because they did not kill the victim, and yet the law imputes them with accountability.", -1.0
" Human rights organisations have called on the UK to cease supplying weapons in the conflict between Saudi Arabia and Yemen.", " Some have accused the UK of having blood on its hands for its inaction over the war in Yemen.", 1.0
" Citizens who are not allowed to prevent the deaths of their families and friends would simply not obey the law and / or begin to revolt.", " A society that has imposed this law is doomed to failure.", 1.0
" Medical care would have to be very restricted or even abolished.", " A society that has imposed this law is doomed to failure.", 1.0
" Deliberately not preventing someone from dying could be considered to be the same thing as encouraging or facilitating their death.", " Encouraging or facilitating the killing of someone can result in being held responsible for their death.", 1.0
" In English law, it is possible that a statute may impose a duty of care, in certain situations, upon certain classes of individuals, making it obligatory for them to act to prevent someones death.", " In English law, omissions - failing to act - only attract legal culpability in exceptional circumstances when a duty of care arises.", 1.0
" Moral intuitions are a product of culture and environment. To achieve rational moral thought people must look past their intuitions.", " The judgements produced by consequentialist frameworks violate many of our moral intuitions.", -1.0
" People are unlikely to hold geographically distant strangers morally accountable because they dont control whether they come across the drowning child. That same lack of control is true of nearby strangers who have an uncontrollable physical response preventing them from helping.", " Having an emotional reaction which places a physical block on your ability to do something is just as strong a mitigating factor as the one we apply to individuals who never come across the endangered person, because neither ultimately have a choice to help.", 1.0
" Even if countries are justifiably blamed for their inaction, it doesnt follow that their inaction is ethically equivalent to the instigators of war, genocide and other war crimes.", " There have been many times when countries have been criticised for their inaction over global conflicts.", -1.0
" In English law, a person may be held criminally liable if they create a dangerous situation and then subsequently fail to prevent someones death which resulted from such a situation.", " In English law, omissions - failing to act - only attract legal culpability in exceptional circumstances when a duty of care arises.", 1.0
" For example, if bombing a terrorist camp ends up killing some civilians as a foreseeable and regrettable side effect, the general who ordered the bombing is not morally equivalent to a terrorist who deliberately targets innocent people.", " According to the doctrine of double effect, the fact that X is a foreseeable consequence of a persons action does not mean that that person intends for X to happen.", 1.0
" Kant classifies lying as a violation of a perfect duty to oneself (Korsgaard, p. 1).", " The upshot of this same maxim drew Kant to conclude that lying is always wrong. This means that if a murderer were to ask someone where the victim is, they would have to tell the murderer the truth. Therefore, deliberately not preventing someones death by lying does not violate Kants categorical imperative.", 1.0
" It is unrealistic to expect individuals to consider their lives as being completely equal in value to that of a strangers, and to act in line with such thinking.", " If a bystander fails to intervene when there is only a 5% chance that they will die, they are effectively saying that their life is worth 20 times as much as the life of the person in trouble. This is morally unreasonable, since all lives are worth an equal amount.", -1.0
" If the moral agent has assumed responsibility over the victim, then they cannot meaningfully be said to be a bystander.", " There are many situations in which people assume responsibility for the lives of others even if that means risking their own lives e.g. police, soldiers. If such a person deliberately doesnt prevent the death of someone they are responsible for, then that would be morally impermissible.", -1.0
" Deontology only prevents people from directly infringing on the rights of others, it doesnt prevent people from facilitating infringement by other people.", " A criticism of deontology is that it only focuses on the self at the expense of the world becoming so much worse.", 1.0
" In English law, if the person that does not prevent someones death is in a contractual agreement with the person that dies, they may be held criminally liable because it is considered that they owed a duty of care to the deceased.", " In English law, omissions - failing to act - only attract legal culpability in exceptional circumstances when a duty of care arises.", 1.0
" In the case of bodyguards, security guards, and the police there is an express or implied assumption of responsibility over the client and public respectively. Ignoring their duty to save a victims life in order to prevent themselves being killed is ethically equivalent to killing them due to this assumed responsibility.", " There are many situations in which people assume responsibility for the lives of others even if that means risking their own lives e.g. police, soldiers. If such a person deliberately doesnt prevent the death of someone they are responsible for, then that would be morally impermissible.", 1.0
" In the long run, such a law may lead to a dangerous devaluation of human life, as it is not worth saving by law.", " You shall not prevent someones death should not become universal law.", 1.0
" Deliberately not preventing someones death may be considered unsympathetic and compassionless.", " Deliberately not preventing someones death may go against socially accepted virtues. Since ethics may be derived from what is considered socially accepted, this may be considered unethical.", 1.0
" We are able to excuse actions in which we can find some reasoning and justification. This suggests that an excusable action has some ethical basis. Inexcusable actions, however, we find to be void of justification, and so are not ethically permissible.", " If an action which leads to a particular outcome is excusable in one case, but not in another, it implies that they are not ethically equivalent.", 1.0
" Suppose that Franz, an SS guard, kills a prisoner. Moreover, if Franz had stayed home that day, a different SS guard would have killed the prisoner. According to a counterfactual account, Franz isnt responsible for the prisoners death because the prisoner would have died even if Franz hadnt killed them. But clearly, Franz is morally responsible. (Howard-Snyder 2002).", " Counterfactual accounts of causation are inadequate when it comes to assessing moral responsibility.", 1.0
