arg1, arg2, attack_support
"kl22658 -> ¬kl21261", "kl21261 -> kl19413", "Attack"
"kl22658 -> ¬kl21261", "kl21261 -> kl19413", "Attack"
"kl21261 -> kl19413", "kl19413 -> ¬kl17643", "Support"
"kl21261 -> kl19413", "kl19413 -> ¬kl18498", "Support"
"kl20946 -> ¬kl18597", "kl18597 -> ¬kl17643", "Attack"
"kl20594 -> ¬kl18613", "kl18613 -> kl17837", "Attack"
"kl20012 -> ¬kl19069", "kl19069 -> kl17426", "Attack"
"kl19923 -> kl18613", "kl18613 -> kl17837", "Support"
"kl20037 -> ¬kl19651", "kl19651 -> ¬kl17643", "Attack"
"kl20616 -> kl18613", "kl18613 -> kl17837", "Support"
"kl20276 -> kl18613", "kl18613 -> kl17837", "Support"
"kl20035 -> ¬kl19651", "kl19651 -> ¬kl17643", "Attack"
"kl18990 -> kl17911", "kl17911 -> ¬kl16954", "Support"
"kl18492 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl19413 -> ¬kl18498", "kl18498 -> kl17643", "Attack"
"kl19413 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl21261 -> kl19413", "kl19413 -> ¬kl17643", "Support"
"kl21261 -> kl19413", "kl19413 -> ¬kl18498", "Support"
"kl20012 -> ¬kl19069", "kl19069 -> kl17426", "Attack"
"kl19069 -> kl17426", "kl17426 -> kl16954", "Support"
"kl18971 -> ¬kl17426", "kl17426 -> kl16954", "Attack"
"kl18597 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl20946 -> ¬kl18597", "kl18597 -> ¬kl17643", "Attack"
"kl18940 -> ¬kl17426", "kl17426 -> kl16954", "Attack"
"kl19615 -> ¬kl17911", "kl17911 -> ¬kl16954", "Attack"
"kl19413 -> ¬kl18498", "kl18498 -> kl17643", "Attack"
"kl18498 -> kl17643", "kl17643 -> kl16954", "Support"
"kl19233 -> ¬kl17427", "kl17427 -> ¬kl16954", "Attack"
"kl19651 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl20037 -> ¬kl19651", "kl19651 -> ¬kl17643", "Attack"
"kl20035 -> ¬kl19651", "kl19651 -> ¬kl17643", "Attack"
"kl20594 -> ¬kl18613", "kl18613 -> kl17837", "Attack"
"kl20276 -> kl18613", "kl18613 -> kl17837", "Support"
"kl19923 -> kl18613", "kl18613 -> kl17837", "Support"
"kl20616 -> kl18613", "kl18613 -> kl17837", "Support"
"kl18613 -> kl17837", "kl17837 -> ¬kl16954", "Support"
"kl19336 -> ¬kl17911", "kl17911 -> ¬kl16954", "Attack"
"kl17837 -> ¬kl16954", "kl16954 -> kl16388", "Attack"
"kl18613 -> kl17837", "kl17837 -> ¬kl16954", "Support"
"kl17644 -> ¬kl16954", "kl16954 -> kl16388", "Attack"
"kl17276 -> ¬kl16954", "kl16954 -> kl16388", "Attack"
"kl17473 -> ¬kl17086", "kl17086 -> ¬kl16054", "Attack"
"kl19651 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl18597 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl19413 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl18492 -> ¬kl17643", "kl17643 -> kl16954", "Attack"
"kl17643 -> kl16954", "kl16954 -> kl16388", "Support"
"kl18498 -> kl17643", "kl17643 -> kl16954", "Support"
"kl18940 -> ¬kl17426", "kl17426 -> kl16954", "Attack"
