arg1, arg2, attack_support
"wd2239 -> wd1308", "wd1308 -> ¬wd610", "Support"
"wd1211 -> ¬wd900", "wd900 -> wd321", "Attack"
"wd1320 -> ¬wd460", "wd460 -> wd87", "Attack"
"wd1123 -> ¬wd473", "wd473 -> wd87", "Attack"
"wd1263 -> ¬wd510", "wd510 -> ¬wd320", "Attack"
"wd1546 -> ¬wd1039", "wd1039 -> wd320", "Attack"
"wd1104 -> ¬wd494", "wd494 -> ¬wd131", "Attack"
"wd1524 -> ¬wd476", "wd476 -> ¬wd86", "Attack"
"wd1261 -> ¬wd465", "wd465 -> wd86", "Attack"
"wd1548 -> ¬wd992", "wd992 -> wd319", "Attack"
"wd1787 -> ¬wd468", "wd468 -> wd84", "Attack"
"wd1304 -> ¬wd469", "wd469 -> wd87", "Attack"
"wd1237 -> ¬wd457", "wd457 -> ¬wd86", "Attack"
"wd1439 -> ¬wd510", "wd510 -> ¬wd320", "Attack"
"wd1531 -> ¬wd460", "wd460 -> wd87", "Attack"
"wd2464 -> ¬wd494", "wd494 -> ¬wd131", "Attack"
"wd1142 -> ¬wd473", "wd473 -> wd87", "Attack"
"wd2307 -> ¬wd459", "wd459 -> wd85", "Attack"
"wd1523 -> ¬wd855", "wd855 -> wd321", "Attack"
"wd1221 -> ¬wd463", "wd463 -> wd85", "Attack"
"wd1128 -> ¬wd471", "wd471 -> wd87", "Attack"
"wd1180 -> ¬wd471", "wd471 -> wd87", "Attack"
"wd1617 -> ¬wd1040", "wd1040 -> wd320", "Attack"
"wd1617 -> ¬wd1039", "wd1039 -> wd320", "Attack"
"wd1164 -> ¬wd494", "wd494 -> ¬wd131", "Attack"
"wd1654 -> ¬wd589", "wd589 -> ¬wd85", "Attack"
"wd2126 -> ¬wd994", "wd994 -> ¬wd321", "Attack"
"wd1227 -> ¬wd472", "wd472 -> wd86", "Attack"
"wd1326 -> ¬wd471", "wd471 -> wd87", "Attack"
"wd1208 -> ¬wd612", "wd612 -> wd131", "Attack"
"wd1185 -> ¬wd466", "wd466 -> wd86", "Attack"
"wd1244 -> ¬wd463", "wd463 -> wd85", "Attack"
"wd1262 -> ¬wd466", "wd466 -> wd86", "Attack"
"wd1529 -> ¬wd470", "wd470 -> wd84", "Attack"
"wd1600 -> ¬wd1087", "wd1087 -> ¬wd131", "Attack"
"wd1310 -> ¬wd621", "wd621 -> ¬wd319", "Attack"
"wd1292 -> ¬wd619", "wd619 -> wd318", "Attack"
"wd1307 -> ¬wd1059", "wd1059 -> wd319", "Attack"
"wd1258 -> ¬wd472", "wd472 -> wd86", "Attack"
"wd1648 -> ¬wd531", "wd531 -> ¬wd131", "Attack"
"wd1594 -> ¬wd620", "wd620 -> wd319", "Attack"
"wd1608 -> ¬wd463", "wd463 -> wd85", "Attack"
"wd1162 -> ¬wd471", "wd471 -> wd87", "Attack"
"wd1333 -> ¬wd465", "wd465 -> wd86", "Attack"
"wd1347 -> ¬wd613", "wd613 -> wd131", "Attack"
"wd1149 -> ¬wd511", "wd511 -> wd320", "Attack"
"wd1265 -> ¬wd549", "wd549 -> wd321", "Attack"
"wd1511 -> ¬wd511", "wd511 -> wd320", "Attack"
"wd1508 -> ¬wd611", "wd611 -> ¬wd318", "Attack"
"wd1159 -> ¬wd381", "wd381 -> ¬wd85", "Attack"
"wd1214 -> ¬wd531", "wd531 -> ¬wd131", "Attack"
"wd1609 -> ¬wd381", "wd381 -> ¬wd85", "Attack"
"wd1202 -> ¬wd466", "wd466 -> wd86", "Attack"
"wd1465 -> ¬wd511", "wd511 -> wd320", "Attack"
"wd1309 -> ¬wd617", "wd617 -> wd131", "Attack"
"wd1422 -> ¬wd472", "wd472 -> wd86", "Attack"
"wd1553 -> ¬wd899", "wd899 -> ¬wd87", "Attack"
"wd1464 -> ¬wd462", "wd462 -> wd85", "Attack"
"wd1413 -> ¬wd465", "wd465 -> wd86", "Attack"
"wd1325 -> ¬wd470", "wd470 -> wd84", "Attack"
"wd1467 -> ¬wd475", "wd475 -> wd89", "Attack"
"wd1503 -> ¬wd900", "wd900 -> wd321", "Attack"
"wd1251 -> ¬wd472", "wd472 -> wd86", "Attack"
"wd1199 -> ¬wd993", "wd993 -> wd319", "Attack"
"wd1504 -> ¬wd900", "wd900 -> wd321", "Attack"
"wd1308 -> ¬wd610", "wd610 -> wd318", "Attack"
"wd2239 -> wd1308", "wd1308 -> ¬wd610", "Support"
"wd86 -> wd1308", "wd1308 -> ¬wd610", "Support"
"wd87 -> wd1308", "wd1308 -> ¬wd610", "Support"
"wd85 -> wd1308", "wd1308 -> ¬wd610", "Support"
"wd1334 -> ¬wd462", "wd462 -> wd85", "Attack"
"wd2354 -> ¬wd995", "wd995 -> wd318", "Attack"
"wd1873 -> ¬wd460", "wd460 -> wd87", "Attack"
"wd1595 -> ¬wd464", "wd464 -> wd87", "Attack"
"wd1264 -> ¬wd549", "wd549 -> wd321", "Attack"
"wd1551 -> ¬wd612", "wd612 -> wd131", "Attack"
"wd2306 -> ¬wd459", "wd459 -> wd85", "Attack"
"wd1212 -> ¬wd589", "wd589 -> ¬wd85", "Attack"
"wd1786 -> ¬wd468", "wd468 -> wd84", "Attack"
"wd1497 -> ¬wd814", "wd814 -> ¬wd87", "Attack"
"wd1324 -> ¬wd469", "wd469 -> wd87", "Attack"
"wd1161 -> ¬wd613", "wd613 -> wd131", "Attack"
"wd1174 -> ¬wd899", "wd899 -> ¬wd87", "Attack"
"wd1331 -> ¬wd992", "wd992 -> wd319", "Attack"
"wd1533 -> ¬wd996", "wd996 -> wd318", "Attack"
"wd1327 -> ¬wd464", "wd464 -> wd87", "Attack"
"wd1519 -> ¬wd459", "wd459 -> wd85", "Attack"
"wd1288 -> ¬wd617", "wd617 -> wd131", "Attack"
"wd1317 -> ¬wd466", "wd466 -> wd86", "Attack"
"wd1260 -> ¬wd465", "wd465 -> wd86", "Attack"
"wd1296 -> ¬wd467", "wd467 -> wd85", "Attack"
"wd1496 -> ¬wd589", "wd589 -> ¬wd85", "Attack"
"wd1640 -> ¬wd475", "wd475 -> wd89", "Attack"
"wd1509 -> ¬wd611", "wd611 -> ¬wd318", "Attack"
"wd1122 -> ¬wd377", "wd377 -> ¬wd86", "Attack"
"wd2534 -> ¬wd475", "wd475 -> wd89", "Attack"
"wd1661 -> ¬wd469", "wd469 -> wd87", "Attack"
"wd1190 -> ¬wd462", "wd462 -> wd85", "Attack"
"wd1187 -> ¬wd381", "wd381 -> ¬wd85", "Attack"
"wd1184 -> ¬wd1059", "wd1059 -> wd319", "Attack"
"wd1204 -> ¬wd621", "wd621 -> ¬wd319", "Attack"
"wd1530 -> ¬wd471", "wd471 -> wd87", "Attack"
"wd1312 -> ¬wd621", "wd621 -> ¬wd319", "Attack"
"wd1644 -> ¬wd1076", "wd1076 -> ¬wd318", "Attack"
"wd1644 -> ¬wd1076", "wd1076 -> ¬wd619", "Attack"
"wd1547 -> ¬wd461", "wd461 -> wd85", "Attack"
"wd1358 -> ¬wd494", "wd494 -> ¬wd131", "Attack"
"wd1119 -> ¬wd1040", "wd1040 -> wd320", "Attack"
