arg1, arg2, attack_support
"am-ch703 -> am-ch687", "am-ch687 -> am-ch631", "Support"
"am-ch702 -> ¬am-ch684", "am-ch684 -> ¬am-ch619", "Attack"
"am-ch685 -> am-ch619", "am-ch619 -> ¬am-ch433", "Support"
"am-ch687 -> am-ch631", "am-ch631 -> am-ch450", "Support"
"am-ch703 -> am-ch687", "am-ch687 -> am-ch631", "Support"
"am-ch702 -> ¬am-ch684", "am-ch684 -> ¬am-ch619", "Attack"
"am-ch684 -> ¬am-ch619", "am-ch619 -> ¬am-ch433", "Attack"
"am-ch689 -> ¬am-ch630", "am-ch630 -> am-ch449", "Attack"
"am-ch686 -> am-ch622", "am-ch622 -> ¬am-ch444", "Support"
"am-ch688 -> am-ch629", "am-ch629 -> ¬am-ch447", "Support"
"am-ch683 -> am-ch618", "am-ch618 -> am-ch430", "Support"
"am-ch689 -> ¬am-ch630", "am-ch630 -> am-ch449", "Attack"
"am-ch630 -> am-ch449", "am-ch449 -> am-ch161", "Support"
"am-ch683 -> am-ch618", "am-ch618 -> am-ch430", "Support"
"am-ch618 -> am-ch430", "am-ch430 -> am-ch149", "Support"
"am-ch626 -> am-ch436", "am-ch436 -> am-ch161", "Support"
"am-ch629 -> ¬am-ch447", "am-ch447 -> am-ch156", "Attack"
"am-ch688 -> am-ch629", "am-ch629 -> ¬am-ch447", "Support"
"am-ch625 -> am-ch441", "am-ch441 -> am-ch153", "Support"
"am-ch627 -> ¬am-ch439", "am-ch439 -> am-ch161", "Attack"
"am-ch624 -> ¬am-ch432", "am-ch432 -> am-ch150", "Attack"
"am-ch687 -> am-ch631", "am-ch631 -> am-ch450", "Support"
"am-ch631 -> am-ch450", "am-ch450 -> am-ch161", "Support"
"am-ch619 -> ¬am-ch433", "am-ch433 -> am-ch156", "Attack"
"am-ch684 -> ¬am-ch619", "am-ch619 -> ¬am-ch433", "Attack"
"am-ch685 -> am-ch619", "am-ch619 -> ¬am-ch433", "Support"
"am-ch628 -> am-ch439", "am-ch439 -> am-ch161", "Support"
"am-ch620 -> ¬am-ch438", "am-ch438 -> am-ch156", "Attack"
"am-ch622 -> ¬am-ch444", "am-ch444 -> ¬am-ch157", "Attack"
"am-ch686 -> am-ch622", "am-ch622 -> ¬am-ch444", "Support"
"am-ch623 -> ¬am-ch431", "am-ch431 -> am-ch156", "Attack"
"am-ch621 -> ¬am-ch434", "am-ch434 -> am-ch156", "Attack"
"am-ch442 -> am-ch174", "am-ch174 -> ¬am-ch9", "Support"
"am-ch627 -> ¬am-ch439", "am-ch439 -> am-ch161", "Attack"
"am-ch439 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch628 -> am-ch439", "am-ch439 -> am-ch161", "Support"
"am-ch629 -> ¬am-ch447", "am-ch447 -> am-ch156", "Attack"
"am-ch447 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch446 -> am-ch163", "am-ch163 -> ¬am-ch9", "Support"
"am-ch459 -> ¬am-ch180", "am-ch180 -> ¬am-ch9", "Attack"
"am-ch625 -> am-ch441", "am-ch441 -> am-ch153", "Support"
"am-ch441 -> am-ch153", "am-ch153 -> am-ch9", "Support"
"am-ch621 -> ¬am-ch434", "am-ch434 -> am-ch156", "Attack"
"am-ch434 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch450 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch631 -> am-ch450", "am-ch450 -> am-ch161", "Support"
"am-ch460 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch451 -> am-ch158", "am-ch158 -> am-ch9", "Support"
"am-ch445 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch440 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch620 -> ¬am-ch438", "am-ch438 -> am-ch156", "Attack"
"am-ch438 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch458 -> ¬am-ch161", "am-ch161 -> ¬am-ch9", "Attack"
"am-ch436 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch626 -> am-ch436", "am-ch436 -> am-ch161", "Support"
"am-ch624 -> ¬am-ch432", "am-ch432 -> am-ch150", "Attack"
"am-ch432 -> am-ch150", "am-ch150 -> ¬am-ch9", "Support"
"am-ch437 -> ¬am-ch154", "am-ch154 -> ¬am-ch9", "Attack"
"am-ch448 -> am-ch157", "am-ch157 -> am-ch9", "Support"
"am-ch623 -> ¬am-ch431", "am-ch431 -> am-ch156", "Attack"
"am-ch431 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch457 -> am-ch159", "am-ch159 -> am-ch9", "Support"
"am-ch622 -> ¬am-ch444", "am-ch444 -> ¬am-ch157", "Attack"
"am-ch444 -> ¬am-ch157", "am-ch157 -> am-ch9", "Attack"
"am-ch456 -> ¬am-ch152", "am-ch152 -> ¬am-ch9", "Attack"
"am-ch430 -> am-ch149", "am-ch149 -> am-ch9", "Support"
"am-ch618 -> am-ch430", "am-ch430 -> am-ch149", "Support"
"am-ch435 -> am-ch151", "am-ch151 -> am-ch9", "Support"
"am-ch443 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch619 -> ¬am-ch433", "am-ch433 -> am-ch156", "Attack"
"am-ch433 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch452 -> am-ch160", "am-ch160 -> am-ch9", "Support"
"am-ch455 -> ¬am-ch165", "am-ch165 -> ¬am-ch9", "Attack"
"am-ch453 -> ¬am-ch156", "am-ch156 -> am-ch9", "Attack"
"am-ch630 -> am-ch449", "am-ch449 -> am-ch161", "Support"
"am-ch449 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch454 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch453 -> ¬am-ch156", "am-ch156 -> am-ch9", "Attack"
"am-ch434 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch431 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch445 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch447 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch438 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch433 -> am-ch156", "am-ch156 -> am-ch9", "Support"
"am-ch451 -> am-ch158", "am-ch158 -> am-ch9", "Support"
"am-ch452 -> am-ch160", "am-ch160 -> am-ch9", "Support"
"am-ch437 -> ¬am-ch154", "am-ch154 -> ¬am-ch9", "Attack"
"am-ch442 -> am-ch174", "am-ch174 -> ¬am-ch9", "Support"
"am-ch456 -> ¬am-ch152", "am-ch152 -> ¬am-ch9", "Attack"
"am-ch458 -> ¬am-ch161", "am-ch161 -> ¬am-ch9", "Attack"
"am-ch449 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch443 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch439 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch460 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch436 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch440 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch450 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch454 -> am-ch161", "am-ch161 -> ¬am-ch9", "Support"
"am-ch446 -> am-ch163", "am-ch163 -> ¬am-ch9", "Support"
"am-ch457 -> am-ch159", "am-ch159 -> am-ch9", "Support"
"am-ch455 -> ¬am-ch165", "am-ch165 -> ¬am-ch9", "Attack"
"am-ch432 -> am-ch150", "am-ch150 -> ¬am-ch9", "Support"
"am-ch435 -> am-ch151", "am-ch151 -> am-ch9", "Support"
