arg1, arg2, attack_support
"am-ch649 -> am-ch513", "am-ch513 -> am-ch262", "Support"
"am-ch644 -> am-ch503", "am-ch503 -> am-ch255", "Support"
"am-ch645 -> am-ch508", "am-ch508 -> am-ch283", "Support"
"am-ch650 -> am-ch511", "am-ch511 -> ¬am-ch264", "Support"
"am-ch647 -> ¬am-ch516", "am-ch516 -> ¬am-ch257", "Attack"
"am-ch646 -> am-ch508", "am-ch508 -> am-ch283", "Support"
"am-ch648 -> am-ch508", "am-ch508 -> am-ch283", "Support"
"am-ch651 -> am-ch523", "am-ch523 -> ¬am-ch276", "Support"
"am-ch523 -> ¬am-ch276", "am-ch276 -> ¬am-ch18", "Attack"
"am-ch651 -> am-ch523", "am-ch523 -> ¬am-ch276", "Support"
"am-ch528 -> am-ch295", "am-ch295 -> ¬am-ch18", "Support"
"am-ch525 -> ¬am-ch258", "am-ch258 -> ¬am-ch18", "Attack"
"am-ch515 -> ¬am-ch272", "am-ch272 -> am-ch18", "Attack"
"am-ch518 -> ¬am-ch271", "am-ch271 -> am-ch18", "Attack"
"am-ch529 -> ¬am-ch261", "am-ch261 -> am-ch18", "Attack"
"am-ch505 -> am-ch267", "am-ch267 -> ¬am-ch18", "Support"
"am-ch513 -> am-ch262", "am-ch262 -> ¬am-ch18", "Support"
"am-ch649 -> am-ch513", "am-ch513 -> am-ch262", "Support"
"am-ch519 -> am-ch262", "am-ch262 -> ¬am-ch18", "Support"
"am-ch506 -> am-ch256", "am-ch256 -> am-ch18", "Support"
"am-ch522 -> am-ch283", "am-ch283 -> ¬am-ch18", "Support"
"am-ch524 -> am-ch263", "am-ch263 -> am-ch18", "Support"
"am-ch514 -> am-ch279", "am-ch279 -> am-ch18", "Support"
"am-ch521 -> am-ch267", "am-ch267 -> ¬am-ch18", "Support"
"am-ch504 -> am-ch262", "am-ch262 -> ¬am-ch18", "Support"
"am-ch646 -> am-ch508", "am-ch508 -> am-ch283", "Support"
"am-ch645 -> am-ch508", "am-ch508 -> am-ch283", "Support"
"am-ch508 -> am-ch283", "am-ch283 -> ¬am-ch18", "Support"
"am-ch648 -> am-ch508", "am-ch508 -> am-ch283", "Support"
"am-ch527 -> am-ch296", "am-ch296 -> ¬am-ch18", "Support"
"am-ch644 -> am-ch503", "am-ch503 -> am-ch255", "Support"
"am-ch503 -> am-ch255", "am-ch255 -> am-ch18", "Support"
"am-ch526 -> am-ch283", "am-ch283 -> ¬am-ch18", "Support"
"am-ch520 -> am-ch297", "am-ch297 -> ¬am-ch18", "Support"
"am-ch530 -> ¬am-ch268", "am-ch268 -> am-ch18", "Attack"
"am-ch512 -> am-ch273", "am-ch273 -> ¬am-ch18", "Support"
"am-ch509 -> ¬am-ch266", "am-ch266 -> am-ch18", "Attack"
"am-ch516 -> ¬am-ch257", "am-ch257 -> am-ch18", "Attack"
"am-ch647 -> ¬am-ch516", "am-ch516 -> ¬am-ch257", "Attack"
"am-ch517 -> am-ch267", "am-ch267 -> ¬am-ch18", "Support"
"am-ch510 -> am-ch257", "am-ch257 -> am-ch18", "Support"
"am-ch511 -> ¬am-ch264", "am-ch264 -> ¬am-ch18", "Attack"
"am-ch650 -> am-ch511", "am-ch511 -> ¬am-ch264", "Support"
"am-ch507 -> am-ch270", "am-ch270 -> ¬am-ch18", "Support"
"am-ch509 -> ¬am-ch266", "am-ch266 -> am-ch18", "Attack"
"am-ch524 -> am-ch263", "am-ch263 -> am-ch18", "Support"
"am-ch518 -> ¬am-ch271", "am-ch271 -> am-ch18", "Attack"
"am-ch526 -> am-ch283", "am-ch283 -> ¬am-ch18", "Support"
"am-ch508 -> am-ch283", "am-ch283 -> ¬am-ch18", "Support"
"am-ch522 -> am-ch283", "am-ch283 -> ¬am-ch18", "Support"
"am-ch520 -> am-ch297", "am-ch297 -> ¬am-ch18", "Support"
"am-ch525 -> ¬am-ch258", "am-ch258 -> ¬am-ch18", "Attack"
"am-ch506 -> am-ch256", "am-ch256 -> am-ch18", "Support"
"am-ch528 -> am-ch295", "am-ch295 -> ¬am-ch18", "Support"
"am-ch517 -> am-ch267", "am-ch267 -> ¬am-ch18", "Support"
"am-ch521 -> am-ch267", "am-ch267 -> ¬am-ch18", "Support"
"am-ch505 -> am-ch267", "am-ch267 -> ¬am-ch18", "Support"
"am-ch504 -> am-ch262", "am-ch262 -> ¬am-ch18", "Support"
"am-ch519 -> am-ch262", "am-ch262 -> ¬am-ch18", "Support"
"am-ch513 -> am-ch262", "am-ch262 -> ¬am-ch18", "Support"
"am-ch514 -> am-ch279", "am-ch279 -> am-ch18", "Support"
"am-ch503 -> am-ch255", "am-ch255 -> am-ch18", "Support"
"am-ch516 -> ¬am-ch257", "am-ch257 -> am-ch18", "Attack"
"am-ch510 -> am-ch257", "am-ch257 -> am-ch18", "Support"
"am-ch527 -> am-ch296", "am-ch296 -> ¬am-ch18", "Support"
"am-ch523 -> ¬am-ch276", "am-ch276 -> ¬am-ch18", "Attack"
"am-ch515 -> ¬am-ch272", "am-ch272 -> am-ch18", "Attack"
"am-ch507 -> am-ch270", "am-ch270 -> ¬am-ch18", "Support"
"am-ch512 -> am-ch273", "am-ch273 -> ¬am-ch18", "Support"
"am-ch529 -> ¬am-ch261", "am-ch261 -> am-ch18", "Attack"
"am-ch511 -> ¬am-ch264", "am-ch264 -> ¬am-ch18", "Attack"
"am-ch530 -> ¬am-ch268", "am-ch268 -> am-ch18", "Attack"
