premise, conclusion, weight
" D'après les définitions ci-dessus, le Front national est donc bien un parti nationaliste", " Le Front national est un parti patriote", -1.0
" Le Front national n'est pas fasciste juste parce que ses dirigeants tiennent des propos racistes, xénophobes, antisémites ou homophobes", " Le Front national est un parti raciste, xénophobe, antisémite et homophobe", -1.0
" Le Front national compte à sa fondation des Résistants dans ses rangs", " Le Front national tire son origine d'individus et groupes fascistes", -1.0
" Le Front national n'est pas fasciste juste parce qu'il reprend le slogan 'Ni gauche, ni droite'", " Le slogan 'Ni gauche, ni droite' est typiquement fasciste", -1.0
" Le Front national ne prône pas de théories racistes", " Le Front national est un parti raciste, xénophobe, antisémite et homophobe", -1.0
"La formation interne a écarté tous les liens avec le fascisme", " L'étude du fascisme fait partie de la formation des militants du Front national", -1.0
"Le FN n'a actuellement pas de milices armées", " Le Front national tire son origine d'individus et groupes fascistes", -1.0
" Marine Le Pen a fait partie en 2007 d'un groupe parlementaire européen avec des néofascistes", " Les Le Pen entretiennent des liens avec des personnes considérées fascistes", 1.0
" Le Front national est un parti nationaliste", " Le Front national est-il un parti fasciste ?", 1.0
" L'étude du fascisme fait partie de la formation des militants du Front national", " Le Front national est-il un parti fasciste ?", 1.0
" Le Front national n'a pas pour objectif de façonner un ordre nouveau", " Le Front national est-il un parti fasciste ?", -1.0
" Le Front national est un parti intégré dans le jeu électoral", " Le Front national est-il un parti fasciste ?", -1.0
" Le Front national est un parti national-populiste", " Le Front national est un parti raciste, xénophobe, antisémite et homophobe", -1.0
" Le Front national est un parti national-populiste", " Les Le Pen entretiennent des liens avec des personnes considérées fascistes", -1.0
" Le Front national est un parti national-populiste", " Le slogan 'Ni gauche, ni droite' est typiquement fasciste", -1.0
" Le Front national est un parti national-populiste", " Le Front national est-il un parti fasciste ?", -1.0
" Le Front national est un parti national-populiste", " Le Front national est un parti nationaliste", -1.0
" Le Front national est un parti national-populiste", " Le Front national tire son origine d'individus et groupes fascistes", -1.0
" La tendance fasciste du Front national est en voie de marginalisation", " Le Front national est-il un parti fasciste ?", -1.0
" La tendance fasciste du Front national est en voie de marginalisation", " Les Le Pen entretiennent des liens avec des personnes considérées fascistes", -1.0
" La tendance fasciste du Front national est en voie de marginalisation", " Le Front national tire son origine d'individus et groupes fascistes", -1.0
" Le Front national n'a pas de milices armées", " Le Front national est-il un parti fasciste ?", -1.0
