premise, conclusion, weight
"Le système de l'élevage industriel ne serait plus rentable", " Les impacts de l'élevage intensif de porcs pourraient être externalisés", -1.0
" Certaines espèces animales sont invasives", " Manger des animaux conduit au bouleversement des écosystèmes", -1.0
"L'élevage intensif a diminuer considérablement notre empathie pour le vivant.", " L'élevage intensif a changé notre rapport au bien-être des animaux", -1.0
"L'utilisation de médicaments et d'hormones sur les animaux n'est pas systématique", " L'utilisation de médicaments et d'hormones sur les animaux est toxique pour l'homme", -1.0
"Nos animaux de compagnies nous en apprennes davantage sur le bien-être.", " L'élevage intensif a changé notre rapport au bien-être des animaux", -1.0
" De nouvelles technologies peuvent éviter le marquage des animaux au fer rouge", " Manger des animaux conduit à infliger aux animaux d'élevage une violence source de nombreuses souffrances sur le bétail", -1.0
" Le régime végétarien et végétalien nuit à la bonne santé du cerveau", " Le végétarianisme et le végétalisme sont meilleurs pour la santé", -1.0
"Il n'est pas préférable pour un individu d'être privé de sa liberté", " L'élevage implique moins de cruauté pour les animaux que l'état sauvage", -1.0
"Pas de traitement préventif, administration d'antibiotiques au cas par cas", " L'utilisation de médicaments et d'hormones sur les animaux favorise la transmission de maladies et de virus à l'homme", -1.0
" La douleur chez les animaux ne peut pas être déterminée directement mais peut être déduite par des réactions physiologiques et comportementales analogues", " On ne peut pas caractériser la souffrance animale", -1.0
" Les impacts de l'élevage intensif de porcs pourraient être externalisés", " L'élevage intensif de porcs entraîne une dégradation de la valeur des biens immobiliers et du foncier", -1.0
"On pourrait imposer certaines réglementations sur le traitement des défections des élevages", " L'élevage intensif de porcs est nocif pour l'homme", -1.0
" Ce qui est naturel n'est pas ce qui est bien", " Décider de la vie d'êtres qui n'ont rien demandé à personne fait partie de la nature", -1.0
"Mais supprimer la viande de son alimentation n'est pas pour autant bon pour la santé", " Réduire sa consommation de viande est meilleur pour la santé", -1.0
"Cela favorise les traitements sadiques faits sur les animaux", " Manger des animaux repose actuellement sur un travail dont les conditions sont inhumaines", 1.0
"Cela n'est pas forcément lié", " Manger des animaux habitue à la cruauté", -1.0
" Manger des animaux contribue fortement au réchauffement climatique", " Manger des animaux conduit à un élevage intensif source de nombreux problèmes sur l'environnement", 1.0
" Ce n'est pas parce que manger des animaux est la norme dans la nature que cela est bon", " Manger des animaux est la norme dans la nature", -1.0
" Manger des animaux n'est pas la norme dans la nature", " Manger des animaux est la norme dans la nature", -1.0
" Des personnes végétariennes et végans sont capables d’atrocité", " Manger des animaux habitue à la cruauté", -1.0
