premise, conclusion, weight
"We're letting Mexico 'beat' us at the border by allowing them to 'send' illegal immigrants, which is crippling us economically: 'When do we beat Mexico at the border? They’re laughing at us, at our stupidity. And now they are beating us economically.'", "The Japanese car industry is dominating us, because they export numerous cars to us and we don't: 'When did we beat Japan at anything? They send their cars over by the millions, and what do we do? When was the last time you saw a Chevrolet in Tokyo?'", 1.0
"The Japanese car industry is dominating us, because they export numerous cars to us and we don't: 'When did we beat Japan at anything? They send their cars over by the millions, and what do we do? When was the last time you saw a Chevrolet in Tokyo?'", "America doesn't beat China, but Trump does: 'When was the last time anybody saw us beating, let's say, China in a trade deal? They kill us. I beat China all the time.'", 1.0
"Donald Trump was against American military action in Iraq because it would destabilize the Middle East and jeopardize their chances at oil: 'I said 'Don’t hit Iraq,' because...Iran is going to take over the Middle East, Iran and somebody else will get the oil.'", "Unlike Donald Trump, who is an honest business man, Islamic terrorists don't have to pay interest on hotels they build because they took oil from Iraq that America should've took: 'When I have to build a hotel, I pay interest. They don’t have to pay interest, because they took the oil...'", 1.0
"Since other candidates apparently had less organized events, that means they would make bad presidents: '...some of the candidates...didn’t know the air-conditioner didn’t work. They sweated like dogs.'", "Donald Trump is better than other candidates because his announcement event was well organized and the crowd was sizable: 'There's been no crowd like this...other candidates...didn't know the air conditioner didn't work. They sweated like dogs.'", 1.0
"Unlike Donald Trump, who is an honest business man, Islamic terrorists don't have to pay interest on hotels they build because they took oil from Iraq that America should've took: 'When I have to build a hotel, I pay interest. They don’t have to pay interest, because they took the oil...'", "Donald Trump is in direct competition with Islamic terrorists because they're destroying the Middle East, unlike America: 'Islamic terrorism is eating up large portions of the Middle East. They’ve become rich. I’m in competition with them.'", 1.0
"Mexico is 'sending' immigrants, and they're sending the worst of their population: 'They’re sending people that have lots of problems, and they’re bringing those problems with us. They’re bringing drugs. They’re bringing crime. They’re rapists.'", "America is 'a dumping ground for everybody else's problems,' which Trump can presumably fix.", 1.0
"America doesn't beat China, but Trump does: 'When was the last time anybody saw us beating, let's say, China in a trade deal? They kill us. I beat China all the time.'", "America no longer has victories; not only in war, but in areas such as trade and immigration policy as well.", 1.0
"Donald Trump is better than other candidates because his announcement event was well organized and the crowd was sizable: 'There's been no crowd like this...other candidates...didn't know the air conditioner didn't work. They sweated like dogs.'", " Donald Trump would make a great president", 1.0
"America no longer has victories; not only in war, but in areas such as trade and immigration policy as well.", " Donald Trump would make a great president", 1.0
"Donald Trump is in direct competition with Islamic terrorists because they're destroying the Middle East, unlike America: 'Islamic terrorism is eating up large portions of the Middle East. They’ve become rich. I’m in competition with them.'", " Donald Trump would make a great president", 1.0
"America is 'a dumping ground for everybody else's problems,' which Trump can presumably fix.", " Donald Trump would make a great president", 1.0
