arg1, arg2, attack_support
"kl17792 -> kl17011", "kl17011 -> kl16342", "Support"
"kl17743 -> ¬kl17011", "kl17011 -> kl16342", "Attack"
"kl17539 -> ¬kl17011", "kl17011 -> kl16342", "Attack"
"kl17992 -> kl16887", "kl16887 -> ¬kl15720", "Support"
"kl16680 -> ¬kl15864", "kl15864 -> ¬kl14620", "Attack"
"kl16713 -> kl16131", "kl16131 -> kl14927", "Support"
"kl17095 -> ¬kl15864", "kl15864 -> ¬kl14620", "Attack"
"kl18210 -> kl16887", "kl16887 -> ¬kl15720", "Support"
"kl17075 -> ¬kl16131", "kl16131 -> kl14927", "Attack"
"kl16720 -> ¬kl15864", "kl15864 -> ¬kl14620", "Attack"
"kl17743 -> ¬kl17011", "kl17011 -> kl16342", "Attack"
"kl17539 -> ¬kl17011", "kl17011 -> kl16342", "Attack"
"kl17011 -> kl16342", "kl16342 -> ¬kl14414", "Support"
"kl17792 -> kl17011", "kl17011 -> kl16342", "Support"
"kl16995 -> ¬kl16131", "kl16131 -> kl14927", "Attack"
"kl18198 -> ¬kl15312", "kl15312 -> ¬kl14620", "Attack"
"kl17993 -> kl16887", "kl16887 -> ¬kl15720", "Support"
"kl16685 -> ¬kl16131", "kl16131 -> kl14927", "Attack"
"kl18198 -> ¬kl15312", "kl15312 -> ¬kl14620", "Attack"
"kl15312 -> ¬kl14620", "kl14620 -> kl11047", "Attack"
"kl16685 -> ¬kl16131", "kl16131 -> kl14927", "Attack"
"kl17075 -> ¬kl16131", "kl16131 -> kl14927", "Attack"
"kl16995 -> ¬kl16131", "kl16131 -> kl14927", "Attack"
"kl16131 -> kl14927", "kl14927 -> ¬kl11047", "Support"
"kl16713 -> kl16131", "kl16131 -> kl14927", "Support"
"kl15864 -> ¬kl14620", "kl14620 -> kl11047", "Attack"
"kl17095 -> ¬kl15864", "kl15864 -> ¬kl14620", "Attack"
"kl16680 -> ¬kl15864", "kl15864 -> ¬kl14620", "Attack"
"kl16720 -> ¬kl15864", "kl15864 -> ¬kl14620", "Attack"
"kl6761 -> ¬kl16342", "kl16342 -> ¬kl14414", "Attack"
"kl16342 -> ¬kl14414", "kl14414 -> ¬kl11007", "Attack"
"kl17011 -> kl16342", "kl16342 -> ¬kl14414", "Support"
"kl15228 -> kl14620", "kl14620 -> kl11047", "Support"
"kl16887 -> ¬kl15720", "kl15720 -> ¬kl13379", "Attack"
"kl17993 -> kl16887", "kl16887 -> ¬kl15720", "Support"
"kl18210 -> kl16887", "kl16887 -> ¬kl15720", "Support"
"kl17992 -> kl16887", "kl16887 -> ¬kl15720", "Support"
"kl15475 -> kl14927", "kl14927 -> ¬kl11047", "Support"
"kl14927 -> ¬kl11047", "kl11047 -> kl8176", "Attack"
"kl16131 -> kl14927", "kl14927 -> ¬kl11047", "Support"
"kl15475 -> kl14927", "kl14927 -> ¬kl11047", "Support"
"kl13812 -> ¬kl10076", "kl10076 -> ¬kl7009", "Attack"
"kl15312 -> ¬kl14620", "kl14620 -> kl11047", "Attack"
"kl15864 -> ¬kl14620", "kl14620 -> kl11047", "Attack"
"kl15228 -> kl14620", "kl14620 -> kl11047", "Support"
"kl7334 -> kl14620", "kl14620 -> kl11047", "Support"
"kl14620 -> kl11047", "kl11047 -> kl8176", "Support"
