premise, conclusion, weight
" Brock Turner, a Stanford University swimming champion, was convicted of sexually assaulting an unconscious woman. He was only given a 6 month sentence because of testimony by character witnesses who spoke of his swimming career and his performance in school. He was later released after only serving half of his sentence.", " College athletes use their positions to get away with committing crimes on campus.", 1.0
" Students go to games together, cheer their team on together and follow their teams to away games. This strengthens relationships and builds a unique sense of comeraderie.", " A lot of students form bonds and friendships out of their shared interest in the sport and their love for their own highschool team.", 1.0
" Florida State University had a policy of protecting football players internally and from the law.", " College athletes use their positions to get away with committing crimes on campus.", 1.0
" This can be the case surrounding any competitive high school sport or extra curricular activity and is not limited to just football.", " Passion for highschool football forms a culture that is inherently exclusionary to the students who do not want to follow the sport.", -1.0
" Students who prefer to not follow the sport are looked upon as nerds or generally uncool and are often excluded from other social interactions.", " Passion for highschool football forms a culture that is inherently exclusionary to the students who do not want to follow the sport.", 1.0
" This selection bias was in many ways caused by the NFL due to their hostility towards research into CTE, or any possibly harms, caused by American Football.", " The sample suffered from selection bias. The players who donated their brains to the study were the ones experiencing cognitive issues.", -1.0
" A lot of students form bonds and friendships out of their shared interest in the sport and their love for their own highschool team.", " High school football is good for students who are not directly involved in the teams as well.", 1.0
" Many students discover hobbies or passions in coaching, marketing, cheerleading or sports analytics as a result of following their high school team.", " High school football is good for students who are not directly involved in the teams as well.", 1.0
" Another part of this country literally fought a war to end the unjust practices of the Confederacy. Americans sacrificed their lives in enormous numbers to move our nation towards a more racially just society. Kap is the one ignoring history by saying we’ve not substantially evolved morally as a nation since the days of slavery.", " The American flag represents the same country that the confederate flag did. There is no part of confederate history that is not part of American history. By that interpretation, pretending like theyre different things is ignoring history.", -1.0
" Passion for highschool football forms a culture that is inherently exclusionary to the students who do not want to follow the sport.", " High school football is good for students who are not directly involved in the teams as well.", -1.0
" The Confederacy sought to become another country specifically because they knew that this country was evolving morally to the point that it would no longer tolerate its racially unjust practices.", " The American flag represents the same country that the confederate flag did. There is no part of confederate history that is not part of American history. By that interpretation, pretending like theyre different things is ignoring history.", -1.0
" College athletes use their positions to get away with committing crimes on campus.", " College athletes are respected members of the college community.", -1.0
" High school football teams help discover and hone athletic talents in students who would otherwise go untrained.", " High School football is more beneficial than harmful.", 1.0
" A study found that a new sports facility has an extremely small (perhaps even negative) effect on overall economic activity and employment.", " The NFL provides economic benefits and job opportunities to thousands of people apart from athletes.", -1.0
" Successful teams attract national and international tourists, bringing more money to successful cities.", " The NFL provides economic benefits and job opportunities to thousands of people apart from athletes.", 1.0
" The sample suffered from selection bias. The players who donated their brains to the study were the ones experiencing cognitive issues.", " One large study found that 110 out of 111 (99%) deceased NFL players had chronic traumatic encephalopathy.", -1.0
" This means that players are coerced into playing injured or skipping class to appease the coach.", " Most top-level college football players are on year-to-year scholarships, that can be revoked for any reason.", 1.0
" The American flag represents the same country that the confederate flag did. There is no part of confederate history that is not part of American history. By that interpretation, pretending like theyre different things is ignoring history.", " Kaepernick retweeted images of the U.S. and the Confederate flags with the message: “The fact that you really believe that there is difference in these flags means that your [sic] ignoring history.” Given that he believes the US is no better morally than a slave state, his lack of pride in the country would seem rather complete and not compartmentalized to just police shootings.", -1.0
