arg1, arg2, attack_support
"wd1335 -> ¬wd638", "wd638 -> wd152", "Attack"
"wd909 -> ¬wd158", "wd158 -> wd26", "Attack"
"wd821 -> ¬wd157", "wd157 -> wd26", "Attack"
"wd960 -> ¬wd157", "wd157 -> wd26", "Attack"
"wd635 -> wd152", "wd152 -> wd26", "Support"
"wd636 -> ¬wd158", "wd158 -> wd26", "Attack"
"wd906 -> ¬wd153", "wd153 -> wd26", "Attack"
"wd1335 -> ¬wd638", "wd638 -> wd152", "Attack"
"wd638 -> wd152", "wd152 -> wd26", "Support"
"wd637 -> wd152", "wd152 -> wd26", "Support"
"wd483 -> ¬wd153", "wd153 -> wd26", "Attack"
"wd906 -> ¬wd153", "wd153 -> wd26", "Attack"
"wd483 -> ¬wd153", "wd153 -> wd26", "Attack"
"wd821 -> ¬wd157", "wd157 -> wd26", "Attack"
"wd960 -> ¬wd157", "wd157 -> wd26", "Attack"
"wd638 -> wd152", "wd152 -> wd26", "Support"
"wd635 -> wd152", "wd152 -> wd26", "Support"
"wd637 -> wd152", "wd152 -> wd26", "Support"
"wd909 -> ¬wd158", "wd158 -> wd26", "Attack"
"wd636 -> ¬wd158", "wd158 -> wd26", "Attack"
