premise, conclusion, weight
" Homosexuality was not found in Mankind before the Fall, nor is the Spirit filling all things relevant to homosexuality being justified or not, since the Spirit also fills things that can be agreed to not be justified in Christian such as murderers.", " A Deity who contains all genders and no gender...a Deity who gives life and breath and pours out His “spirit upon all flesh” (Joel 2:28;3:1)...calling the whole of creation “very good” (Gen 1:31)...is a God who reflects the variety of gendered, (adult) human-paired relations that have existed throughout time.", -1.0
" It would be wrong to assume Gods heteronormative intent under the rubric of reproduction. This type of thinking has had a metastasizing and historically-negative outgrowth, both religiously/legally, and culturally/linguistically—an assumption that prioritizes Genesis 2 above Genesis 1.", " If the genesis narrative is relevant then the sentence must be read in context. Gen 1:27 So God created mankind in his own image, in the image of God he created them;male and female he created them. 28 God blessed them and said to them, “Be fruitful and increase in number;fill the earth and subdue it... Maleness and femaleness is clearly connected to the act of multuiplying in the narrative", -1.0
" This logic would suggest that celibacy is also a sin, becasue this would similarly not fulfil Gods command to multiply. Yet this position is not accepted by any Christian church.", " At the very least, same sex couplings seem to ignore Gods command to be fruitful and multiply.", -1.0
" A Deity who contains all genders and no gender...a Deity who gives life and breath and pours out His “spirit upon all flesh” (Joel 2:28;3:1)...calling the whole of creation “very good” (Gen 1:31)...is a God who reflects the variety of gendered, (adult) human-paired relations that have existed throughout time.", " Gods gender is irrelevant. His Essence is unknowable. What is relevant is Gods definition of marriage in Genesis 1:16-23. And the confirmation of it in Matthew 19:4-6. There is no verse relating to marriage advice that mentions homosexual marriage, although there are verses speaking of heterosexual marriage.", -1.0
" He created partnership with a male and female prior to giving the command to be fruitful. The societal structure for reproduction was given prior to the command (technically speaking).", " In the 1st  2nd chapters of Genesis, God creates humankind, tells them to “be fruitful and multiply and fill the earth” (1:28), and then humankind creates a societal structure to fulfill this command (2:24–25). Nothing in this narrative suggests homosexual coupling is a thing that “ought NOT to be.” We just tend to assume it.", -1.0
" Gods gender is irrelevant. His Essence is unknowable. What is relevant is Gods definition of marriage in Genesis 1:16-23. And the confirmation of it in Matthew 19:4-6. There is no verse relating to marriage advice that mentions homosexual marriage, although there are verses speaking of heterosexual marriage.", " Hebrew grammar refers to God with masculine possessive suffixes, pronouns, and verb forms—but not always (Isaiah 66:13). In fact, God hid his ‘gender’ from Moses (Genesis 33:18-23). Therefore, it is unknown whether Hebrew language dictated God’s gender (as some might understand it today) or God contains all genders.", -1.0
" At the very least, same sex couplings seem to ignore Gods command to be fruitful and multiply.", " In the 1st  2nd chapters of Genesis, God creates humankind, tells them to “be fruitful and multiply and fill the earth” (1:28), and then humankind creates a societal structure to fulfill this command (2:24–25). Nothing in this narrative suggests homosexual coupling is a thing that “ought NOT to be.” We just tend to assume it.", -1.0
" One such detestable activity—as it would violate God’s sovereignty—would be for an Israelite to engage with a Canaanite temple prostitute in their pagan fertility ritual—sex in exchange for the promise of good crops. While there is little evidence to suggest that same-sex activity was taking place in ancient Israel, it is nevertheless, a modern assumption.", " The Decalogue condemns idolatry, and the Old Testament condemns contextualized (male) sex acts relating to pagan worship practices—this would apply equally to same-sex acts (within this same context).", 1.0
" Paul presupposed heteronormality, as did Leviticus (given the linguistic rendering). The addressee of the legal and Pauline letters—concerning sexual issues—were heterosexuals. As such, any revelation is with dogma, not with the scriptures.", " That an inherent definition of why homosexual conduct is sin is not exhaustively undefined in Paul’s letters only means that he takes the Old Testament prohibitions as they stand with no need for redefinition. The burden of proof is on the other foot to show how the New Testament could possibly have justified such a revolution in sexual ethical norms. Everywhere Paul and Jesus uphold and intensify the moral teachings of the Old Testament. They do not undermine or change them.", -1.0
" Marriage is between only man and woman, so its possible that Jude simply saw it as the same sin, which is arguably true.", " The same source states that the people of Sodom indulged in sexual promiscuity. The unnatural lust may well be adultery.", -1.0
