premise, conclusion, weight
" Des marins lettons et estoniens hostiles à la révolution s'étaient réfugiés à Kronstadt", " Les mutins de Kronstadt en 1921 étaient bien différents des marins révolutionnaires de 1917", 1.0
" Les mutins de Kronstadt en 1921 étaient touchés par la démoralisation", " Les mutins de Kronstadt en 1921 étaient bien différents des marins révolutionnaires de 1917", 1.0
" Les éléments les plus conscients et les plus dévoués de Kronstadt étaient en train de combattre sur le front de la guerre civile", " Les mutins de Kronstadt en 1921 étaient bien différents des marins révolutionnaires de 1917", 1.0
" Les mutins de Kronstadt en 1921 étaient bien différents des marins révolutionnaires de 1917", " La révolte de Kronstadt avait un caractère contre-révolutionnaire", 1.0
" La révolte de Kronstadt a suscité l'opposition des ouvriers de Petrograd", " La révolte de Kronstadt avait un caractère contre-révolutionnaire", 1.0
" La révolte de Kronstadt est une réaction armée de la petite-bourgeoisie contre les difficultés de la révolution socialiste et la rigueur de la dictature prolétarienne", " La révolte de Kronstadt avait un caractère contre-révolutionnaire", 1.0
" Lénine a ordonné l'enfermement des vieillards, des femmes et des enfants cosaques", " Lénine a mené la décosaquisation sans discernement", 1.0
" Les « erreurs » des bolchéviques vis-à-vis de la révolte de Kronstadt n'apparaissent qu'après coup", " Les bolchéviks ont commis des erreurs concernant le soulèvement des marins de Kronstadt", -1.0
" Lénine a violemment réprimé les ouvriers en 1918 suite à la dissolution des soviets tenus par des opposants", " Lénine a violemment réprimé les ouvriers en 1918", 1.0
" Lénine a violemment réprimé les ouvriers de Toula en 1920 suite aux mesures de militarisation du travail", " Lénine a violemment réprimé les ouvriers en 1920 suite aux mesures de militarisation du travail", 1.0
"La violence terroriste inadmissible en démocratie contre des élus au suffrage universel, se justifie contre une dictature ou une autocratie", " Lénine défendait déjà la terreur en 1905", -1.0
"Tous les pays capitalistes ont pratiqué la terreur : répressions d'opposants par des dictatures militaires, guerres coloniales par les démocraties occidentales", " Le dimanche rouge de janvier 1905 c'est la terreur du régime tsariste qui tire sur la foule pacifique venue demander du pain et la démocratie.", -1.0
" En décembre 1919 il cite pour sa défense Alphonse Aulard, historien jacobin et radical-socialiste, plus proche de Danton que de Robespierre", " Lénine faisait l'éloge de la terreur avant 1914", -1.0
" En 1901 Lénine a seulement loué Robespierre comme un défenseur de la liberté de conscience puis en 1915 comme un antibelliciste", " Lénine faisait l'éloge de la terreur avant 1914", -1.0
" Lénine a violemment réprimé les ouvriers d'Astrakhan au printemps 1919", " Lénine a violemment réprimé les ouvriers au printemps 1919", 1.0
" Les bolchéviques n'avaient d'autre choix que de réprimer la révolte de Kronstadt", " Les bolchéviks ont commis des erreurs concernant le soulèvement des marins de Kronstadt", -1.0
" Lénine a violemment réprimé les ouvriers de Toula au printemps 1919", " Lénine a violemment réprimé les ouvriers au printemps 1919", 1.0
" L'introduction anticipée de la Nep n'aurait pas pu permettre d'apaiser les mutins de Kronstadt", " Les bolchéviks ont commis des erreurs concernant le soulèvement des marins de Kronstadt", -1.0
" Lénine a violemment réprimé les ouvriers de Simbirsk en 1920 suite aux mesures de militarisation du travail", " Lénine a violemment réprimé les ouvriers en 1920 suite aux mesures de militarisation du travail", 1.0
" Lénine a ordonné l'exécution des bourgeois", " Lénine considère tous les bourgeois comme coupables", 1.0
" Lénine a ordonné des exécutions expéditives contre les Cosaques", " Lénine a mené la décosaquisation sans discernement", 1.0
" Lénine a violemment réprimé les ouvriers des usines Poutilov au printemps 1919", " Lénine a violemment réprimé les ouvriers au printemps 1919", 1.0
" Ceux qui cherchent à prescrire après coup d'autres itinéraires à la Révolution russe sont des raisonneurs en pantoufles", " Les bolchéviks ont commis des erreurs concernant le soulèvement des marins de Kronstadt", -1.0
" Lénine a ordonné l'expropriation des bourgeois", " Lénine considère tous les bourgeois comme coupables", 1.0
" Lénine a ordonné l'humiliation et le viol de femmes bourgeoises", " Lénine considère tous les bourgeois comme coupables", 1.0
" Lénine a ordonné le pillage de la bourgeoisie", " Lénine considère tous les bourgeois comme coupables", 1.0
" En Russie la grande Guerre et la guerre civile rapprochent encore plus les violences antisémites perpétrées par toutes les forces antibolcheviques, de la Shoah", " Le Régime de Nicolas II était un régime proto-fasciste avec ses Cent-Noirs, tueurs d'opposants politiques et massacreurs de juifs", 1.0
" La terreur rouge de la guerre civile russe est sans rapport avec la terreur stalinienne des années 1930", " La terreur blanche, occultée dans ce dossier, a largement précédé la terreur rouge", 1.0
" Lénine a violemment réprimé les ouvriers de Petrograd en 1918", " Lénine a violemment réprimé les ouvriers en 1918", 1.0
"Ce ne fut pas Lénine lui-même mais l'attentat dont il fut l'objet qui imposa en septembre 1918 aux bolcheviks jusque là très patients la notion 'd'ennemi du peuple'", " Lénine crée la catégorie d'« ennemis du peuple » dès 1918", -1.0
" La révolte de Kronstadt avait un caractère contre-révolutionnaire", " Lénine a violemment réprimé les anarchistes de Kronstadt", -1.0
