premise, conclusion, weight
" Les machines à voter sont vulnérables aux attaques", " Les machines à voter sont sécurisées par des experts", -1.0
" Les machines à voter nécessitent des assesseurs", " Le vote électronique permet de réaliser des économies de personnel", -1.0
" Un système de tickets imprimés peut être mis en place pour chaque vote d'une machine à voter", " Il est impossible de recompter les votes", -1.0
" Le contrôle informatique des machines à voter ne doit pas être réservé à des experts", " Les machines à voter peuvent avoir un code source libre et ouvert", -1.0
" Des lieux de vote peuvent être ouverts au public", " Tout le monde n'est pas équipé d'un ordinateur connecté pour voter par internet", -1.0
" Le vote électronique pourrait augmenter la défiance des citoyens", " Le vote électronique permet de réduire l'abstention", -1.0
" Le vote électronique ne réduit pas systématiquement l'abstention", " Le vote électronique permet de réduire l'abstention", -1.0
" De meilleures solutions que le vote électronique existent pour les personnes malades et handicapées", " Le vote électronique facilite le vote pour les personnes malades ou handicapées", -1.0
" L'essentiel du papier utilisé lors des élections est utilisé pour la campagne", " Le vote électronique permet de réaliser des économies de papier et d'urnes", -1.0
" La participation électronique augmente avec le temps", " Le vote électronique a suscité un faible taux de participation dans les expériences menées", -1.0
" Une carte d'identité électronique peut être mise en place pour voter par internet", " Avec le vote électronique il est plus difficile de vérifier l'identité des votants qu'avec le vote papier", -1.0
" Les données des votes électroniques sont encryptées", " Des fuites de données sont possibles avec le vote électronique", -1.0
" L'abstention doit être résolue par le vote obligatoire", " Le vote électronique permet de réduire l'abstention", -1.0
" Le vote électronique n'apporte pas spécialement plus de confort dans le cas des machines à voter", " Le vote électronique permet un plus grand confort de vote", -1.0
" Le bourrage d'urnes est difficilement réalisable à grande échelle sans être détecté", " Avec le vote électronique il ne peut y avoir de bourrage d'urnes comme dans le vote papier", -1.0
" Les machines à voter sont sécurisées par des experts", " Les ordinateurs personnels ne sont pas assez sécurisés pour le vote électronique", -1.0
" Il faut installer plus de machines à voter dans les bureaux de vote", " Le vote électronique allonge le temps d'attente aux bureaux de vote", -1.0
" Il n'y a pas besoin de posséder un ordinateur pour voter avec les machines à voter", " Tout le monde n'est pas équipé d'un ordinateur connecté pour voter par internet", -1.0
" L'abstention est un problème de fond complexe", " Le vote électronique permet de réduire l'abstention", -1.0
" Les solutions techniques aux problèmes posés par le vote électronique reviennent à faire compliqué quand on peut faire simple", " Les machines à voter peuvent avoir un code source libre et ouvert", -1.0
" Il faut savoir garder du suspense pour connaitre les résultats d'un vote", " Le vote électronique permet un décompte des votes plus rapide que le vote papier", -1.0
" Le vote électronique est une solution peu efficace pour les malvoyants", " Le vote électronique facilite le vote pour les personnes malades ou handicapées", -1.0
" Une authentification forte est possible pour voter par internet", " Avec le vote électronique il est plus difficile de vérifier l'identité des votants qu'avec le vote papier", -1.0
" Des mesures de sécurité existent pour les machines à voter", " Il est impossible de vérifier si notre vote a été respecté", -1.0
" Le vote électronique risque de faire augmenter le temps d'attente pour voter", " Le vote électronique permet de réaliser des économies de personnel", -1.0
" L'abstention ne peut être résolue que par l'éducation", " Le vote électronique permet de réduire l'abstention", -1.0
" Les résultats d'un scrutin par vote papier sont déjà très rapides", " Le vote électronique permet un décompte des votes plus rapide que le vote papier", -1.0
" Le vote électronique n'allonge le temps d'attente aux bureaux de vote que dans le cas des machines à voter", " Le vote électronique allonge le temps d'attente aux bureaux de vote", -1.0
" Ajouter une nouvelle modalité de vote ne fait qu'ajouter un nouveau coût", " Le vote électronique permet de diminuer les coûts des élections des Français à l'étranger", -1.0
