arg1, arg2, attack_support
"wd2265 -> wd1521", "wd1521 -> ¬wd848", "Support"
"wd2265 -> wd1521", "wd1521 -> ¬wd1069", "Support"
"wd2142 -> ¬wd838", "wd838 -> ¬wd263", "Attack"
"wd2142 -> ¬wd838", "wd838 -> wd261", "Attack"
"wd844 -> ¬wd1521", "wd1521 -> ¬wd848", "Attack"
"wd844 -> ¬wd1521", "wd1521 -> ¬wd1069", "Attack"
"wd1521 -> ¬wd1069", "wd1069 -> wd256", "Attack"
"wd846 -> ¬wd1521", "wd1521 -> ¬wd848", "Attack"
"wd846 -> ¬wd1521", "wd1521 -> ¬wd1069", "Attack"
"wd847 -> ¬wd1521", "wd1521 -> ¬wd848", "Attack"
"wd847 -> ¬wd1521", "wd1521 -> ¬wd1069", "Attack"
"wd1521 -> ¬wd848", "wd848 -> wd261", "Attack"
"wd1521 -> ¬wd848", "wd848 -> ¬wd263", "Attack"
"wd843 -> ¬wd1521", "wd1521 -> ¬wd1069", "Attack"
"wd843 -> ¬wd1521", "wd1521 -> ¬wd848", "Attack"
"wd2265 -> wd1521", "wd1521 -> ¬wd848", "Support"
"wd2265 -> wd1521", "wd1521 -> ¬wd1069", "Support"
"wd841 -> wd1521", "wd1521 -> ¬wd1069", "Support"
"wd841 -> wd1521", "wd1521 -> ¬wd848", "Support"
"wd1517 -> wd824", "wd824 -> wd261", "Support"
"wd1903 -> ¬wd837", "wd837 -> wd256", "Attack"
"wd2550 -> ¬wd847", "wd847 -> ¬wd260", "Attack"
"wd2550 -> ¬wd847", "wd847 -> ¬wd1521", "Attack"
"wd2550 -> ¬wd847", "wd847 -> wd262", "Attack"
"wd2494 -> ¬wd845", "wd845 -> wd262", "Attack"
"wd2562 -> ¬wd842", "wd842 -> wd256", "Attack"
"wd2495 -> ¬wd845", "wd845 -> wd262", "Attack"
"wd1891 -> ¬wd1069", "wd1069 -> wd256", "Attack"
"wd2503 -> ¬wd839", "wd839 -> ¬wd263", "Attack"
"wd2503 -> ¬wd839", "wd839 -> wd261", "Attack"
"wd1438 -> wd824", "wd824 -> wd261", "Support"
"wd1872 -> ¬wd849", "wd849 -> wd256", "Attack"
"wd2502 -> ¬wd839", "wd839 -> ¬wd263", "Attack"
"wd2502 -> ¬wd839", "wd839 -> wd261", "Attack"
"wd2141 -> ¬wd838", "wd838 -> ¬wd263", "Attack"
"wd2141 -> ¬wd838", "wd838 -> wd261", "Attack"
"wd1516 -> wd824", "wd824 -> wd261", "Support"
"wd2163 -> ¬wd846", "wd846 -> ¬wd1521", "Attack"
