arg1, arg2, attack_support
"kl17983 -> kl16220", "kl16220 -> ¬kl13904", "Support"
"kl15729 -> kl13723", "kl13723 -> ¬kl11199", "Support"
"kl15772 -> ¬kl14582", "kl14582 -> kl11484", "Attack"
"kl16227 -> ¬kl13644", "kl13644 -> kl9969", "Attack"
"kl16220 -> ¬kl13904", "kl13904 -> kl9220", "Attack"
"kl15110 -> kl16220", "kl16220 -> ¬kl13904", "Support"
"kl17983 -> kl16220", "kl16220 -> ¬kl13904", "Support"
"kl15768 -> kl13723", "kl13723 -> ¬kl11199", "Support"
"kl16355 -> kl14870", "kl14870 -> ¬kl9822", "Support"
"kl16355 -> kl14870", "kl14870 -> ¬kl10184", "Support"
"kl16086 -> ¬kl14506", "kl14506 -> kl11280", "Attack"
"kl14583 -> ¬kl11484", "kl11484 -> ¬kl6717", "Attack"
"kl14112 -> ¬kl10182", "kl10182 -> kl8763", "Attack"
"kl14112 -> ¬kl10182", "kl10182 -> kl10647", "Attack"
"kl14112 -> ¬kl11002", "kl11002 -> kl10647", "Attack"
"kl14112 -> ¬kl11002", "kl11002 -> kl8763", "Attack"
"kl13932 -> kl9820", "kl9820 -> ¬kl8768", "Support"
"kl14946 -> ¬kl9820", "kl9820 -> ¬kl8768", "Attack"
"kl13723 -> ¬kl11199", "kl11199 -> ¬kl6717", "Attack"
"kl15768 -> kl13723", "kl13723 -> ¬kl11199", "Support"
"kl15729 -> kl13723", "kl13723 -> ¬kl11199", "Support"
"kl16220 -> ¬kl13904", "kl13904 -> kl9220", "Attack"
"kl13904 -> kl9220", "kl9220 -> ¬kl8317", "Support"
"kl13904 -> kl9220", "kl9220 -> kl8291", "Support"
"kl15772 -> ¬kl14582", "kl14582 -> kl11484", "Attack"
"kl14582 -> kl11484", "kl11484 -> ¬kl6717", "Support"
"kl16227 -> ¬kl13644", "kl13644 -> kl9969", "Attack"
"kl13644 -> kl9969", "kl9969 -> ¬kl7784", "Support"
"kl15343 -> kl13630", "kl13630 -> kl10732", "Support"
"kl15651 -> kl13630", "kl13630 -> kl10732", "Support"
"kl14649 -> ¬kl11052", "kl11052 -> kl7345", "Attack"
"kl13939 -> kl12268", "kl12268 -> kl8167", "Support"
"kl13931 -> kl9737", "kl9737 -> ¬kl7138", "Support"
"kl15110 -> kl16220", "kl16220 -> ¬kl13904", "Support"
"kl15110 -> kl10020", "kl10020 -> kl8408", "Support"
"kl15110 -> kl10020", "kl10020 -> ¬kl8291", "Support"
"kl14870 -> ¬kl9822", "kl9822 -> kl7980", "Attack"
"kl14870 -> ¬kl10184", "kl10184 -> kl7980", "Attack"
"kl16355 -> kl14870", "kl14870 -> ¬kl9822", "Support"
"kl16355 -> kl14870", "kl14870 -> ¬kl10184", "Support"
"kl13721 -> ¬kl11484", "kl11484 -> ¬kl6717", "Attack"
"kl13047 -> ¬kl10183", "kl10183 -> ¬kl8768", "Attack"
"kl13934 -> kl9737", "kl9737 -> ¬kl7138", "Support"
"kl13652 -> kl10020", "kl10020 -> ¬kl8291", "Support"
"kl13652 -> kl10020", "kl10020 -> kl8408", "Support"
"kl13940 -> kl12268", "kl12268 -> kl8167", "Support"
"kl12802 -> kl9220", "kl9220 -> kl8291", "Support"
"kl12802 -> kl9220", "kl9220 -> ¬kl8317", "Support"
"kl10575 -> kl12802", "kl12802 -> kl9220", "Support"
"kl16086 -> ¬kl14506", "kl14506 -> kl11280", "Attack"
"kl14506 -> kl11280", "kl11280 -> kl7784", "Support"
"kl12706 -> kl9970", "kl9970 -> kl7778", "Support"
"kl9914 -> ¬kl8770", "kl8770 -> ¬kl4620", "Attack"
"kl15343 -> kl13630", "kl13630 -> kl10732", "Support"
"kl15651 -> kl13630", "kl13630 -> kl10732", "Support"
"kl13630 -> kl10732", "kl10732 -> ¬kl5645", "Support"
"kl14946 -> ¬kl9820", "kl9820 -> ¬kl8768", "Attack"
"kl9820 -> ¬kl8768", "kl8768 -> kl5628", "Attack"
"kl13932 -> kl9820", "kl9820 -> ¬kl8768", "Support"
"kl11484 -> ¬kl6717", "kl6717 -> kl2534", "Attack"
"kl13721 -> ¬kl11484", "kl11484 -> ¬kl6717", "Attack"
"kl14583 -> ¬kl11484", "kl11484 -> ¬kl6717", "Attack"
"kl14582 -> kl11484", "kl11484 -> ¬kl6717", "Support"
"kl14556 -> ¬kl11558", "kl11558 -> ¬kl4273", "Attack"
"kl10082 -> kl8352", "kl8352 -> kl3388", "Support"
