arg1, arg2, attack_support
"kl8373 -> ¬kl5959", "kl5959 -> ¬kl558", "Attack"
"kl8916 -> ¬kl3121", "kl3121 -> ¬kl1277", "Attack"
"kl10419 -> ¬kl5019", "kl5019 -> ¬kl1941", "Attack"
"kl5595 -> ¬kl971", "kl971 -> ¬kl42", "Attack"
"kl2282 -> kl1914", "kl1914 -> kl104", "Support"
"kl4768 -> ¬kl2240", "kl2240 -> ¬kl289", "Attack"
"kl3121 -> ¬kl1277", "kl1277 -> kl272", "Attack"
"kl8916 -> ¬kl3121", "kl3121 -> ¬kl1277", "Attack"
"kl4330 -> kl2042", "kl2042 -> ¬kl235", "Support"
"kl4439 -> ¬kl2044", "kl2044 -> ¬kl272", "Attack"
"kl4676 -> ¬kl1446", "kl1446 -> ¬kl104", "Attack"
"kl3705 -> ¬kl755", "kl755 -> ¬kl46", "Attack"
"kl3705 -> ¬kl755", "kl755 -> ¬kl2042", "Attack"
"kl5959 -> ¬kl558", "kl558 -> ¬kl5949", "Attack"
"kl5959 -> ¬kl558", "kl558 -> ¬kl256", "Attack"
"kl8373 -> ¬kl5959", "kl5959 -> ¬kl558", "Attack"
"kl1967 -> ¬kl223", "kl223 -> ¬kl24", "Attack"
"kl1298 -> ¬kl223", "kl223 -> ¬kl24", "Attack"
"kl1059 -> ¬kl223", "kl223 -> ¬kl24", "Attack"
"kl1783 -> kl223", "kl223 -> ¬kl24", "Support"
"kl2042 -> ¬kl235", "kl235 -> ¬kl24", "Attack"
"kl1399 -> ¬kl235", "kl235 -> ¬kl24", "Attack"
"kl802 -> kl235", "kl235 -> ¬kl24", "Support"
"kl1398 -> ¬kl104", "kl104 -> kl24", "Attack"
"kl1446 -> ¬kl104", "kl104 -> kl24", "Attack"
"kl1914 -> kl104", "kl104 -> kl24", "Support"
"kl1401 -> kl104", "kl104 -> kl24", "Support"
"kl684 -> ¬kl289", "kl289 -> ¬kl24", "Attack"
"kl1941 -> ¬kl289", "kl289 -> ¬kl24", "Attack"
"kl2240 -> ¬kl289", "kl289 -> ¬kl24", "Attack"
"kl1060 -> ¬kl289", "kl289 -> ¬kl24", "Attack"
"kl971 -> ¬kl42", "kl42 -> kl24", "Attack"
