arg1, arg2, attack_support
"am-ch642 -> ¬am-ch493", "am-ch493 -> am-ch246", "Attack"
"am-ch643 -> am-ch496", "am-ch496 -> am-ch243", "Support"
"am-ch494 -> am-ch246", "am-ch246 -> ¬am-ch16", "Support"
"am-ch491 -> am-ch243", "am-ch243 -> am-ch16", "Support"
"am-ch642 -> ¬am-ch493", "am-ch493 -> am-ch246", "Attack"
"am-ch493 -> am-ch246", "am-ch246 -> ¬am-ch16", "Support"
"am-ch496 -> am-ch243", "am-ch243 -> am-ch16", "Support"
"am-ch643 -> am-ch496", "am-ch496 -> am-ch243", "Support"
"am-ch495 -> ¬am-ch249", "am-ch249 -> ¬am-ch16", "Attack"
"am-ch492 -> am-ch243", "am-ch243 -> am-ch16", "Support"
"am-ch495 -> ¬am-ch249", "am-ch249 -> ¬am-ch16", "Attack"
"am-ch493 -> am-ch246", "am-ch246 -> ¬am-ch16", "Support"
"am-ch494 -> am-ch246", "am-ch246 -> ¬am-ch16", "Support"
"am-ch496 -> am-ch243", "am-ch243 -> am-ch16", "Support"
"am-ch491 -> am-ch243", "am-ch243 -> am-ch16", "Support"
"am-ch492 -> am-ch243", "am-ch243 -> am-ch16", "Support"
