premise, conclusion, weight
" Super PACs must also disclose their donors and how they spend their cash to the FEC. This is still more transparent as it is a matter of public record that watchdogs and average citizens can scrutinize more clearly than the difficult to record lobbying of individuals.", " In the US, the Citizens United ruling opened legal loopholes that allow for parallel Super PACs to have unlimited expenditures towards political causes (though not directly towards campaigns). These groups are very difficult for the public to scrutinize because it is easy for major corporations to obfuscate their contributions to Super PACs through shell companies and subsidiaries.", -1.0
" It is a strict liability federal offense to be in possession of the feathers of the Bald Eagle. This is despite the fact that the birds are no longer endangered and the feathers are critical t many Native American ceremonies.", " Many enforceable laws are outdated or victimless and hence hard to predict.", 1.0
" Most countries do not allow for unlimited contributions through Super PACs as the US does.", " In the US, the Citizens United ruling opened legal loopholes that allow for parallel Super PACs to have unlimited expenditures towards political causes (though not directly towards campaigns). These groups are very difficult for the public to scrutinize because it is easy for major corporations to obfuscate their contributions to Super PACs through shell companies and subsidiaries.", -1.0
" Sodomy is still illegal in 12 U.S. states.", " Many enforceable laws are outdated or victimless and hence hard to predict.", 1.0
" In 2011, the Mitt Romney-linked Restore our Future super PAC reported a $1 million contribution from “W Spann LLC.” This was an unfamiliar group to the media and the public. After investigation it was discovered  that its address in New York was the same as that of Bain Capital Romney’s former firm. It was discovered that this was a shell created for this purpose.", " In the US, the Citizens United ruling opened legal loopholes that allow for parallel Super PACs to have unlimited expenditures towards political causes (though not directly towards campaigns). These groups are very difficult for the public to scrutinize because it is easy for major corporations to obfuscate their contributions to Super PACs through shell companies and subsidiaries.", 1.0
" U.S. tax law exceeds 7 500 pages worth of legislation.", " The number of laws that exist in the legal system exceeds the capacity of any one person to know or understand.", 1.0
" 40 625 news laws were created in the U.S. in 2010 alone.", " The number of laws that exist in the legal system exceeds the capacity of any one person to know or understand.", 1.0
" There are over 5000 federal laws in addition to 300 000 criminally enforceable regulations in the U.S.", " The number of laws that exist in the legal system exceeds the capacity of any one person to know or understand.", 1.0
" In the US, the Citizens United ruling opened legal loopholes that allow for parallel Super PACs to have unlimited expenditures towards political causes (though not directly towards campaigns). These groups are very difficult for the public to scrutinize because it is easy for major corporations to obfuscate their contributions to Super PACs through shell companies and subsidiaries.", " When in a election, special interests must have their contributions to judicial campaigns listed as public record. This is much easier for watchdog groups to scrutinize than backdoor meetings with government officials.", -1.0
" Gun usage in the U.S. is governed by more than 20 000 federal laws.", " The number of laws that exist in the legal system exceeds the capacity of any one person to know or understand.", 1.0
" Many enforceable laws are outdated or victimless and hence hard to predict.", " The number of laws that exist in the legal system exceeds the capacity of any one person to know or understand.", 1.0
" Legal documents tend to be written in a form of legalese that is not easily understood.", " While services such as Westlaw can provide a convenient way to access legal information, it is not necessary to pay for a service to access court decisions.", -1.0
" When in a election, special interests must have their contributions to judicial campaigns listed as public record. This is much easier for watchdog groups to scrutinize than backdoor meetings with government officials.", " There is less scrutiny on the extent to which special interests can influence elections since the results are seen as the will of the people.", -1.0
" Core facets of the legal system are unintuitive and contradictory.", " No matter how clear legal decisions are, the general public will never be able to understand the legal system.", 1.0
" If businesses do not believe the courts are fair they are likely to resort to private arbitration as a dispute resolution mechanism. Since such mechanisms are decentralized, arbiters need not respect each others decisions, decisions may be inconsistent and contradictory, complicating transactions.", " The legal systems success rests on its ability to monopolize justice and the use of force in society. If people lose faith in the legal system they will seek alternate methods of resolving disputes.", 1.0
" Popular opinion should not be the basis for revoking or destroying human rights.", " Popular opinion is usually what enshrined these rights in the first place. It should also be able to revoke them.", -1.0
" That could/would alter the function and purpose of judges as interpreters of law- they must say what the law is. If that leads to decisions ultimately not in the best interest of the public, but those decisions are still well-reasoned, then fault lies with lawmakers, not the judges themselves.", " Lifetime appointments mean that even if judges can be removed from office for serious breaches of the law or behavioural impropriety, they cannot be held accountable for a patterns of decisions which while not criminal, are judged to not be ultimately in the best interest of the public. Elections alone can create that sort of accountability.", -1.0
" Minimizing voter anger and backlash is more important than maximizing voter agency. This is because minimizing anger towards the system contributes the most to societal stability.", " While it is true that the implementation of affirmative action in an appointment system has a limited change to voter agency, it implies voter agency is a quality to be maximized. If this is the case an elected system is clearly superior.", -1.0
" When people feel the law cannot protect them they often resort to vigilantism.", " The legal systems success rests on its ability to monopolize justice and the use of force in society. If people lose faith in the legal system they will seek alternate methods of resolving disputes.", 1.0
" The number of laws that exist in the legal system exceeds the capacity of any one person to know or understand.", " No matter how clear legal decisions are, the general public will never be able to understand the legal system.", 1.0
" Bushs appointment of unqualified judges is another indicator of the political biases that can corrupt appointment systems.", " Only four (out of 58) of Trumps judge nominations have been deemed unqualified. This isnt a particularity large number, with George W Bush having seven of his nominations deemed unqualified.", -1.0
" There is value in communicating judgements to the public. More complicated decisions are harder to explain to the public. As such it is often worth trading a fairer but more complex decision for a simpler and easier to explain judgement.", " Additional complexity may make the law more fair, but comes at the cost of comprehensibility. Because the legal system suffers when few understand it, it is important to have a mechanism which balances simplicity and fairness. Elections can serve as that mechanism.", 1.0
" It is easier to implement improved judicial education in appointment commissions which usually value and require experience and education.", " This goal could be emphasized by the continued legal education judges are required to undergo, which would not require elections.", 1.0
