premise, conclusion, weight
"台灣現在核一、二廠都有用過燃料爆滿的問題，萬一發生事故，都可能是「超福島級」", "#核廢處置與貯存核一、核二、核三等核電廠基本上都有放置核廢料的空間，而馬英九所稱核四廠的儲存空間並非最終放置地點，只是是暫存空間，核廢料最終處置場所選址非常困難棘手。", 1.0
"歐盟核能安全管制委員會的20國（歐盟15國、非歐盟5國）的壓力測試報告、台灣的報告。在地質環境和核災後果方面，沒有國家會像台灣一樣，在700萬人生活圈50公里內有4座反應爐座落在活動斷層上，假如發生大地震、海嘯，可能造成路毀、橋斷，救無可救、逃無可逃", "#安全核能就是綠能，是對環境衝擊最小的安全清潔能源", -1.0
"以核養綠的目標即為延役核電、重啟核四（甚至擴增機組？）", "核一廠已提出除役許可，還在等環評許可，核二廠則預計今年底會提出除役許可，核三廠預計後年要提。他認為有電業法相關規定，相信台電不會提出延役的相關要求", -1.0
"檢視核能是否是對環境衝擊最小，安全且清潔的能源方式，須檢視其從鈾礦開採、燃料棒提煉、運轉再至核廢料處置過程中所出現的外部成本。且核電外部成本最大不確定性來自核災意外成本的估算，依據Rabl等（2013）估算，核災外部成本最高可達23.8歐元／MWh。依據蘇黎世理工學院與薩塞克斯大學研究團隊最新研究顯示，全球每60至150年就有一半以上的機率發生如福島核災等級或以上的核能意外事件，每10至20年就會發生如三哩島核災等級以上的核能意外（Wheatley et al., 2017）", "#安全核能就是綠能，是對環境衝擊最小的安全清潔能源", -1.0
"案例：英國仰賴核電做為減碳選項的政策方向，面臨新核電廠興建工程的遲滯，而導致無法如預期達標的情況。衡量成本與風險之下，建構一個以再生能源為主的電力系統，比一次大舉新增多個核電廠更為適當。 ", "#安全核能就是綠能，是對環境衝擊最小的安全清潔能源", -1.0
"核能無法橋接只有排擠。", "#能源轉型從能源轉型的路徑來看，核能是轉型為綠能前比較良好的選項。", -1.0
"#對綠能的影響公投主文：＂廢除《電業法》修法後所明定「2025年廢止核能發電的非核家園」＂並不是以核養綠，其內涵頂多只是擁核而缺乏養綠的效果。", " 以核養綠的公投應該同意嗎？", -1.0
"#核廢處置與貯存核一、核二、核三等核電廠基本上都有放置核廢料的空間，而馬英九所稱核四廠的儲存空間並非最終放置地點，只是是暫存空間，核廢料最終處置場所選址非常困難棘手。", " 以核養綠的公投應該同意嗎？", -1.0
"#能源轉型從能源轉型的路徑來看，核能是轉型為綠能前比較良好的選項。", " 以核養綠的公投應該同意嗎？", 1.0
"#安全核能就是綠能，是對環境衝擊最小的安全清潔能源", " 以核養綠的公投應該同意嗎？", 1.0
"核一廠已提出除役許可，還在等環評許可，核二廠則預計今年底會提出除役許可，核三廠預計後年要提。他認為有電業法相關規定，相信台電不會提出延役的相關要求", " 以核養綠的公投應該同意嗎？", -1.0
