premise, conclusion, weight
"cela laisse sans solutionle problème du trop-plein : un forum n'est pas un outil assez structurant pour éviter le trop-plein car les messages se suivent à la queue leu leu, parfois avec descontenus riches et denses, et on finit par s'y perdre...d'autant plus vite qu'il y aura de participants.", "Pourquoi ne pas garder la liste de discussion (existante) pour les annonces et dédier le forum (existant) aux discussions ?", -0.5
"naturellement on va utiliser la liste de discussion pour débattre... donc il faut plutôt une liste de diffusion (qui ne permet pas aux destinataires de répondre).", "Pourquoi ne pas garder la liste de discussion (existante) pour les annonces et dédier le forum (existant) aux discussions ?", 1.0
"Pourquoi ne pas garder la liste de discussion (existante) pour les annonces et dédier le forum (existant) aux discussions ?", "j'ai toujours pu observer qu'il se trouve des volontaires pour ce travail. A défautde volontaires il est plus adapté de ne pas discuter via une liste de discussion(même si c'est conçu pour ça) mais via des outils numériques de débat.", -1.0
"si on ne met que les sujet des débats et les décisions prises ça ne représente pas une masse de travailtrès importante (pas plus que de lire tous les mails échangéssur le fil de discussion pour en retirer les éléments importants)", "ça suppose un travail de synthèse des échanges sur la liste de discussion. Selon ce qui est mis comme info dans la liste de diffusion cela peut nécessiterplus ou moins de temps.", -0.5
"j'ai toujours pu observer qu'il se trouve des volontaires pour ce travail. A défautde volontaires il est plus adapté de ne pas discuter via une liste de discussion(même si c'est conçu pour ça) mais via des outils numériques de débat.", "le travail de synthèse nécessaire pour alimenter la liste de diffusion est rébarbatif.", -0.5
"il me semble que l'on peut limiter la possibilité d'échanger à travers la liste : seuls les administrateurs recevraient les messages. Sauf avis contraire des membres de cette liste, je serais donc pour qu'elle fonctionne comme un entonnoir administrateur - membres.", "ça permet aux personnes qui veulent rester informées de ne pas se sentir spammées par les échanges sur la liste de discussion.", -0.5
"ça permet aux personnes qui veulent rester informées de ne pas se sentir spammées par les échanges sur la liste de discussion.", " Créer une liste de diffusion en plus de la liste de discussion pour l'organisation du processus constituant inter-ville", 1.0
"ça suppose un travail de synthèse des échanges sur la liste de discussion. Selon ce qui est mis comme info dans la liste de diffusion cela peut nécessiterplus ou moins de temps.", " Créer une liste de diffusion en plus de la liste de discussion pour l'organisation du processus constituant inter-ville", -1.0
"si quelques synapseurs font une synthèsedestinée à la liste de diffusion, ça évite à toutes les personnesintéressées par l'orga mais qui ne participent pas aux discussions d'avoir à lire tous les échanges sur la liste de discussion, donc énorme gain de temps collectif.", " Créer une liste de diffusion en plus de la liste de discussion pour l'organisation du processus constituant inter-ville", 1.0
"le travail de synthèse nécessaire pour alimenter la liste de diffusion est rébarbatif.", " Créer une liste de diffusion en plus de la liste de discussion pour l'organisation du processus constituant inter-ville", -1.0
