arg1, arg2, attack_support
"kl17255 -> kl16266", "kl16266 -> ¬kl14545", "Support"
"kl15670 -> kl13530", "kl13530 -> kl12612", "Support"
"kl15751 -> kl14035", "kl14035 -> kl10265", "Support"
"kl16596 -> kl13530", "kl13530 -> kl12612", "Support"
"kl15287 -> ¬kl13536", "kl13536 -> kl9574", "Attack"
"kl15254 -> kl13232", "kl13232 -> kl9452", "Support"
"kl15370 -> ¬kl13232", "kl13232 -> kl9452", "Attack"
"kl15255 -> kl13759", "kl13759 -> ¬kl10041", "Support"
"kl16266 -> ¬kl14545", "kl14545 -> kl12612", "Attack"
"kl17255 -> kl16266", "kl16266 -> ¬kl14545", "Support"
"kl16127 -> ¬kl14033", "kl14033 -> ¬kl10265", "Attack"
"kl15786 -> kl14571", "kl14571 -> kl10041", "Support"
"kl15236 -> kl13524", "kl13524 -> kl9572", "Support"
"kl15787 -> kl14571", "kl14571 -> kl10041", "Support"
"kl15653 -> kl14062", "kl14062 -> ¬kl9516", "Support"
"kl16526 -> kl13200", "kl13200 -> kl10919", "Support"
"kl15786 -> kl14571", "kl14571 -> kl10041", "Support"
"kl14571 -> kl10041", "kl10041 -> kl8494", "Support"
"kl15787 -> kl14571", "kl14571 -> kl10041", "Support"
"kl16127 -> ¬kl14033", "kl14033 -> ¬kl10265", "Attack"
"kl14033 -> ¬kl10265", "kl10265 -> kl8940", "Attack"
"kl13759 -> ¬kl10041", "kl10041 -> kl8494", "Attack"
"kl15255 -> kl13759", "kl13759 -> ¬kl10041", "Support"
"kl13179 -> kl9573", "kl9573 -> kl7410", "Support"
"kl16596 -> kl13530", "kl13530 -> kl12612", "Support"
"kl15670 -> kl13530", "kl13530 -> kl12612", "Support"
"kl13530 -> kl12612", "kl12612 -> kl7979", "Support"
"kl14465 -> kl9350", "kl9350 -> kl6769", "Support"
"kl13180 -> kl9573", "kl9573 -> kl7410", "Support"
"kl12744 -> ¬kl9573", "kl9573 -> kl7410", "Attack"
"kl15136 -> kl13200", "kl13200 -> kl10919", "Support"
"kl13523 -> kl10937", "kl10937 -> kl7410", "Support"
"kl13462 -> kl9572", "kl9572 -> kl7410", "Support"
"kl12671 -> kl9869", "kl9869 -> kl7066", "Support"
"kl14071 -> ¬kl9574", "kl9574 -> kl7410", "Attack"
"kl15236 -> kl13524", "kl13524 -> kl9572", "Support"
"kl13524 -> kl9572", "kl9572 -> kl7410", "Support"
"kl13187 -> ¬kl9572", "kl9572 -> kl7410", "Attack"
"kl15370 -> ¬kl13232", "kl13232 -> kl9452", "Attack"
"kl2036 -> kl13232", "kl13232 -> kl9452", "Support"
"kl13232 -> kl9452", "kl9452 -> kl8940", "Support"
"kl15254 -> kl13232", "kl13232 -> kl9452", "Support"
"kl1578 -> kl13232", "kl13232 -> kl9452", "Support"
"kl14515 -> kl10265", "kl10265 -> kl8940", "Support"
"kl14190 -> kl10342", "kl10342 -> kl7407", "Support"
"kl16266 -> ¬kl14545", "kl14545 -> kl12612", "Attack"
"kl14545 -> kl12612", "kl12612 -> kl7979", "Support"
"kl14035 -> kl10265", "kl10265 -> kl8940", "Support"
"kl15751 -> kl14035", "kl14035 -> kl10265", "Support"
"kl12815 -> kl9350", "kl9350 -> kl6769", "Support"
"kl13520 -> kl9571", "kl9571 -> kl7979", "Support"
"kl14069 -> kl9571", "kl9571 -> kl7979", "Support"
"kl12677 -> kl9516", "kl9516 -> ¬kl7552", "Support"
