premise, conclusion, weight
"即便日本聲稱核食是沒有安全疑慮的，但民眾仍會心存懷疑，畢竟沒有人願意當白老鼠嘗試，況且研究報告並未確定福島食品是否真正對身體毫無傷害，若是長期服用真的對人民身體有害，那麼人民的健康該由誰負責買單呢，我想這公投議題或許也是另外一種民意上的表達吧。4106013013", "原本我的論點是覺得，日本是嚴謹的國家，他們如要出口核災地區的食品一定會通過很詳盡的檢查，日本不會為了要出口賺錢而毀了自己的民族本性。但是上面幾個同學的論點，也讓我有了新的看法，的確，我們不能著眼在當下，也要思考如果長期吃核災區的食品，對為了的影響是誰現在也不能肯定的，就像基改食品一樣。4106032016", 1.0
"以美牛當作比較，更可以看出在食品開放進口的背後隱藏的是更複雜的國際政治關係。當年與美國的FTA，現在的CPTPP，背後牽扯的利益與政治關係錯綜複雜，核食公投日前被作為要挾台灣的議題，一套公平公正的、安全明確的SOP，難道就會是不受外界壓力產生的制度嗎？4105013064", "4107011048我認為進口受福島核災影響的商品是一種不受尊重的表現。即使消費者有權利決定是否要購買，而政府也可以設置層層檢驗，層層把關，來確保國民的健康，但是若是進口了福島核災地區的食品，那是否也要進口美國狂牛症的牛肉？政府應該如何把關如何衡量才是公平公正？我認為應該要有一套公平公正且安全明確的Sop ，再實行進口的動作才是上策。", -0.5
"如同上位同學所說，可能經過加工後，這些被污染的食品就無法辨認了，加上短期間內看不出核食的影響，想必除了資訊不足的民眾可能誤買，再依照台灣人喜歡鑽漏洞，還有各種黑心食品的出現，我想若能以較低廉的價格取得這些核食原料，那些貪小便宜的廠商也會很樂見的，而台灣普遍消費者也會很樂意購買那些低廉的商品，畢竟少有人會注意到自己購買的商品的原料，因此若是進口核食讓消費者自行選擇是可以的，但還是要想想如何防範被「比較節省」的廠商濫用。3103043064", "然而這樣子標明產地的方法仍有一些漏洞，比如若是將核災地區產出的農產品原料輸出，只要一旦運到其他城市或規範較低國家加工後，商品上的產地標示變無法顯示其原物料是來自核災地區。但事實上這也是一項難以去規範的缺失，或許唯有再次採樣檢驗後才能決定商品是否進口吧。而另外標示數據報告的方法，並非所有的消費者都能理解學術數據上的意義，實施上反而會有不見效果的可能性發生。4106037051", 1.0
"原本我的論點是覺得，日本是嚴謹的國家，他們如要出口核災地區的食品一定會通過很詳盡的檢查，日本不會為了要出口賺錢而毀了自己的民族本性。但是上面幾個同學的論點，也讓我有了新的看法，的確，我們不能著眼在當下，也要思考如果長期吃核災區的食品，對為了的影響是誰現在也不能肯定的，就像基改食品一樣。4106032016", "我認同這位同學的說法，對於福島核災後食品的進口，很多人認為公投案的否定是因為少了強而有力的國際檢驗標準認定，但我認為即使他是通過國際標準的檢驗，其仍有些許的輻射含量於食品之中，我們很難去確認長期進食下來，是否會對健康造成影響，我認為將時間拉長遠來看的話，那的確仍有其疑慮存在。 4105013016", 1.0
"4105064154 電機三，褚懿德我贊同關於公投案的論述是不精確的，但是現在所有的訊息都是公開的，在網路上也沒有什麼限制，只是有些假情報在裡面，只要有心，大多的人都可以得到相對正確的資訊，只是太多的人民被操作習慣了，停止了思考，而且僅憑著政府一方面的敘述就決定公投的人還不在少數，這是我們人民自願的被蒙在谷底，所以政府沒有公布理性的消息，操控投票者的心理固然有問題，但是不自己思考就隨波逐流的選民也有問題。", "4104054018關於公投案本身的論述我是覺得非常不精確的，民眾在決定公投選票要投正方還反方時，大多只從標題得知的訊息來思考，「核」這個字人人避之，尤其還是出現在日常吃的東西上面，公投出現壓倒性不支持進口是可見的。政府如果想進口福島附近的食品，更應該多加宣傳，例如嚴格把關進口食品輻射零檢出，不然再經過多少時間我相信公投結果還是不會變的。", -1.0
"我認為不管是不是真的有受到核污染的食物，只要有特別表示清楚，並且有達到此等告知的義務就可以，消費者可以自行決定是否要購買，我認為沒有必要特別設立公投來禁止，畢竟也會造成日本與台灣一點點的小尷尬，如果通過的話4106037035", "無論有沒有禁止入口日本食品，若有疑慮消費者本身就會停止購買，其實不太需要嚴格禁止，若嚴格禁止將會產生更多潛在無法解決的問題，例如我們的外交行為可能藉由此事被日本打壓，又或者是中國借此拉攏日本一起邊緣台灣這都是有可能的。4107032029", 1.0
"沒錯，目前禁止核災區食品進口的國家只剩下南韓與我國，南韓目前處於WTO敗訴狀況，甚至先前還處於反對的中國近期也解禁日本核食。農委會提過，台灣與國際間各國的輻射標準相比，是相對嚴格的。在此標準把關下，台灣近三年通關的日本食品輻射檢出結果都是零，若有微量檢出也是退回或銷毀，核食在台的把關遠比一般民眾所想的還要嚴格很多很多。日本核食是否是有疑慮的，誰都未定，但若經過國際檢驗的重重把關，與各國陸續的開放和解禁的局勢來看，「無疑慮」成為相對較能信服人的立場。(4103011031)", "4107066043 材料一 廖致賢但我相信日本政府也不會貿然行事，將具有高輻射污染的食品開放，在我國政府的部份，想當然爾也不會隨意開放進口輻射污染食品，因此，在檢測都通過的情況下，我相信對於進口福島食品的疑慮是可以降低的。", 1.0
"4104021052我們只是小國，不要跟我說一些大國可以說的任性話。事實上台灣就是怕被懲罰，就是經不起大國對我們懲處。正確觀念太過單一，可是你也知道我們到現在到沒辦法加入聯合國吧。為什麼？因為大國的打壓。", "請問什麼是正確觀念呢？老師說的？看到天皇吃的？你有去了解核食的安全性嗎？你知道日本政府為核食付出多少心力嗎？還是你只是相信權威呢？亦或是擔心日本提起訴訟害怕被關稅懲罰呢？", -0.5
"總不能因為下游的廠商或店家而否定掉這個議題，貪小便宜可以說是人的本性，有人鑽漏洞就給予懲處，這是基本，但誰能保證不會有紕漏。不過政策就是要朝大方向推動，我想比起禁止，有效的喝止廠商的不肖行為才是比較實際的解決方法。畢竟台灣生態就是這樣，不公平的事是永遠不會消失的，但人民應當有自己去衡量的能力與權利。4107031017", "若開放進口後，廠商或店家未標示使用，顯然是廠商的疏失，國內能追查廠商，給予懲處；但是不開放進口，在本質是就抹殺了人民選擇的權利，並且也會造成國際上的糾紛，目前完全禁止進口國家僅剩台灣跟中國，韓國不完全開放都即將在WTO被制裁的情況下，台灣的情況勢必更加嚴重。先進國家可以有比禁止更好的處理方式，禁止只是治標不治本，國家能好好的管理，付上相關資料以及有效宣導，才不會引發更多的爭議。公投後這樣的處境反而使台灣跟日本的未來關係產生了很大的不確定，且結果可能還是得開放，實在是相當尷尬。4106013049", 1.0
"所以，你是覺得因為日本很嚴格，所以相信日本的食物是安全的。這點在我看來是非常有意思的，原來食物的安全性是與國家的民族性相關的，我還以為食物的安全性是跟訂立的安全標準有關呢。請確實了解日本為福島核食付出多少成本及努力，再說出相信核食的安全，否則，只是落於個人偏見及人云亦云。", "3107049007我覺得日本這個國家是一個很嚴格的地方，有受到污染的食品一定會被檢驗出來，所以基本上是安全的，有沒有進到其他地區其實沒有太大的影響，是可以安心使用的，通常只是被心理影響而已。", -0.5
"換個想法如果不是寫“可能含有輻射”而是寫“食物來自福島重建改良”呢？？", "沒錯，同意上述同學的說法，基改食品是不能拿來和核食相提並論的。但我認為如在包裝上標明來自的產地，而非直接寫著「可能有輻射污染」，也在架位旁貼著數據報告，我想要不要選購就是消費者的自發行為了。4015012059", -1.0
"我認同這位同學的說法，對於福島核災後食品的進口，很多人認為公投案的否定是因為少了強而有力的國際檢驗標準認定，但我認為即使他是通過國際標準的檢驗，其仍有些許的輻射含量於食品之中，我們很難去確認長期進食下來，是否會對健康造成影響，我認為將時間拉長遠來看的話，那的確仍有其疑慮存在。 4105013016", "即使官方能拿出檢測報告證明福島的核食不會對人體造成影響，但是要注意的是，所謂的不會造成影響有機會是說內含的污染量尚未達到會對人體造成不良反應，但是若是長期進食這種核食的話長遠未必會是一種安全的食品，可能他會對人們的下一代或是幾代之後造成潛移默化的不良反應，包括可能突然就出現家族的遺傳病等等，就像是雖然科學不能證明基因改造食品會對人體造成印象，但是很多的人們依然不願意購買基因改造食品一樣 4105064016", 1.0
"4107011048我認為進口受福島核災影響的商品是一種不受尊重的表現。即使消費者有權利決定是否要購買，而政府也可以設置層層檢驗，層層把關，來確保國民的健康，但是若是進口了福島核災地區的食品，那是否也要進口美國狂牛症的牛肉？政府應該如何把關如何衡量才是公平公正？我認為應該要有一套公平公正且安全明確的Sop ，再實行進口的動作才是上策。", "雖然核災食品對人體的影響是無法確定的，但以進不進口來看，只要檢驗符合標準，我們是可以開放進口的，而且我們的政府也可以對進口食品做檢測，可以減少不符合檢驗的食品，並標示合格產地來源，由消費者定奪，最後市場的自由機制才是決定這些食品去留的關鍵。4107032018", -0.5
"我認同上述看法，這次公投最大的兩個問題我認為是題案敘述不當和提案過多，這些都導致了民眾只看片面，而沒有得到足夠的資訊，今天大多民眾看到的是核食要進口，然而實際上是檢驗合格的食品，日本的檢驗流程比台灣更繁複嚴謹，如果能通過檢驗就代表是一定程度上的安全，而且消費者可以選擇購買與否的，但當文字不完全時，就能導向提案者的傾向結果，這也是這次公投該省思的部分吧4106032030", "太多人的不相信而導致今天的結果是禁止進口，從科學的角度來看，檢驗無虞就應該是要開放，更何況目前世界的接納程度是很高的，如果說要去懷疑檢驗標準的嚴謹程度，那食物、日常用品等等經過檢驗標準的東西都還是不要使用好了。再來民眾的資料蒐集能力也是需要改善，尤其是在資訊爆炸的時代，資訊的流通很多元，有些只是片面資訊，查證、整合都是需要加強的，一昧相信台灣媒體所報導的事情是很糟糕的。4104033130", 1.0
