80606	( Sommes-nous en démocratie ?) -> ( L'Europe occidentale est-elle en déclin ?)
80607	( Accueillir les migrants est un atout culturel et social) -> ( Faut-il accueillir davantage de migrants ?)
80642	( Accueillir les migrants est un devoir humaniste) -> ( Faut-il accueillir davantage de migrants ?)
80643	( Accueillir les migrants est un plus pour l'économie des pays européens) -> ( Faut-il accueillir davantage de migrants ?)
57862	( Arrêter de manger des animaux détruirait une partie des activités paysannes) -> ¬ ( Faut-il arrêter de manger des animaux ?)
57863	( Arrêter l'élevage de certains animaux les ferait disparaitre) -> ¬ ( Faut-il arrêter de manger des animaux ?)
57864	( C’est à l’Etat de gérer les aéroports) -> ¬ ( Faut-il privatiser ADP ?)
57865	( Certains footballeurs professionnels reversent une partie de leur salaire à des associations caritatives) -> ¬ ( Les footballeurs professionnels sont-ils trop payés ?)
57866	( Chaque religion affirme être l'unique Vérité) -> ¬ ( Les religions se rejoignent-elles ?)
80644	( Créer de la valeur économique) -> ( Faut-il incinérer les déchets ménagers à La Réunion ?)
57867	( Des grosses entreprises telles que Microsoft ou Google s'intéressent à l'open-source) -> ¬ ( Le logiciel libre est-il en déclin ?)
57868	( Des risques de pollution) -> ¬ ( Faut-il incinérer les déchets ménagers à La Réunion ?)
80645	( Dieu a créé une morale indépendante des hommes) -> ( Dieu existe-t-il ? (nouvelle version))
80646	( Dieu est la cause première de l'univers) -> ( Dieu existe-t-il ? (nouvelle version))
57869	( Dieu est une invention) -> ¬ ( Dieu existe-t-il ? (nouvelle version))
57876	( Facebook est un outil d'expression) -> ¬ ( Faut-il boycotter Facebook ?)
80663	( Facebook s'approprie les données personnelles de ses utilisateurs sans les rémunérer) -> ( Faut-il boycotter Facebook ?)
57878	( Financer un revenu de base est irréaliste) -> ¬ ( Faut-il instaurer un revenu de base ?)
80664	( Il est difficile de contribuer aux logiciels libres) -> ( Le logiciel libre est-il en déclin ?)
57879	( Il existe de meilleurs alternatives aux vaccins) -> ¬ ( Faut-il se faire vacciner ?)
39388	( Il existe des alternatives libres à Facebook) -> ( Faut-il boycotter Facebook ?)
39390	( Il existe des interventions divines) -> ( Dieu existe-t-il ? (nouvelle version))
39391	( Il existe un consensus scientifique sur le lien entre le réchauffement climatique et l'activité humaine) -> ( Le réchauffement climatique est-il dû à l'activité humaine ?)
57880	( Il faut construire des ateliers de maintenance du tramway dans les Murs à pêches de Montreuil) -> ¬ ( Faut-il préserver les Murs à pêches de Montreuil ?)
57881	( Il faut construire des commerce et des services de proximité dans les Murs à pêches de Montreuil) -> ¬ ( Faut-il préserver les Murs à pêches de Montreuil ?)
57882	( Il faut construire des logements dans les Murs à pêches de Montreuil) -> ¬ ( Faut-il préserver les Murs à pêches de Montreuil ?)
57884	( Il faut limiter la liberté d'expression pour éviter les troubles à l'ordre public) -> ¬ ( La liberté d'expression doit-elle être totale ?)
39393	( Il faut limiter la liberté d'expression pour éviter les troubles à l'ordre public) -> ( La liberté d'expression doit-elle être limitée ?)
57885	( Il faut limiter la liberté d'expression pour lutter contre les contenus choquants) -> ¬ ( La liberté d'expression doit-elle être totale ?)
